agi,agiint,agistr,agistrint,arcres,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,firres,frores,hastertng,int,lifesteal,mastrtng,mledmgmax,mledmgmin,mledps,mlespeed,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,splcritstrkrtng,splpwr,sta,str,versatility
15.0,,,,,,,,,,57.0,27.0,,11.74,85.0,,,,,,,57.0,27.0,11.74,3.6,Rage Reaver,,,,,Uncommon,,17.0,,,,3.6,,,36.0,,
,,,,,,,,,,23.0,18.0,,5.72,120.0,,,,68.0,,,23.0,18.0,5.72,3.6,Replica Grand Marshal's Demolisher,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
,,,,,,,,,,46.0,35.0,,11.34,100.0,,,11.0,,,,46.0,35.0,11.34,3.6,Twig of the World Tree,,,,,Rare,53.0,17.0,,,,3.6,,,18.0,12.0,
,,,,,,Death knight,,,,52.0,31.0,,11.55,100.0,,,,,,,52.0,31.0,11.55,3.6,Runed Soulblade,,,,,Rare,,17.0,,,,3.6,,,14.0,23.0,
,,,,,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Shadow Wing Focus Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
,,,,,,,,7.0,,54.0,29.0,,11.54,120.0,,,,,,,54.0,29.0,11.54,3.6,Replica Grand Marshal's Glaive,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,56.0,26.0,,11.53,120.0,,,,,,,56.0,26.0,11.53,3.6,Drake Talon Cleaver,,,,,Epic,60.0,17.0,,,,3.6,,,9.0,12.0,
9.0,,,,,,,,,,52.0,31.0,,11.55,120.0,,,,,,,52.0,31.0,11.55,3.6,Manslayer of the Qiraji,,,,,Epic,60.0,17.0,,,,3.6,,,12.0,21.0,
,,,,,,,,16.0,,30.0,22.0,,7.26,100.0,,,14.0,86.0,,,30.0,22.0,7.26,3.6,Tower of the Infinite Mind,,,,,Rare,,17.0,,,,3.6,,,29.0,,
,,,,,,,,,12.0,,,,,,,,,,,,,,,,Adamantite Sharpening Stone,,,,,Uncommon,60.0,,,,,,,,,,
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Whiteout Staff,,,,,Rare,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,11.0,,47.0,36.0,,11.57,120.0,,,9.0,,,,47.0,36.0,11.57,3.6,Herald of Woe,,,,,Epic,60.0,17.0,,,,3.6,,,12.0,17.0,
,,,,,,,,7.0,,56.0,26.0,,11.53,120.0,,,,,,,56.0,26.0,11.53,3.6,High Warlord's Battle Axe,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,56.0,26.0,,11.53,85.0,,,,,,,56.0,26.0,11.53,3.6,Death Striker,,,,,Uncommon,58.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,13.0,,26.0,19.0,,6.28,85.0,,,,75.0,,,26.0,19.0,6.28,3.6,Rod of the Void Caller,,,,,Uncommon,,17.0,,,,3.6,,,25.0,,
17.0,,,,,,,,,,62.0,29.0,,12.73,100.0,,,,,,,62.0,29.0,12.73,3.6,Hewing Axe of the Marsh,,,,,Rare,,17.0,,,,3.6,,,25.0,17.0,
,,,,,,,,6.0,,48.0,37.0,,11.9,100.0,,,6.0,,,,48.0,37.0,11.9,3.6,Heart Fire Warhammer,,,,,Rare,60.0,17.0,,,,3.6,,,24.0,12.0,
,,,,,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Replica High Warlord's War Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
,,,,,,,,8.0,,54.0,29.0,,11.54,120.0,6.0,,,,,,54.0,29.0,11.54,3.6,Blackfury,,,,,Epic,60.0,17.0,,,,3.6,,,9.0,21.0,
,,,,,,,,16.0,,47.0,36.0,,11.57,120.0,,,,,,,47.0,36.0,11.57,3.6,Draconic Maul,,,,,Epic,60.0,17.0,,,,3.6,,,11.0,16.0,
,,,,,,,,7.0,,54.0,29.0,,11.54,120.0,,,,,,,54.0,29.0,11.54,3.6,High Warlord's Pig Sticker,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,54.0,29.0,,11.54,100.0,,,,,,,54.0,29.0,11.54,3.6,The Needler,,,,,Rare,55.0,17.0,,,,3.6,,,,,
,,,,,,,,7.0,,54.0,29.0,,11.54,120.0,,,,,,,54.0,29.0,11.54,3.6,Grand Marshal's Glaive,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,8.0,,24.0,17.0,,5.78,120.0,,,7.0,68.0,,,24.0,17.0,5.78,3.6,Blessed Qiraji Acolyte Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,11.0,,54.0,25.0,,11.11,100.0,,,,,,,54.0,25.0,11.11,3.6,Dreadforge Retaliator,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,15.0,9.0
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Crackling Staff,,,,,Rare,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,51.0,30.0,,11.33,100.0,,,,,,,51.0,30.0,11.33,3.6,Corruption,,,,,Rare,53.0,17.0,,,,3.6,,,26.0,26.0,
,,,,,,,,,,54.0,25.0,,11.11,85.0,,,,,,,54.0,25.0,11.11,3.6,Colossal Great Axe,,,,,Uncommon,51.0,17.0,,,,3.6,,,22.0,15.0,
17.0,,,,,,,,,,50.0,36.0,,12.03,100.0,,,,,,,50.0,36.0,12.03,3.6,Ursol's Claw,,,,,Rare,60.0,17.0,,,,3.6,,,32.0,,
,,,,,,,,,,53.0,31.0,,11.77,,,,,,,,53.0,31.0,11.77,3.6,Claymore of Unholy Might,,,,,Epic,60.0,17.0,,,,3.6,,,10.0,16.0,
,,,,,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Staff of Rampant Growth,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,16.0
,,,,,,,,,,24.0,17.0,,5.83,120.0,,,,70.0,,,24.0,17.0,5.83,3.6,Spire of Twilight,,,,,Epic,60.0,17.0,,,,3.6,,,24.0,,13.0
,,,,,,,,12.0,,52.0,31.0,,11.55,100.0,,,,,,,52.0,31.0,11.55,3.6,Relentless Scythe,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,15.0,8.0
,,,,,,Death knight,,,,52.0,31.0,,11.55,100.0,,,20.0,,,,52.0,31.0,11.55,3.6,Massacre Sword,,,,,Rare,55.0,17.0,,,,3.6,,,,19.0,
,,,,3.0,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Amberseal Keeper,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,18.0
,,,,,,,,9.0,,23.0,18.0,,5.72,120.0,,,,68.0,,,23.0,18.0,5.72,3.6,Hammer of Ji'zhi,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,11.0,,47.0,36.0,,11.57,100.0,,,11.0,,,,47.0,36.0,11.57,3.6,Gavel of Qiraji Authority,,,,,Rare,60.0,17.0,,,,3.6,,,21.0,11.0,
,,,,,,,,,,30.0,22.0,,7.26,100.0,,,16.0,86.0,,,30.0,22.0,7.26,3.6,Staff of the Purposeful Mendicant,,,,,Rare,,17.0,,,,3.6,,,29.0,,16.0
,,,,,,,,,,56.0,26.0,,11.53,,,,,,,,56.0,26.0,11.53,3.6,Malicious Axe,,,,,Rare,57.0,17.0,,,,3.6,,,24.0,15.0,
,,,,5.0,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Staff of the Qiraji Prophets,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,4.0
,,,,,,,,,,23.0,16.0,,5.5600000000000005,100.0,,,8.0,66.0,,,23.0,16.0,5.5600000000000005,3.6,Guiding Stave of Wisdom,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,,11.0
,,,,,,,,,,45.0,34.0,,11.11,100.0,,,,,,,45.0,34.0,11.11,3.6,The Judge's Gavel,,,,,Rare,51.0,17.0,,,,3.6,,,,,
,,,,,,,,7.0,,54.0,25.0,,11.11,100.0,,,,,,,54.0,25.0,11.11,3.6,Angerforge's Battle Axe,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,15.0,12.0
,,,,,,,,,12.0,,,,,,,,,,,,,,,,Adamantite Weightstone,,,,,Uncommon,60.0,,,,,,,,,,
,,,,,,,,8.0,,24.0,17.0,,5.83,120.0,,,7.0,70.0,,,24.0,17.0,5.83,3.6,Brimstone Staff,,,,,Epic,60.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Will of Arlokk,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,22.0
,,,,,,,,7.0,,56.0,26.0,,11.53,120.0,,,,,,,56.0,26.0,11.53,3.6,Grand Marshal's Sunderer,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,56.0,26.0,,11.53,120.0,,,,,,,56.0,26.0,11.53,3.6,"Neretzek, The Blood Drinker",,,,,Epic,60.0,17.0,,,,3.6,,,9.0,12.0,
,,,,,,,,,,52.0,31.0,,11.55,85.0,,,,,,,52.0,31.0,11.55,3.6,Divine Warblade,,,,,Uncommon,60.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,14.0,,59.0,35.0,,13.08,85.0,,,14.0,,,,59.0,35.0,13.08,3.6,Zangarmarsh Claymore,,,,,Uncommon,,17.0,,,,3.6,,,22.0,15.0,
15.0,,,,,,Druid,,,,47.0,36.0,,11.57,120.0,,,,68.0,,,47.0,36.0,11.57,3.6,Mace of Unending Life,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Lorekeeper's Staff,,,,,Rare,58.0,17.0,,,,3.6,,,23.0,,16.0
,,,,,,,,,,54.0,29.0,,11.54,,,,,,,,54.0,29.0,11.54,3.6,Chillpike,,,,,Rare,55.0,17.0,,,,3.6,,,,,
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,12.0,68.0,,,24.0,17.0,5.78,3.6,Trindlehaven Staff,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,,8.0
,,,,,,,,,,31.0,18.0,,6.85,85.0,,,,,,,31.0,18.0,6.85,3.6,Tapered Greatsword,,,,,Poor,53.0,17.0,,,,3.6,,,,,
,,,,,,,,7.0,,56.0,26.0,,11.53,120.0,,,,,,,56.0,26.0,11.53,3.6,Replica Grand Marshal's Sunderer,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,48.0,35.0,,11.57,120.0,,,,,,,48.0,35.0,11.57,3.6,Nat Pagle's Fish Terminator,,,,,Epic,60.0,17.0,,,,3.6,,,12.0,25.0,
,,,,,,,,17.0,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Ironbark Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,28.0,21.0,,6.86,85.0,,,,,,,28.0,21.0,6.86,3.6,Bulky Maul,,,,,Poor,52.0,17.0,,,,3.6,,,,,
,,,,,,,,18.0,,52.0,27.0,,11.11,100.0,,,,,,,52.0,27.0,11.11,3.6,Frenzied Striker,,,18.0,,Rare,51.0,17.0,,,,3.6,,,,15.0,
14.0,,,,,,,,14.0,,54.0,39.0,,13.03,85.0,,,,,,,54.0,39.0,13.03,3.6,Staff of the Wild,,,,,Uncommon,,17.0,,,,3.6,,,33.0,,
,,,,,,Death knight,,,,50.0,30.0,,11.12,85.0,,,,,,,50.0,30.0,11.12,3.6,Keleseth's Persuader,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,51.0,37.0,,12.31,85.0,,,,72.0,,,51.0,37.0,12.31,3.6,Master's Bo Staff,,,,,Uncommon,60.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,14.0,,57.0,27.0,,11.74,,,,,,,,57.0,27.0,11.74,3.6,Severance,,,,,Epic,60.0,17.0,,,,3.6,,,9.0,22.0,
,,,,,,,,,,49.0,35.0,,11.8,85.0,,,,70.0,,,49.0,35.0,11.8,3.6,Rattan Bo Staff,,,,,Uncommon,57.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,47.0,36.0,,11.57,100.0,,,12.0,,,,47.0,36.0,11.57,3.6,Fist of Omokk,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,15.0,8.0
,,,,,,,,,,54.0,29.0,,11.54,100.0,,,,,,,54.0,29.0,11.54,3.6,Pitchfork of Madness,,,,,Rare,60.0,17.0,,,,3.6,,,,,
,,,,,,,,,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Blessed Qiraji Augur Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,19.0
,,,,,,,0.25,,,23.0,16.0,,5.5600000000000005,100.0,,,15.0,66.0,,,23.0,16.0,5.5600000000000005,3.6,Spire of the Stoneshaper,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,,
,,,,,,,,,,54.0,25.0,,11.11,85.0,,,28.0,,,,54.0,25.0,11.11,3.6,Huge Thorium Battleaxe,,,,,Uncommon,51.0,17.0,,,,3.6,,,22.0,15.0,
,,,,,,,,,,50.0,36.0,,12.03,85.0,,,,70.0,,,50.0,36.0,12.03,3.6,Straight Hardwood Staff,,,,,Uncommon,58.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,48.0,37.0,,11.9,85.0,,,,,,,48.0,37.0,11.9,3.6,Giant's Leg Bone,,,,,Uncommon,58.0,17.0,,,,3.6,,,24.0,16.0,
16.0,,,,,,,,,,55.0,29.0,,11.75,85.0,,,,,,,55.0,29.0,11.75,3.6,Warphorn Spear,,,,,Uncommon,60.0,17.0,,,,3.6,,,,,
,,,,,,,,22.0,,24.0,17.0,,5.78,120.0,,,10.0,68.0,,,24.0,17.0,5.78,3.6,Jin'do's Judgment,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
17.0,,,,,,,,,,54.0,29.0,,11.54,120.0,,,,,,,54.0,29.0,11.54,3.6,Barb of the Sand Reaver,,,,,Epic,60.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,47.0,36.0,,11.57,120.0,,,,,,,47.0,36.0,11.57,3.6,Jeklik's Crusher,,,,,Epic,60.0,17.0,,,,3.6,,,,,
,,,,,,,,12.0,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Staff of Balzaphon,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,,6.0
,,,,,,,,,,23.0,18.0,,5.72,120.0,,,,68.0,,,23.0,18.0,5.72,3.6,Grand Marshal's Demolisher,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
15.0,,,,,,,,,,48.0,35.0,,11.57,85.0,,,,,,,48.0,35.0,11.57,3.6,Solstice Staff,,,,,Uncommon,55.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,13.0,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Lord Valthalak's Staff of Command,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,46.0,35.0,,11.34,85.0,,,,,,,46.0,35.0,11.34,3.6,Painbringer,,,,,Uncommon,53.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,,,24.0,17.0,,5.83,85.0,,,,70.0,,,24.0,17.0,5.83,3.6,The Staff of Twin Worlds,,,,,Uncommon,,17.0,,,,3.6,,,24.0,,11.0
15.0,,,,,,,,,,49.0,35.0,,11.8,85.0,,,,,,,49.0,35.0,11.8,3.6,Agamaggan's Quill,,,,,Uncommon,,17.0,,,,3.6,,,36.0,,
,,,,,,,,10.0,,56.0,26.0,,11.53,100.0,,,,,,,56.0,26.0,11.53,3.6,Zulian Stone Axe,,,,,Rare,60.0,17.0,,,,3.6,,,15.0,15.0,
,,,,,,,,,,23.0,18.0,,5.72,120.0,,,,68.0,,,23.0,18.0,5.72,3.6,Replica High Warlord's Destroyer,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
,,,,,,,,,,50.0,29.0,,11.11,100.0,,,15.0,,,,50.0,29.0,11.11,3.6,Stone of the Earth,,,,,Rare,51.0,17.0,,,,3.6,,,15.0,15.0,
,,,,,,,,11.0,,45.0,34.0,,11.11,100.0,,,9.0,,,,45.0,34.0,11.11,3.6,Impervious Giant,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,15.0,
,,,,,,,,,,66.0,39.0,,14.63,85.0,,,28.0,,,,66.0,39.0,14.63,3.6,Featherweight Claymore,,,,,Uncommon,,17.0,,,,3.6,,,25.0,19.0,
,,,,,,,,,,26.0,19.0,,6.28,85.0,,,,75.0,,,26.0,19.0,6.28,3.6,Totemic Staff,,,,,Uncommon,,17.0,,,,3.6,,,25.0,,
,,,,,,,,,,59.0,28.0,,12.12,85.0,,,,,,,59.0,28.0,12.12,3.6,Mok'Nathal Battleaxe,,,,,Uncommon,59.0,17.0,,,,3.6,,,24.0,16.0,
16.0,,,,,,,,,,49.0,35.0,,11.8,85.0,,,,,,,49.0,35.0,11.8,3.6,Angerstaff,,,,,Uncommon,57.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,57.0,27.0,,11.74,85.0,,,,,,,57.0,27.0,11.74,3.6,Lucky Strike Axe,,,,,Uncommon,57.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,34.0,16.0,,6.97,85.0,,,,,,,34.0,16.0,6.97,3.6,Balanced War Axe,,,,,Poor,54.0,17.0,,,,3.6,,,,,
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Advisor's Gnarled Staff,,,,,Rare,58.0,17.0,,,,3.6,,,23.0,,16.0
,,,,,,,,,,47.0,34.0,,11.34,85.0,,,,68.0,,,47.0,34.0,11.34,3.6,Magus Long Staff,,,,,Uncommon,53.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,28.0,,66.0,39.0,,14.63,85.0,,,,,,,66.0,39.0,14.63,3.6,Combatant Greatsword,,,,,Uncommon,,17.0,,,,3.6,,,,19.0,
,,,,,,,,12.0,,24.0,17.0,,5.78,120.0,,,4.0,68.0,,,24.0,17.0,5.78,3.6,Staff of the Ruins,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,52.0,31.0,,11.55,100.0,,,,,,,52.0,31.0,11.55,3.6,Darkstone Claymore,,,,,Rare,57.0,17.0,,,,3.6,,,14.0,15.0,
,,,,,,,,7.0,,47.0,36.0,,11.57,120.0,,,,,,,47.0,36.0,11.57,3.6,High Warlord's Pulverizer,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,17.0,,24.0,17.0,,5.78,120.0,,,,68.0,,,24.0,17.0,5.78,3.6,Ironbark Staff,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,24.0,17.0,,5.78,100.0,,,,68.0,,,24.0,17.0,5.78,3.6,Zulian Ceremonial Staff,,,,,Rare,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,51.0,30.0,,11.33,85.0,,,,,,,51.0,30.0,11.33,3.6,Gallant Flamberge,,,,,Uncommon,52.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,7.0,,45.0,34.0,,11.11,100.0,,,12.0,,,,45.0,34.0,11.11,3.6,Lavastone Hammer,,,,,Rare,51.0,17.0,,,,3.6,,,22.0,15.0,
,,,,,,,,16.0,,26.0,19.0,,6.28,85.0,,,,75.0,,,26.0,19.0,6.28,3.6,Cenarion Naturalist's Staff,,,,,Uncommon,,17.0,,,,3.6,,,25.0,,
,,,,,,,,,,60.0,28.0,,12.33,85.0,,,,,,,60.0,28.0,12.33,3.6,Spiked Battle Axe,,,,,Uncommon,60.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,53.0,31.0,,11.77,85.0,,,,,,,53.0,31.0,11.77,3.6,Royal Crusader Sword,,,,,Uncommon,57.0,17.0,,,,3.6,,,24.0,16.0,
15.0,,15.0,,,,,,,,47.0,36.0,,11.57,100.0,,,,,,,47.0,36.0,11.57,3.6,Seeping Willow,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,,,55.0,26.0,,11.32,100.0,,,,,,,55.0,26.0,11.32,3.6,Dark Iron Sunderer,,,,,Rare,52.0,17.0,,,,3.6,,,,,
,,,,,,,,18.0,,45.0,34.0,,11.11,100.0,,,,,,,45.0,34.0,11.11,3.6,Enchanted Battlehammer,,,18.0,,Rare,51.0,17.0,,,,3.6,,,,15.0,
19.0,,,,,,,,,,60.0,44.0,,14.52,85.0,,,,,,,60.0,44.0,14.52,3.6,Bramblethorn Greatstaff,,,,,Uncommon,,17.0,,,,3.6,,,43.0,,
,,,,,,,,,,66.0,39.0,,14.63,85.0,,,,,,,66.0,39.0,14.63,3.6,Crimson Will,,,,,Uncommon,,17.0,,,,3.6,,,42.0,19.0,
,,,,,,,,,,26.0,20.0,,6.46,85.0,,,,77.0,,,26.0,20.0,6.46,3.6,Hammer of the Sporelings,,,,,Uncommon,,17.0,,,,3.6,,,26.0,,14.0
17.0,,,,,,,,,,61.0,32.0,,13.03,85.0,,,15.0,,,,61.0,32.0,13.03,3.6,Survivalist's Pike,,,,,Uncommon,,17.0,,,,3.6,,,26.0,,
,,,,,,,,,,54.0,32.0,,12.03,85.0,,,,,,,54.0,32.0,12.03,3.6,Skeletal Broadsword,,,,,Uncommon,59.0,17.0,,,,3.6,,,24.0,16.0,
10.0,,,,,,,,,,54.0,29.0,,11.54,,,,,,,,54.0,29.0,11.54,3.6,Stonecutting Glaive,,,,,Rare,55.0,17.0,,,,3.6,,,,25.0,
,,,,,,,,23.0,,47.0,36.0,,11.57,100.0,,,,,,,47.0,36.0,11.57,3.6,Crystal Spiked Maul,,,,,Rare,58.0,17.0,,,,3.6,,,,13.0,
,,,,,,,,15.0,,54.0,29.0,,11.54,100.0,,,,,,,54.0,29.0,11.54,3.6,Tigule's Harpoon,,,,,Rare,60.0,17.0,,,,3.6,,,15.0,,
,,,,,,,,17.0,,23.0,18.0,,5.72,,,,,68.0,,,23.0,18.0,5.72,3.6,Fist of Cenarius,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,54.0,26.0,,11.12,85.0,,,,,,,54.0,26.0,11.12,3.6,Mag'hari Battleaxe,,,,,Common,60.0,17.0,,,,3.6,,,,,
,,,,,,,,,,30.0,22.0,,7.26,85.0,,,13.0,86.0,,,30.0,22.0,7.26,3.6,Stave of the Spiritcaller,,,,,Uncommon,,17.0,,,,3.6,,,29.0,,13.0
31.0,,,,,,,,,,71.0,34.0,,14.59,85.0,,,,,,,71.0,34.0,14.59,3.6,Stoneground Cleaver,,,,,Uncommon,,17.0,,,,3.6,,,20.0,,
23.0,,,,,,,,,,60.0,44.0,,14.52,85.0,,,,,,,60.0,44.0,14.52,3.6,Writhing Longstaff,,,,,Uncommon,,17.0,,,,3.6,,,39.0,,
16.0,,,,,,,,,,51.0,37.0,,12.31,85.0,,,,,,,51.0,37.0,12.31,3.6,Frenzied Staff,,,,,Uncommon,60.0,17.0,,,,3.6,,,24.0,,
16.0,,,,,,,,,,57.0,30.0,,12.15,85.0,,,,,,,57.0,30.0,12.15,3.6,Halberd Polearm,,,,,Uncommon,59.0,17.0,,,,3.6,,,24.0,,
16.0,,,,,,,,,,50.0,36.0,,12.03,85.0,,,,,,,50.0,36.0,12.03,3.6,Brutal Scar-Limb,,,,,Uncommon,58.0,17.0,,,,3.6,,,24.0,,
,,,,,,,,,,54.0,32.0,,11.99,85.0,,,,,,,54.0,32.0,11.99,3.6,Serpentlord Claymore,,,,,Uncommon,58.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,24.0,17.0,,5.78,,,,,68.0,,,24.0,17.0,5.78,3.6,Amethyst War Staff,,,,,Rare,55.0,17.0,,,,3.6,,,23.0,,
,,,,,,,,,,56.0,26.0,,11.53,100.0,,,,,,,56.0,26.0,11.53,3.6,Gri'lek's Carver,,,,,Rare,60.0,17.0,,,,3.6,,,,,
29.0,,,,,,,,,,54.0,29.0,,11.54,100.0,,,,,,,54.0,29.0,11.54,3.6,Huntsman's Harpoon,,,,,Rare,56.0,17.0,,,,3.6,,,,,
,,,,,,,,7.0,,47.0,36.0,,11.57,120.0,,,,,,,47.0,36.0,11.57,3.6,Replica High Warlord's Pulverizer,,,,,Epic,60.0,17.0,,,,3.6,,,21.0,13.0,
,,,,,,,,,,71.0,34.0,,14.59,85.0,,,30.0,,,,71.0,34.0,14.59,3.6,Frostbiter,,,,,Uncommon,,17.0,,,,3.6,,,,16.0,
,,,,,,,,,,59.0,45.0,,14.56,85.0,,,,,,,59.0,45.0,14.56,3.6,Cragthumper,,,,,Uncommon,,17.0,,,,3.6,,,47.0,13.0,
,,,,,,,,23.0,,30.0,22.0,,7.26,85.0,,,,86.0,,,30.0,22.0,7.26,3.6,Zook's Walking Stick,,,,,Uncommon,,17.0,,,,3.6,,,29.0,,
,,,,,,,,,,49.0,38.0,,12.09,85.0,,,,,,,49.0,38.0,12.09,3.6,Gronn-Bone Club,,,,,Uncommon,59.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,56.0,30.0,,11.97,85.0,,,,,,,56.0,30.0,11.97,3.6,Sha'tari Longspear,,,,,Uncommon,58.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,48.0,37.0,,11.81,85.0,,,,,,,48.0,37.0,11.81,3.6,Shining Mace,,,,,Uncommon,57.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,47.0,36.0,,11.57,85.0,,,,,,,47.0,36.0,11.57,3.6,Brutehammer,,,,,Uncommon,58.0,17.0,,,,3.6,,,23.0,15.0,
,,,,,,,,,,23.0,18.0,,5.72,120.0,,,,68.0,,,23.0,18.0,5.72,3.6,High Warlord's Destroyer,,,,,Epic,60.0,17.0,,,,3.6,,,23.0,,9.0
19.0,,,,,,,,,,60.0,44.0,,14.52,85.0,,,26.0,,,,60.0,44.0,14.52,3.6,Hungering Greatstaff,,,,,Uncommon,,17.0,,,,3.6,,,,,9.0
,,,,,,,,28.0,,30.0,22.0,,7.26,85.0,,,19.0,86.0,,,30.0,22.0,7.26,3.6,Stave of the Windborn,,,,,Uncommon,,17.0,,,,3.6,,,29.0,,
,,,,,,,,16.0,,51.0,39.0,,12.57,85.0,,,,,,,51.0,39.0,12.57,3.6,Dreadtusk's Fury,,,,,Uncommon,,17.0,,,,3.6,,,25.0,17.0,
,,,,,,,,,,50.0,38.0,,12.33,85.0,,,,,,,50.0,38.0,12.33,3.6,Hateful Bludgeon,,,,,Uncommon,60.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,,,58.0,31.0,,12.36,85.0,,,,,,,58.0,31.0,12.36,3.6,Partisan Polearm,,,,,Uncommon,60.0,17.0,,,,3.6,,,24.0,16.0,
,,,,,,,,13.0,,25.0,18.0,,6.04,85.0,,,,72.0,,,25.0,18.0,6.04,3.6,Rod of the Unyielding,,,,,Uncommon,,17.0,,,,3.6,,,24.0,,
