agi,agiint,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
,,,,,,,15.0,,,,,,,12.0,,,Band of Misty Mojo,,,,Uncommon,,,11.0,,,,,18.0,,,
,,,,,,,10.0,,,,,,,12.0,,,Rancid Signet,,,,Uncommon,,,11.0,,,,,17.0,,,
,,,,,,,,,,,,12.0,,9.0,,,Guardian's Band of Subjugation,,,,Epic,70.0,,11.0,,,,,13.0,,,9.0
,,,,,,,6.0,,,,,16.0,,,,,Sinner's Repentance,,,,Uncommon,,,11.0,,,,,17.0,,,
,,,,,,,11.0,,,,,,,,,,Unstoppable Aggressor's Ring,,,,Epic,70.0,,11.0,,,,,11.0,14.0,,
,,,,,,,,,,,,,,,,,Gemstone Ring,,,,Uncommon,70.0,,11.0,,,,,17.0,11.0,,
,,,,,,,20.0,,,,,17.0,,,,,Ring of Calming Waves,,,,Epic,70.0,,11.0,,,,,17.0,,,
,,,,,,,18.0,,,,,18.0,,,,,Unstoppable Aggressor's Ring,,,,Epic,70.0,,11.0,,,,,17.0,,,
,,,,,,,8.0,,,,,6.0,,11.0,,,Sparking Arcanite Ring,,,,Rare,70.0,,11.0,,,,,16.0,,,
,,,,,,,,,,,,,,11.0,,,Ring of Fabled Hope,,,,Rare,70.0,,11.0,,,,,16.0,,,6.0
,,,,,,,,,,,,,,15.0,,,Band of Ancestral Spirits,,,,Rare,70.0,,11.0,,,,,9.0,,,9.0
,,,,,,,,,11.0,,,,,11.0,,,Ring of the Silver Hand,,,,Rare,70.0,,11.0,,,,,16.0,,,7.0
11.0,,,,,,,,,,,,,,,,,Floral Loop,,,,Uncommon,68.0,,11.0,,,,,16.0,,,
11.0,,,,,,,,,,,,14.0,,,,,Band of Celerity,,,,Rare,68.0,,11.0,,,,,16.0,,,
,,,,,,,10.0,,,,,,,11.0,,,Scintillating Coral Band,,,,Rare,68.0,,11.0,,,,,16.0,,,
,,,,,,,10.0,,,,,,,10.0,,,Ring of Cryptic Dreams,,,,Epic,70.0,,11.0,,,,,15.0,,,
11.0,,,,,,,,,,,,,,,,,Frigid Band,,,,Rare,70.0,,11.0,,,,,16.0,,,
11.0,,,,,,,,,,,,,,,,,Dark Band,,,,Rare,70.0,,11.0,,,,,16.0,,,
14.0,,,,,,,,,,,,,,,,,Pathfinder's Band,,,,Rare,67.0,,11.0,,,,,15.0,,,
,,,,,,,10.0,,,,,,,10.0,,,Ring of Conflict Survival,,,,Epic,70.0,,11.0,,,,,15.0,,,
9.0,,,,,,,,,,,,,,,,,Heirloom Signet of Valor,,,,Uncommon,,,11.0,,,,,14.0,,,
,,,,,,,,,,,,,,9.0,,,Moldavite Ring,,,,Uncommon,63.0,,11.0,,,,,14.0,,,
,,,,,,,,,,,,,,9.0,,,Heirloom Signet of Willpower,,,,Uncommon,,,11.0,,,,,14.0,,,3.0
,,,,,,,18.0,,,,,10.0,,,,,Dread Pirate Ring,,,,Heirloom,,,11.0,,,,,12.0,,,
,,,,,,,9.0,,,2.0,,,,9.0,,,Polished Dragonslayer's Signet,,,,Epic,,,11.0,,,,,20.0,,,8.0
,,,,,,0.5,9.0,,,,,8.0,,,,,Ring of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,5.0,,,,,6.0,,7.0,,,Ashen Band of Endless Destruction,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
8.0,,,,,,,6.0,,,,,6.0,,,,,Ashen Band of Endless Vengeance,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
,,,,,,,6.0,,,,,6.0,,,,,Ashen Band of Endless Might,,1.0,,Epic,1.0,,11.0,Prismatic socket,,,,17.0,7.0,,
,,,,,,0.5,9.0,,,,,7.0,,13.0,,,Signet of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,223.0,,,,,Band of the Traitor King,,,,Epic,80.0,,11.0,,,,,200.0,,,148.0
13.0,,,,,,,9.0,,,,,3.0,,,,,Signet of Twilight,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,
,,,,,,,,,,,,223.0,,,,,Signet of the Traitor King,,,,Epic,80.0,,11.0,,,,,200.0,,,148.0
9.0,,,,,,,,,,,,13.0,,,,,Stained-Glass Shard Ring,,,,Rare,80.0,,11.0,,,,,24.0,,,
,,,,,,,,,10.0,,,,,,,,Band of the Traitor King,,,7.0,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,14.0,,,,,14.0,,,,,The 5 Ring,,,,Epic,80.0,,11.0,,,,,14.0,,,
13.0,,,,,,,6.0,,,,,9.0,,,,,Frostbrood Sapphire Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
9.0,,,,,,0.5,9.0,,,,,8.0,,,,,Band of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,25.0,,,
,,,,,,,6.0,,6.0,,,,,,,,Ashen Band of Endless Courage,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,11.0,11.0,,
,,,,,,,6.0,,,,,,,10.0,,,Lurid Manifestation,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,8.0
13.0,,,,,,,9.0,,,,,9.0,,,,,Ashen Band of Vengeance,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,6.0,,7.0,,,Ashen Band of Endless Wisdom,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,6.0
,,,,,,,8.0,,9.0,,,,,,,,Hallazeal's Demise,,,,Rare,,,11.0,,,,,20.0,13.0,,
13.0,,,,,,,10.0,,,,,7.0,,,,,Band of Stained Souls,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,0.5,9.0,,,,,9.0,,13.0,,,Runed Signet of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,,,
13.0,,13.0,,,,,11.0,,,,,,,,,,Savage Titanium Ring,,1.0,,Rare,78.0,,11.0,Prismatic socket,,,,16.0,13.0,,11.0
,,,,,,,,,,,,9.0,,13.0,,,Ashen Band of Wisdom,,,,Epic,80.0,,11.0,,,,,20.0,,,9.0
,,,,,,,,,,,,9.0,,13.0,,,Band of the Invoker,,,,Epic,80.0,,11.0,,,,,19.0,,,9.0
,,,,,,,,,,,,9.0,,13.0,,,Signet of Hopeful Light,,,,Epic,80.0,,11.0,,,,,23.0,,,
13.0,,,,,,,,,,,,8.0,,,,,Signet of Edward the Odd,,,,Epic,80.0,,11.0,,,,,19.0,,,
,,,,,,,10.0,,,,,4.0,,,,,Ring of Rotting Sinew,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,,,10.0,,,,,,,,Signet of the Traitor King,,,7.0,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,4.0,,,,,10.0,,10.0,,,Valanar's Other Signet Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,,,,,,,,13.0,,,Jasper Ring,,,,Uncommon,79.0,,11.0,,,,,20.0,,,
,,,,,,,4.0,,13.0,,,,,,,,Harbinger's Bone Band,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,10.0,,
,,,,,,,8.0,,,,,9.0,,13.0,,,Ashen Band of Destruction,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,8.0,,13.0,,,,,,,,Ashen Band of Courage,,,,Epic,1.0,,11.0,,,,,20.0,13.0,,
,,,,,,,,,7.0,,,,,,,,Stoneguard Band,,1.0,,Uncommon,77.0,,11.0,Prismatic socket,,,,18.0,9.0,,
13.0,,,,,,,9.0,,,,,3.0,,,,,Signet of Twilight,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,
,,,,,,,9.0,,,,,6.0,,10.0,,,Ring of Rapid Ascent,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,,,,,,6.0,,10.0,,,Memory of Malygos,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,,,,,,,,,,,Signet of the Earthshaker,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,10.0
,,,,,,0.5,9.0,,,,,9.0,,,,,Inscribed Ring of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,,,,,,6.0,,10.0,,,Ring of Phased Regeneration,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,9.0
,,,,,,,,,12.0,,,,,,,,Titanium Earthguard Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,17.0,13.0,,
13.0,,13.0,,,,,13.0,,,,,,,,,,Palladium Ring,,,,Rare,77.0,,11.0,,,,,19.0,13.0,,
,,,,,,,13.0,,,,,7.0,,,,,Ruthlessness,,,,Epic,80.0,,11.0,,,,,14.0,13.0,,
13.0,,,,,,,8.0,,,,,,,,,,Mobius Band,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,9.0,,,,,6.0,,,,,Might of Blight,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
13.0,,13.0,,,,,11.0,,,,,13.0,,,,,Ring of Scarlet Shadows,,1.0,,Rare,78.0,,11.0,Prismatic socket,,,,,13.0,,
,,,,,,0.5,,,,,,,,13.0,,,Loop of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,,,13.0
,,,,,,,9.0,,,,,5.0,,10.0,,,Loop of the Endless Labyrinth,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,,,,,,13.0,,13.0,,,Annhylde's Ring,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,9.0,,,,,,,13.0,,,Seized Beauty,,,,Epic,80.0,,11.0,,,,,19.0,,,9.0
,,,,,,,,,,,16.0,,,,,,Titanium Frostguard Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,23.0,,,
9.0,,,,,,,11.0,,,,,,,,,,Titanium Impact Band,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,23.0,,,
,,,,5.0,,,,,10.0,5.0,5.0,,,,,,Signified Ring of Binding,5.0,,,Epic,80.0,,11.0,,,,,20.0,,,4.0
11.0,,,,,,,7.0,,,,,7.0,,,,,Ashen Band of Unmatched Vengeance,,,,Epic,80.0,,11.0,,,,,15.0,,,
10.0,,,,,,,10.0,,,,,7.0,,,,,Surge Needle Ring,,,,Epic,80.0,,11.0,,,,,22.0,,,
,,,,,,,7.0,,,,,7.0,,,,,Ashen Band of Unmatched Might,,,,Epic,1.0,,11.0,,,,,17.0,10.0,,
13.0,,,,,,,6.0,,,,,9.0,,,,,Frostbrood Sapphire Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
13.0,,,,,,,9.0,,,,,9.0,,,,,Ashen Band of Greater Vengeance,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,8.0,,,,,,,,,9.0,Prismatic Periwinkle Band,,,,Rare,,,11.0,,,,,20.0,13.0,,
,,,,,,,10.0,,,,,,,,,,The Leviathan's Coil,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,3.0
,,,,,,,,,10.0,,,,,,,,Clutch of Fortification,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,3.0
,,,,,,,,,,,,10.0,,13.0,,,Band of Channeled Magic,,,,Epic,80.0,,11.0,,,,,18.0,,,7.0
,,,,,,,,,9.0,,,,,,,,Ring of Earthen Might,,1.0,,Rare,78.0,,11.0,Prismatic socket,,,,12.0,13.0,,3.0
,,,,,,,,,,,,8.0,,,,,Signet of the Accord,,,13.0,Epic,80.0,,11.0,,,,,19.0,9.0,,
,,,,,,,13.0,,,,,11.0,,11.0,,,Ring of Northern Tears,,1.0,,Rare,78.0,,11.0,Prismatic socket,,,,,,,
,,,,,,,8.0,,,,,9.0,,13.0,,,Ashen Band of Greater Destruction,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,6.0,,13.0,,,5.0,,,,,Signet of the Impregnable Fortress,,,,Epic,80.0,,11.0,,,,,20.0,9.0,,
,,,,,,,9.0,,,,,5.0,,10.0,,,Loop of the Endless Labyrinth,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,,,13.0,,,,,,,,Keystone Great-Ring,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,4.0
,,,,,,,13.0,,,,,7.0,,9.0,,,Ring of the Fated,,,,Epic,80.0,,11.0,,,,,19.0,,,
13.0,,13.0,,,,,9.0,,,,,,,,,,Wrathful Gladiator's Band of Triumph,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,9.0
13.0,,,,,,,,,,,,9.0,,,,,Hemorrhaging Circle,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,7.0,,,,,,,,Devium's Eternally Cold Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,13.0,,3.0
,,,,,,,,,,,,13.0,,13.0,,,Band of Guile,,,,Epic,80.0,,11.0,,,,,20.0,,,
13.0,,,,,,,,,,,,,,,,,Dream Signet,,,,Rare,78.0,,11.0,,,,,19.0,,,
13.0,,,,,,,7.0,,,,,,,,,,Jedoga's Greatring,,,,Rare,73.0,,11.0,,,,,19.0,,,
,,,,,,,,,7.0,,,,,,,,Signet of Arachnathid Command,,,,Rare,72.0,,11.0,,,,,18.0,12.0,,3.0
,,,,,,,,,,,,10.0,,14.0,,,Friendship Ring,,,,Uncommon,,,11.0,,,,,21.0,,,8.0
,,,,,,,9.0,,,,,6.0,,,,,Skeleton Lord's Circle,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,,,7.0,,,,,,,,Juggernaut Band,,1.0,7.0,Epic,80.0,,11.0,Prismatic socket,,,,15.0,13.0,,
,,,,,,,,,9.0,,,,,,,,Sand-Worn Band,,,9.0,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,9.0,,,,,,,13.0,,,Timeworn Silken Band,,,,Epic,80.0,,11.0,,,,,19.0,,,7.0
,,,,,,,8.0,,,,,9.0,,13.0,,,The Horseman's Seal,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,6.0,,,,,7.0,,10.0,,,Ashen Band of Unmatched Destruction,,,,Epic,80.0,,11.0,,,,,15.0,,,
,,,,,,,,,,,,9.0,,13.0,,,Ring of Holy Cleansing,,,,Epic,80.0,,11.0,,,,,18.0,,,8.0
9.0,,,,,,,10.0,,,,,6.0,,,,,Sealing Ring of Grobbulus,,,,Epic,80.0,,11.0,,,,,23.0,,,
,,,,,,,,,,,,13.0,,13.0,,,Ring of the Frenzied Wolvar,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,10.0,,,,,8.0,,13.0,,,Signet of Manifested Pain,,,,Epic,80.0,,11.0,,,,,19.0,,,
,,,,,,,7.0,,,,,10.0,,13.0,,,Sinner's Confession,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,0.5,9.0,,,,,9.0,,,,,Runed Ring of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
10.0,,,,,,,9.0,,,,,6.0,,,,,Saurfang's Cold-Forged Band,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,7.0,,13.0,,,,,,,,Deflection Band,,,,Epic,80.0,,11.0,,,,,20.0,10.0,,
,,,,,,,7.0,,,,,,,13.0,,,Signet of Soft Lament,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,8.0
7.0,,,,,,,10.0,,,,,9.0,,,,,Ring of Invincibility,,,,Epic,80.0,,11.0,,,,,24.0,,,
,,,,,,,9.0,,,,,,,13.0,,,Signet of Purity,,,,Epic,80.0,,11.0,,,,,20.0,,,8.0
,,,,,,,5.0,,,,,12.0,,,,,Shadowmight Ring,,2.0,,Uncommon,77.0,,11.0,Prismatic socket,Prismatic socket,,,7.0,,,
,,,,,,,10.0,,,,,8.0,,14.0,,,Finkle's Twinkle,,,,Rare,,,11.0,,,,,21.0,,,
,,,,,,,,,,,,9.0,,10.0,,,Marrowgar's Frigid Eye,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,6.0
,,,,,,,,,,,,6.0,,10.0,,,Ring of Phased Regeneration,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,9.0
,,,,,,,,,,,,7.0,,13.0,,,Lady Maye's Sapphire Ring,,,,Epic,80.0,,11.0,,,,,19.0,,,10.0
13.0,,,,,,,8.0,,,,,7.0,,,,,Brann's Sealing Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,
13.0,,,,,,,9.0,,,,,9.0,,,,,Dexterous Brightstone Ring,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,9.0,,10.0,,,Marrowgar's Frigid Eye,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,6.0
,,,,,,,,,,,,11.0,,5.0,,,Savage Titanium Band,,1.0,,Rare,78.0,,11.0,Prismatic socket,,,,16.0,,,11.0
,,,,,,,8.0,,13.0,,,,,,,,Ashen Band of Greater Courage,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,9.0,,,,,6.0,,10.0,,,Saviana's Tribute,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,,,7.0,,,,,,,,Juggernaut Band,,1.0,7.0,Epic,80.0,,11.0,Prismatic socket,,,,15.0,13.0,,
13.0,,,,,,,8.0,,,,,6.0,,,,,Brann's Signet Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,,,
,,,,,,,9.0,,,,,,,13.0,,,Hateful Gladiator's Band of Dominance,,,,Epic,80.0,,11.0,,,,,18.0,,,9.0
,,,,,,,7.0,,,,,,,13.0,,,Oath of Empress Zoe,,,,Epic,80.0,,11.0,,,,,20.0,,,10.0
,,,,,,,9.0,,,,,6.0,,,,,Skeleton Lord's Circle,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,13.0,,,,,9.0,,10.0,,,Signet of the Malevolent,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,,,13.0,,,King's Eyesocket,,,,Rare,74.0,,11.0,,,,,20.0,,,
,,,,,,0.5,9.0,,,,,9.0,,,,,Etched Ring of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
13.0,,,,,,,7.0,,,,,10.0,,,,,Strong-Handed Ring,,,,Epic,80.0,,11.0,,,,,19.0,,,
,,,,,,,6.0,,9.0,,,,,,,,Ashen Band of Unmatched Courage,,,,Epic,80.0,,11.0,,,,,16.0,11.0,,
,,,,,,,,,,,,9.0,,13.0,,,Ashen Band of Greater Wisdom,,,,Epic,80.0,,11.0,,,,,20.0,,,9.0
,,,,,,,6.0,,,,,9.0,,,,,Thrice Fanged Signet,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,6.0,,,,,,,,,,Iceforged Battle Ring,,,,Rare,,,11.0,,,,,19.0,13.0,,5.0
,,,,,,,,,,,,207.0,,,,,Ring of Holy Cleansing,,,,Epic,80.0,,11.0,,,,,200.0,,,164.0
,,,,,,,,,,,,,,14.0,,8.0,Kibble,,,,Rare,78.0,,11.0,,,,,21.0,,,10.0
13.0,,,,,,,6.0,,,,,8.0,,,,,Band of the Bone Colossus,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
,,,,,,,6.0,,,,,,,10.0,,,Incarnadine Band of Mending,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,6.0,,,,,,,10.0,,,Ring of Maddening Whispers,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,8.0,,,,,,,13.0,,,Ring of the Faithful Servant,,,,Epic,80.0,,11.0,,,,,20.0,,,10.0
,,,,,,,6.0,,,,,8.0,,,,,Rotface's Rupturing Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,13.0,,,,,,,13.0,,,Ring of the Traitor King,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,6.0,,10.0,,,Signet of Putrefaction,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,7.0,,,,,,,13.0,,,Renewal of Life,,,,Epic,80.0,,11.0,,,,,19.0,,,10.0
,,,,,,,9.0,,,,,8.0,,,,,The Lady's Promise,,,,Epic,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,,,7.0,,,,,,,,Band of the Traitor King,,1.0,7.0,Epic,80.0,,11.0,Prismatic socket,,,,15.0,13.0,,
,,,,,,,9.0,,,,,,,13.0,,,Wicked Witch's Band,,,,Epic,80.0,,11.0,,,,,20.0,,,9.0
,,,,,,,,,,,,8.0,,13.0,,,Ring of Decaying Beauty,,,,Epic,80.0,,11.0,,,,,19.0,,,9.0
,,,,,,,9.0,,,,,,,13.0,,,Heartmender Circle,,,,Epic,80.0,,11.0,,,,,19.0,,,9.0
,,,,,,,6.0,,,,,,,10.0,,,Ring of Maddening Whispers,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,11.0,,,,,,,11.0,,,Titanium Spellshock Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
13.0,,13.0,,,,,9.0,,,,,,,,,,Hateful Gladiator's Band of Triumph,,,,Epic,80.0,,11.0,,,,,19.0,13.0,,9.0
,,,,,,,,,8.0,,,,,,,,Band of the Twin Val'kyr,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,8.0,,3.0
9.0,,,,,,0.5,9.0,,,,,9.0,,,,,Inscribed Band of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,25.0,,,
9.0,,,,,,0.5,9.0,,,,,9.0,,,,,Etched Band of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,25.0,,,
,,,,,,,,,,,,7.0,,13.0,,,Wyrmrest Band,,,,Epic,80.0,,11.0,,,,,18.0,,,9.0
,,,,,,,7.0,,13.0,,,,,,,,Gal'darah's Signet,,,,Rare,76.0,,11.0,,,,,20.0,13.0,,
,,,,,,,4.0,,,,,10.0,,10.0,,,Valanar's Other Signet Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,9.0,,,,,9.0,,,,,Ashen Band of Might,,,,Epic,1.0,,11.0,,,,,20.0,13.0,,
,,,,,,0.5,9.0,,,,,9.0,,13.0,,,Inscribed Signet of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,13.0,,13.0,,,Solitaire of Reflecting Beams,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,,,,,,Bouquet Ring,,,,Uncommon,78.0,,11.0,,,,,19.0,13.0,,
13.0,,,,,,,10.0,,,,,,,,,,Jagged Ice Band,,,,Rare,,,11.0,,,,,19.0,,,
11.0,,,,,,,,,,,,,,,,,Devotional Band,,,,Uncommon,71.0,,11.0,,,,,17.0,,,
,,,,,,,10.0,,,,,,,,,9.0,Band of Finding,,,,Uncommon,,,11.0,,,,,21.0,14.0,,
5.0,,,,,,,10.0,,,,,7.0,,,,,Greatring of Collision,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,24.0,,,
,,,,,,,8.0,,,,,10.0,,13.0,,,Band of Channeled Magic,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,5.0,,,,,7.0,,,,,Seal of Ulduar,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,8.0,,3.0
13.0,,,,,,,9.0,,,,,7.0,,,,,Loop of the Agile,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,17.0,,,
,,,,,,,6.0,,,,,,,10.0,,,Band of Deplorable Violence,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,8.0
,,,,5.0,,,,,10.0,5.0,5.0,,,,,,Runed Ring of Binding,5.0,,,Epic,80.0,,11.0,,,,,20.0,,,4.0
,,,,,Death knight,,9.0,,,,,,,,,9.0,Ebonsoul Band of Might,,,,Uncommon,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,8.0,,13.0,,,,,,,,Dragonflight Great-Ring,,,,Rare,78.0,,11.0,,,,,20.0,13.0,,
,,,,,,,,,6.0,,,,,,,,Nerubian Shield Ring,,,,Rare,80.0,,11.0,,,,,20.0,13.0,,4.0
,,,,,,,9.0,,,,,6.0,,10.0,,,Ring of Rapid Ascent,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,
,,,,,,,9.0,,,,,6.0,,,,,Old Gods' Blessing,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
,,,,,,,13.0,,,,,9.0,,,,,Circle of Death,,,,Epic,80.0,,11.0,,,,,13.0,13.0,,
13.0,,,,,,,9.0,,,,,6.0,,,,,Seal of Many Mouths,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
,,,,,,,13.0,,,,,,,13.0,,,Globule Signet,,,,Rare,80.0,,11.0,,,,,20.0,,,
,,,,,,,,,,,,13.0,,13.0,,,Signet of Ranulf,,,,Rare,78.0,,11.0,,,,,20.0,,,
13.0,,,,,,,8.0,,,,,9.0,,,,,Ring of Carnelian and Bone,,,,Epic,80.0,,11.0,,,,,20.0,,,
13.0,,,,,,0.5,9.0,,,,,8.0,,,,,Runed Band of the Kirin Tor,,,,Epic,80.0,,11.0,,,,,20.0,,,
,,,,,,,6.0,,,,,,,10.0,,,Incarnadine Band of Mending,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,19.0,,,9.0
,,,,,,,9.0,,,,,9.0,,,,,Ashen Band of Greater Might,,,,Epic,1.0,,11.0,,,,,20.0,13.0,,
,,,,,Shaman,,10.0,,,,,7.0,,13.0,,,Stormbinder Ring of Destruction,,,,Uncommon,80.0,,11.0,,,,,20.0,,,
,,,,,Paladin,,,,7.0,,,,,,,10.0,Zealous Ring of Stoicism,,,,Uncommon,80.0,,11.0,,,,,20.0,13.0,,
,,,,,,,,,9.0,,,,,,,,Unsmashable Heavy Band,,,8.0,Rare,80.0,,11.0,,,,,20.0,13.0,,
13.0,,,,,,,6.0,,,,,8.0,,,,,Band of the Bone Colossus,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,,,
,,,,,,,13.0,,,,,,,13.0,,,Amberglow Signet,,,,Rare,,,11.0,,,,,19.0,,,
,,,,,,,,,,,,10.0,,13.0,,,Ring of the Northern Winds,,,,Rare,,,11.0,,,,,19.0,,,
,,,,,,,,,,,,,,13.0,,,Engraved Ring,,,,Uncommon,77.0,,11.0,,,,,19.0,,,
12.0,,,,,,,,,,,,,,,,,Stirrup Ring,,,,Uncommon,76.0,,11.0,,,,,18.0,,,
,,,,,,,9.0,,,,,,,,,,Band of Flair,,,,Uncommon,,,11.0,,,,,21.0,14.0,,10.0
,,,,,,,,,,,,,,14.0,,,Jasper Ring,,,,Rare,79.0,,11.0,,,,,21.0,,,
,,,,,,,,,7.0,,,,,,,,Devium's Eternally Cold Ring,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,15.0,13.0,,3.0
,,,,,,,6.0,,,,,9.0,,,,,Thrice Fanged Signet,,1.0,,Epic,80.0,,11.0,Prismatic socket,,,,20.0,10.0,,
