agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,rgdcritstrkrtng,slotbak,socket1,socket2,socket3,speed,speedbonus,sta,str,strint,versatility
17.0,17.0,,24.0,,,16.0,,55.0,,,11.0,,17.0,,,,Gloves of the Fiery Behemoth,,,,Epic,,80.0,,10.0,,,,,,20.0,,,
,,,36.0,Paladin,,9.0,16.0,55.0,,,,,13.0,-22.0,,,Valorous Redemption Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,13.0,13.0,
,,,36.0,Death knight,,9.0,,55.0,,,11.0,,18.0,-83.0,,,Conqueror's Darkruned Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,18.0,18.0,
18.0,18.0,,16.0,,,11.0,,55.0,,,12.0,,18.0,,,,Frosted Adroit Handguards,,,,Epic,,80.0,,10.0,,,,,,24.0,,,
,,,10.0,,,,,55.0,,,10.0,,17.0,,,,Touch of the Occult,,,,Epic,,80.0,,10.0,,,,,,25.0,,,12.0
14.0,14.0,,16.0,Druid,,12.0,,55.0,,,9.0,,14.0,-28.0,,,Valorous Dreamwalker Handgrips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,28.0,,,
,,,36.0,Paladin,,9.0,9.0,55.0,,,,,14.0,-265.0,,,Sanctified Lightsworn Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,14.0,14.0,4.0
14.0,14.0,,24.0,Hunter,,10.0,,55.0,,,10.0,,14.0,838.0,,,Valorous Scourgestalker Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,10.0,,,9.0,,55.0,,,13.0,,17.0,,,,Static Charge Handwraps,,,,Epic,,80.0,,10.0,,,,,,25.0,,,
17.0,17.0,,16.0,Rogue,,12.0,,55.0,,,9.0,,17.0,-815.0,,,VanCleef's Gauntlets of Conquest,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
17.0,17.0,,24.0,,,9.0,,55.0,,,17.0,,17.0,,,,Handgrips of the Savage Emissary,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
17.0,17.0,,16.0,,,12.0,,55.0,,,11.0,,17.0,,,,Gloves of Dismal Fortune,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
,,,36.0,Death knight,,9.0,9.0,55.0,,,,,14.0,-262.0,,,Sanctified Scourgelord Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,14.0,14.0,4.0
,,,36.0,,,,,55.0,,,13.0,,17.0,,,,Web Cocoon Grips,,,,Epic,,80.0,,10.0,,,,,,25.0,17.0,17.0,10.0
17.0,17.0,,16.0,,,13.0,,55.0,,,10.0,,17.0,,,,Gloves of the Endless Dark,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,17.0,,,
17.0,17.0,,24.0,,,16.0,,55.0,,,11.0,,17.0,,,,Gloves of Unerring Aim,,,,Epic,,80.0,,10.0,,,,,,20.0,,,
18.0,18.0,,16.0,,,12.0,,55.0,,,11.0,,18.0,,,,Gloves of Smoldering Touch,,,,Epic,,80.0,,10.0,,,,,,24.0,,,
,,,36.0,,,12.0,,55.0,,,10.0,,18.0,,,,Gauntlets of Ruthless Reprisal,,,,Epic,,80.0,,10.0,,,,,,26.0,18.0,18.0,
,,,10.0,Priest,,,,55.0,,,10.0,,17.0,-82.0,,,Conqueror's Gloves of Sanctification,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,,,12.0
14.0,14.0,,16.0,,,12.0,,55.0,,,6.0,,14.0,,,,Aldriana's Gloves of Secrecy,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,21.0,,,
17.0,17.0,,16.0,,,12.0,,55.0,,,9.0,,17.0,,,,Dislocating Handguards,,,,Epic,,80.0,,10.0,,,,,,27.0,,,
,,,30.0,,,,9.0,50.0,,,,,14.0,,,,Grips of the Valiant Champion,,,11.0,Rare,,72.0,,10.0,,,,,,21.0,14.0,14.0,
,,,40.0,,,14.0,,50.0,,,,,19.0,,,11.0,Handguards of Sturdy Constitution,,,,Rare,,1.0,,10.0,,,,,,29.0,19.0,19.0,
,,,36.0,,,,,55.0,,,11.0,,17.0,,,,Gauntlets of Serene Blessing,,,,Epic,,80.0,,10.0,,,,,,25.0,17.0,17.0,11.0
,,,36.0,Death knight,,9.0,,55.0,,,,,14.0,-269.0,,,Wrathful Gladiator's Dreadplate Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,12.0
15.0,15.0,,24.0,Hunter,,15.0,,55.0,,,9.0,,15.0,-754.0,,,Heroes' Cryptstalker Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
,,,36.0,,,8.0,,55.0,,,,,15.0,,,,Plated Gloves of Relief,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,15.0,15.0,13.0
,,,36.0,,,10.0,,55.0,,,13.0,,17.0,,,,Weeping Gauntlets,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
14.0,14.0,,24.0,Hunter,,10.0,,55.0,,,10.0,,14.0,-87.0,,,Conqueror's Scourgestalker Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,36.0,Warrior,,8.0,,55.0,,,12.0,,18.0,-79.0,,,Conqueror's Siegebreaker Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,18.0,18.0,
,,,33.0,,,11.0,,50.0,,,15.0,,15.0,,,,Gauntlets of Disembowelment,,,,Rare,,76.0,,10.0,,,,,,15.0,15.0,15.0,
12.0,12.0,,24.0,,,,,55.0,,,12.0,,12.0,,,,Unclean Surgical Gloves,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,6.0
,,,36.0,Warrior,,8.0,,55.0,,,,,13.0,-18.0,,,Valorous Dreadnaught Handguards,,1.0,16.0,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,13.0,13.0,
,,,10.0,Mage,,12.0,,55.0,,,10.0,,17.0,-85.0,,,Conqueror's Kirin Tor Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,,,
,,,9.0,,,,,40.0,,,11.0,,20.0,764.0,,,Duskweave Gloves,,,,Uncommon,,76.0,,10.0,,,,,,22.0,,,
,,,36.0,,,12.0,,55.0,,,6.0,,12.0,,,,Fallen Lord's Handguards,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,12.0,12.0,
17.0,17.0,,16.0,Rogue,,12.0,,55.0,,,9.0,,17.0,-150.0,,,VanCleef's Gauntlets of Triumph,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
14.0,14.0,,16.0,Rogue,,9.0,,55.0,,,,,14.0,-277.0,,,Wrathful Gladiator's Leather Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,12.0
17.0,17.0,,16.0,Rogue,,9.0,,55.0,,,11.0,,17.0,-788.0,,,Valorous Terrorblade Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,,,
11.0,11.0,,24.0,Hunter,,12.0,,50.0,,,,,11.0,-771.0,,,Savage Gladiator's Chain Gauntlets,,1.0,,Rare,,80.0,,10.0,Prismatic socket,,,,,26.0,,,12.0
,,,36.0,,,,17.0,50.0,,,,,17.0,,,,Refined Ore Gloves,,,,Rare,,80.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,Death knight,,9.0,9.0,55.0,,,,,13.0,-243.0,,,Sanctified Scourgelord Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,13.0,13.0,4.0
,,,36.0,Death knight,,12.0,,55.0,,,9.0,,15.0,-261.0,,,Sanctified Scourgelord Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,27.0,15.0,15.0,
15.0,15.0,,24.0,Shaman,,12.0,,55.0,,,9.0,,15.0,-257.0,,,Sanctified Frost Witch's Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,
,,,36.0,Paladin,,9.0,,55.0,,,,,14.0,-267.0,,,Wrathful Gladiator's Scaled Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,12.0
11.0,11.0,,24.0,,,7.0,,55.0,,,8.0,,11.0,,,,Gloves of the Steady Hand,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,26.0,,,
14.0,14.0,,24.0,Hunter,,12.0,,55.0,,,9.0,,14.0,-236.0,,,Sanctified Ahn'Kahar Blood Hunter's Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,10.0,Priest,,,,55.0,,,10.0,,17.0,-795.0,,,Valorous Gloves of Sanctification,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,,,13.0
,,,36.0,,,12.0,,55.0,,,9.0,,17.0,,,,Gauntlets of the Stouthearted Crusader,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,17.0,17.0,
,,,36.0,Death knight,,8.0,,55.0,,,,,13.0,-84.0,,,Conqueror's Darkruned Handguards,,1.0,16.0,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,13.0,13.0,
15.0,15.0,,16.0,,,9.0,,55.0,,,10.0,,15.0,,,,Rapid Attack Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
17.0,17.0,,16.0,,,12.0,,50.0,,,6.0,,17.0,,,,Cat Burglar's Grips,,,,Rare,,80.0,,10.0,,,,,,17.0,,,
16.0,16.0,,16.0,Druid,,,,55.0,,,8.0,,16.0,-29.0,,,Valorous Dreamwalker Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,,,13.0
,,,10.0,,,13.0,,55.0,,,,,17.0,,,,Ebonweave Gloves,,,,Epic,,80.0,,10.0,,,,,,29.0,,,
,,,10.0,,,6.0,,55.0,,,12.0,,12.0,,,,Gunship Captain's Mittens,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,
,,,36.0,Paladin,,,9.0,55.0,,,,,17.0,-70.0,,,Conqueror's Aegis Handguards,,1.0,13.0,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,17.0,17.0,
,,,36.0,Warrior,,7.0,,55.0,,,,,15.0,-37.0,,,Hateful Gladiator's Plate Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,15.0,15.0,9.0
14.0,14.0,,16.0,Druid,,9.0,,55.0,,,,,14.0,-275.0,,,Wrathful Gladiator's Wyrmhide Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,12.0
,,,36.0,Warrior,,9.0,,55.0,,,12.0,,15.0,-748.0,,,Heroes' Dreadnaught Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,15.0,15.0,
,,,33.0,,,,,40.0,,,,,16.0,,,,Jormungar Gauntlets,,,,Uncommon,,74.0,,10.0,,,,,,24.0,16.0,16.0,
,,,10.0,,,,,50.0,,,,,17.0,,,,Sterile Flesh-Handling Gloves,,,,Rare,,80.0,,10.0,,,,,,31.0,,,12.0
,,,36.0,,,,24.0,50.0,,,,,10.0,,,,Tempered Saronite Gauntlets,,,,Rare,,78.0,,10.0,,,,,,20.0,10.0,10.0,
17.0,17.0,,16.0,,,12.0,,50.0,,,,,17.0,813.0,,,Eviscerator's Gauntlets,,,,Rare,,78.0,,10.0,,,,,,26.0,,,12.0
,,,10.0,,,,,,,,5.0,,17.0,,,,Static Charge Handwraps,,,,Epic,,80.0,,10.0,,,,,,26.0,,,18.0
,,,10.0,Priest,,10.0,,55.0,,,,,16.0,-34.0,,,Valorous Gloves of Faith,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,,,10.0
,,,36.0,Paladin,,8.0,16.0,55.0,,,,,13.0,-751.0,,,Heroes' Redemption Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,13.0,13.0,
,,,10.0,,,,,55.0,,,13.0,,15.0,,,,Handwraps of Surrendered Hope,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,,,8.0
,,,10.0,,,11.0,,55.0,,,,,19.0,,,,Handwraps of Resonance,,,,Epic,,80.0,,10.0,,,,,,25.0,,,12.0
17.0,17.0,,24.0,,,,,55.0,,,,,17.0,,,,Grips of Fierce Pronouncements,,,,Epic,,80.0,,10.0,,,,,,25.0,,,17.0
,,,10.0,Priest,,,,55.0,,,9.0,,15.0,-249.0,,,Sanctified Crimson Acolyte Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,12.0
15.0,15.0,,17.0,Druid,,12.0,,55.0,,,9.0,,15.0,-252.0,,,Sanctified Lasherweave Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,
,,,36.0,Warrior,,8.0,,55.0,,,,,13.0,-747.0,,,Heroes' Dreadnaught Handguards,,1.0,16.0,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,13.0,13.0,
,,,36.0,,,9.0,,55.0,,,14.0,,17.0,,,,Gauntlets of Combined Strength,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
14.0,14.0,,24.0,,,6.0,,50.0,,,8.0,,14.0,,,,Logsplitters,,,,Rare,,80.0,,10.0,,,,,,26.0,,,
,,,36.0,Warrior,,12.0,,,,,9.0,,14.0,-199.0,,,Hellscream's Gauntlets of Triumph,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
14.0,14.0,,24.0,Hunter,,12.0,,55.0,,,9.0,,14.0,-847.0,,,Ahn'Kahar Blood Hunter's Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
17.0,17.0,,16.0,Rogue,,9.0,,55.0,,,11.0,,17.0,-75.0,,,Conqueror's Terrorblade Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,,,
,,,10.0,Mage,,12.0,,55.0,,,10.0,,17.0,-798.0,,,Valorous Kirin Tor Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,,,
,,,10.0,Mage,,13.0,,55.0,,,9.0,,13.0,-763.0,,,Heroes' Frostfire Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,36.0,,,13.0,18.0,55.0,,,,,17.0,,,,Horn-Tipped Gauntlets,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,,,,,55.0,,,11.0,,16.0,,,,Gauntlets of Guiding Touch,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,16.0,16.0,10.0
15.0,15.0,,17.0,Druid,,,,55.0,,,9.0,,15.0,-251.0,,,Sanctified Lasherweave Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,12.0
,,,10.0,,,,,55.0,,,12.0,,12.0,,,,San'layn Ritualist Gloves,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,6.0
,,,36.0,Paladin,,12.0,,55.0,,,9.0,,15.0,-264.0,,,Sanctified Lightsworn Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,27.0,15.0,15.0,
,,,10.0,,,,,55.0,,,11.0,,17.0,,,,Handwraps of Plentiful Recovery,,,,Epic,,80.0,,10.0,,,,,,26.0,,,11.0
,,,36.0,Death knight,,8.0,16.0,55.0,,,,,13.0,-753.0,,,Heroes' Scourgeborne Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,13.0,13.0,
11.0,11.0,,24.0,,,12.0,,55.0,,,6.0,,11.0,,,,Blizzard Keeper's Mitts,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,
17.0,17.0,,16.0,,,13.0,,55.0,,,,,17.0,,,,Contagion Gloves,,,,Epic,,80.0,,10.0,,,,,,25.0,,,10.0
17.0,17.0,,24.0,,,12.0,,55.0,,,10.0,,17.0,,,,Hoarfrost Gauntlets,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
,,,36.0,Paladin,,12.0,,55.0,,,9.0,,15.0,-749.0,,,Heroes' Redemption Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,15.0,15.0,
,,,36.0,Warrior,,12.0,,55.0,,,9.0,,14.0,-240.0,,,Sanctified Ymirjar Lord's Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
,,,36.0,,,10.0,,55.0,,,17.0,,17.0,,,,Crude Discolored Battlegrips,,,,Epic,,80.0,,10.0,,,,,,19.0,17.0,17.0,
15.0,15.0,,16.0,Rogue,,12.0,,55.0,,,9.0,,15.0,-761.0,,,Heroes' Bonescythe Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,10.0,,,12.0,,55.0,,,,,17.0,,,,Constructor's Handwraps,,,,Epic,,80.0,,10.0,,,,,,26.0,,,11.0
,,,10.0,,,12.0,,55.0,,,13.0,,14.0,,,,Pharos Gloves,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,
17.0,17.0,,16.0,Druid,,9.0,,55.0,,,7.0,,17.0,-789.0,,,Valorous Nightsong Handgrips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,29.0,,,
17.0,17.0,,24.0,,,10.0,,55.0,,,9.0,,17.0,,,,Gloves of Whispering Winds,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
,,,10.0,,,10.0,,55.0,,,12.0,,17.0,,,,Cold Sweat Grips,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
11.0,11.0,,24.0,,,,,55.0,,,12.0,,11.0,,,,Unclean Surgical Gloves,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,,,6.0
,,,36.0,,,9.0,17.0,55.0,,,,,13.0,,,,Gauntlets of the Master,,,,Epic,,80.0,,10.0,,,,,,26.0,13.0,13.0,
,,,36.0,Paladin,,13.0,,55.0,,,8.0,,16.0,-21.0,,,Valorous Redemption Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,16.0,16.0,
,,,36.0,Warrior,,12.0,,55.0,,,9.0,,14.0,-825.0,,,Wrynn's Gauntlets of Conquest,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
,,,37.0,,,12.0,,50.0,,,,,18.0,,,12.0,Stormforged Gauntlets,,,,Rare,,80.0,,10.0,,,,2.6,,27.0,18.0,18.0,
15.0,15.0,,24.0,,,12.0,,55.0,,,6.0,,15.0,,,,Anub'ar Stalker's Gloves,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,21.0,,,
14.0,14.0,,24.0,Shaman,,9.0,,55.0,,,12.0,,14.0,-72.0,,,Conqueror's Worldbreaker Grips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
17.0,17.0,,16.0,,,,,50.0,,,,,17.0,815.0,,,Overcast Handwraps,,,,Rare,,78.0,,10.0,,,,,,26.0,,,24.0
,,,36.0,,,,,55.0,,,,,17.0,,,,Gauntlets of the Kraken,,2.0,12.0,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,17.0,17.0,17.0,4.0
11.0,11.0,,24.0,,,12.0,,55.0,,,6.0,,11.0,,,,Handgrips of Frost and Sleet,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,26.0,,,
,,,36.0,Warrior,,12.0,,,,,9.0,,14.0,-198.0,,,Wrynn's Gauntlets of Triumph,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
14.0,14.0,,24.0,,,8.0,,55.0,,,9.0,,14.0,,,,Logsplitters,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,21.0,,,
,,,36.0,,,13.0,,55.0,,,10.0,,17.0,,,,Gauntlets of Dragon Wrath,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,,,,12.0,55.0,,,,,17.0,,,,Crystalline Citadel Gauntlets,,,10.0,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
17.0,17.0,,16.0,,,17.0,,55.0,,,,,17.0,,,,Gilt-Edged Leather Gauntlets,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
,,,36.0,,,16.0,,50.0,,,,,17.0,,,,Plate Claws of the Dragon,,,,Rare,,75.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,,,,24.0,50.0,,,,,10.0,,,,Daunting Handguards,,,,Rare,,78.0,,10.0,,,,,,20.0,10.0,10.0,
,,,36.0,,,8.0,,55.0,,,,,15.0,,,,Handguards of Revitalization,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,23.0,15.0,15.0,12.0
17.0,17.0,,24.0,,,15.0,,55.0,,,10.0,,17.0,,,,Gloves of the Dark Exile,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,20.0,,,
16.0,16.0,,16.0,,,,,55.0,,,7.0,,16.0,,,,Grips of the Unbroken,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,13.0
,,,36.0,,,11.0,,45.0,,,,,18.0,,,,Gauntlets of Mending Touch,,,,Rare,,80.0,,10.0,,,,,,31.0,18.0,18.0,
,,,10.0,Warlock,,10.0,,55.0,,,13.0,,13.0,-762.0,,,Heroes' Plagueheart Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,,,
16.0,16.0,,16.0,Druid,,10.0,,55.0,,,12.0,,16.0,-77.0,,,Conqueror's Nightsong Gloves,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,24.0,,,
,,,36.0,,,12.0,,55.0,,,6.0,,11.0,,,,Fleshrending Gauntlets,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,26.0,11.0,11.0,
,,,36.0,,,10.0,,55.0,,,16.0,,16.0,,,,Zeliek's Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,18.0,16.0,16.0,
,,,40.0,,,11.0,,50.0,,,14.0,,19.0,,,,Plough Driving Grips,,,,Rare,,80.0,,10.0,,,,,,29.0,19.0,19.0,
15.0,15.0,,24.0,Shaman,,12.0,,55.0,,,9.0,,15.0,-258.0,,,Sanctified Frost Witch's Grips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,27.0,,,
,,,36.0,,,10.0,17.0,55.0,,,,,12.0,,,,Gauntlets of the Royal Watch,,,,Epic,,80.0,,10.0,,,,,,26.0,12.0,12.0,
14.0,14.0,,24.0,Hunter,,14.0,,55.0,,,9.0,,14.0,-153.0,,,Windrunner's Handguards of Triumph,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
17.0,17.0,,24.0,,,12.0,,55.0,,,11.0,,17.0,,,,Mitts of Burning Hail,,,,Epic,,80.0,,10.0,,,,,,26.0,,,
,,,36.0,Warrior,,12.0,,55.0,,,9.0,,14.0,-851.0,,,Ymirjar Lord's Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
,,,10.0,,,17.0,,55.0,,,6.0,,17.0,,,,Gloves of the Fallen Wizard,,,,Epic,,80.0,,10.0,,,,,,23.0,,,
,,,36.0,Paladin,,8.0,,55.0,,,,,16.0,-101.0,,,Furious Gladiator's Scaled Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,16.0,16.0,9.0
17.0,17.0,,16.0,Druid,,9.0,,55.0,,,7.0,,17.0,-76.0,,,Conqueror's Nightsong Handgrips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,29.0,,,
,,,36.0,,,13.0,,50.0,,,,,17.0,,,,Grips of Sculptured Icicles,,,,Rare,,80.0,,10.0,,,,,,26.0,17.0,17.0,
16.0,16.0,,24.0,Shaman,,16.0,,55.0,,,7.0,,16.0,-36.0,,,Valorous Earthshatter Grips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,22.0,,,
17.0,17.0,,16.0,,,12.0,,55.0,,,8.0,,17.0,,,,Gloves of the Argent Fanatic,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
,,,36.0,,,12.0,,55.0,,,10.0,,17.0,,,,Plated Grips of Korth'azz,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,,,17.0,,50.0,,,,,17.0,,,,Gauntlets of the Kraken,,,,Rare,,80.0,,10.0,,,,,,26.0,17.0,17.0,6.0
,,,36.0,,,9.0,14.0,55.0,,,,,14.0,,,,Mercy's Hold,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
,,,36.0,,,12.0,,55.0,,,6.0,,11.0,,,,Fallen Lord's Handguards,,2.0,,Epic,,80.0,,10.0,Prismatic socket,Prismatic socket,,,,25.0,11.0,11.0,
,,,36.0,,,12.0,,55.0,,,10.0,,17.0,,,,Rescinding Grips,,,,Epic,,80.0,,10.0,,,,,,25.0,17.0,17.0,
,,,10.0,,,,,55.0,,,,,17.0,,,,Moonshroud Gloves,,,,Epic,,80.0,,10.0,,,,,,25.0,,,18.0
,,,36.0,Death knight,,9.0,,55.0,,,11.0,,16.0,-796.0,,,Valorous Darkruned Gauntlets,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,16.0,16.0,
,,,36.0,,,,,50.0,,,17.0,,17.0,,,,Web Winder Gloves,,,,Rare,,80.0,,10.0,,,,,,25.0,17.0,17.0,
,,,36.0,Warrior,,,11.0,55.0,,,,,17.0,-162.0,,,Wrynn's Handguards of Triumph,,1.0,9.0,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,17.0,17.0,
,,,36.0,,,,,55.0,,,,,17.0,,,,Handguards of the Enclave,,,,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,14.0
,,,36.0,,,,11.0,55.0,,,,,17.0,,,,Callous-Hearted Gauntlets,,,12.0,Epic,,80.0,,10.0,,,,,,26.0,17.0,17.0,
,,,36.0,Paladin,,12.0,,55.0,,,9.0,,14.0,-835.0,,,Turalyon's Gauntlets of Conquest,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,26.0,14.0,14.0,
14.0,14.0,,24.0,Hunter,,14.0,,55.0,,,9.0,,14.0,-152.0,,,Windrunner's Handguards of Triumph,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
15.0,15.0,,24.0,Shaman,,16.0,,55.0,,,7.0,,15.0,-755.0,,,Heroes' Earthshatter Grips,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,21.0,,,
,,,10.0,Priest,,9.0,,55.0,,,,,15.0,-764.0,,,Heroes' Gloves of Faith,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,23.0,,,13.0
,,,10.0,Mage,,9.0,,55.0,,,,,14.0,-280.0,,,Wrathful Gladiator's Silk Handguards,,1.0,,Epic,,80.0,,10.0,Prismatic socket,,,,,25.0,,,12.0
,,,40.0,,,,,50.0,,,11.0,,19.0,,,14.0,Partycrasher's Gauntlets,,,,Rare,,1.0,,10.0,,,,,,29.0,19.0,19.0,
