agi,agiint,agistr,agistrint,arcres,armorbonus,avoidance,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,reqspell,resirtng,slotbak,socket1,socket2,socket3,speed,speedbonus,spi,splpwr,sta,str,versatility
26.0,,,,,,,,,,,,,,,,,,,Rune of Re-Origination,,,,,Epic,90.0,,,12.0,,,,,,,,,,
19.0,,,,,,,Druid,,,,,,,,,,,,Springrain Stone of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Jade Bandit Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Empty Fruit Barrel,,,,,Rare,90.0,,,12.0,,,,,,,,,,25.0
,,,,,,,,0.016666666666666666,,,,,,,,,,,Shado-Pan Dragon Gun,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Pouch of White Ash,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Tyrannical Gladiator's Medallion of Tenacity,,,,,Epic,90.0,,,12.0,,,,,,,,30.0,,
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Jade Bandit Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Dominator's Arcane Badge,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Price of Progress,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Scroll of Revered Ancestors,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,,,,,,,,,,,,Springrain Stone of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Priest,,,,,,,,,,,17.0,Communal Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Vision of the Predator,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Skullrender Medallion,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Tyrannical Gladiator's Medallion of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,25.0
,,,,,,,,0.016666666666666666,,,,,,,,,,,Dominator's Durable Badge,,,,,Rare,90.0,,,12.0,,,,,,,,,,25.0
,,,,,,,,0.016666666666666666,,,,,,,,,,,Iron Belly Wok,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Malevolent Gladiator's Badge of Conquest,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,25.0,,,,,,,,,,Emblem of Kypari Zar,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Iron Protector Talisman,,,,,Rare,88.0,,,12.0,,,,,,,,38.0,,
,,,,,,,,,,,,,,,,17.0,,,Heart of Unliving,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Will of Unbinding,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,16.0,,,Heart of Unliving,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,24.0,,,Piercing Eye of the Beast,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Bequeathed Insignia of the Horde,,,,,Heirloom,,,,12.0,,,,,,,,,,24.0
,,,,,,,,0.016666666666666666,,,,,,,,,,,Scales of Life,,,,,Epic,85.0,,,12.0,,,,,,,,36.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,24.0,Cataclysmic Gladiator's Medallion of Tenacity,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,24.0,,,Insignia of the Corrupted Mind,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,23.0,,,Core of Ripeness,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.1,,,,,,,,,,23.0,Baradin Grunt's Talisman,,,,,Rare,85.0,,,12.0,,,,0.5,,,,,,
,,,,,,,,,,,,,,,,,,,Symbiotic Worm,,,,,Epic,85.0,,,12.0,,,,,,,,35.0,,
,,,,,,,,0.025,,,,,,,,,,,Mark of Khardros,,,,,Rare,85.0,,,12.0,,,,,,,,,23.0,
,,,,,,,,,,,,,,,,23.0,,,Talisman of Sinister Order,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,23.0,,,,,,,,Porcelain Crab,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,23.0,,,Figurine - Dream Owl,,,,,Rare,81.0,,,12.0,,,,2.2,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,23.0,Mirror of Broken Images,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,23.0,,,,,,,,,,Anhuur's Hymnal,,,,,Rare,83.0,,,12.0,,,,,,,,,,
,,,,,,,,,23.0,,,,,,,,,,License to Slay,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,,,,,,,,,,,Bubblier Brightbrew Charm,,,,,Epic,85.0,,,12.0,,,,,,,,35.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,23.0,Impatience of Youth,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,23.0,Ruthless Gladiator's Medallion of Tenacity,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Za'brox's Lucky Tooth,,,,,Uncommon,,,,12.0,,,,,,,,35.0,,
,,,,,,,,,,,,,,,,,,,Thok's Tail Tip,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Rook's Unlucky Talisman,,,,,Epic,90.0,,,12.0,,,,,,,,43.0,,
,,,,,,,,,29.0,,,,,,,,,,Haromm's Talisman,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Sigil of Rampage,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,29.0,Nazgrim's Burnished Insignia,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,28.0,Nazgrim's Burnished Insignia,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,28.0,Bad Juju,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,28.0,Fortitude of the Zandalari,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Soul Barrier,,,,,Epic,90.0,,,12.0,,,,,,,,42.0,,
28.0,,,,,,,,,,,,,,,,,,,Rune of Re-Origination,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,28.0,,,Yu'lon's Bite,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Purified Bindings of Immerseus,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Thok's Acid-Grooved Tooth,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,27.0,,,Dysmorphic Samophlange of Discontinuity,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,27.0,,,,,,,,,,Tiny Iron Star,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Grievous Gladiator's Emblem of Tenacity,,,,,Epic,90.0,,,12.0,,,,,,,,32.0,,
,,,,,,,,,,,,,,,,,,,Bladespike Charm,,,,,Epic,90.0,,,12.0,,,,,,,,,27.0,
,,,,,,,,,,,,,,,,27.0,,,Grievous Gladiator's Insignia of Dominance,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,27.0,,,Legacy of Om'ra,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Delicate Vial of the Sanguinaire,,,,,Epic,90.0,,,12.0,,,,,,,,,,27.0
,,,,,,,,,,,,,,,,,,,Gaze of the Twins,,,,,Epic,90.0,,,12.0,,,,,,,,,27.0,
,,,,,,,Shaman,,,,,,,,,,,,Streamtalker Stone of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,,,,,,,,,,,,Windswept Pages,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Tyrannical Gladiator's Emblem of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,,,,,,,,,,,17.0,Springrain Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Jade Magistrate Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmist Vortex,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,Priest,,,,,,,,,,,31.0,Communal Idol of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,,,,,,,,,,,,Springrain Stone of Durability,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,19.0
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Dominator's Deadeye Badge,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Carbonic Carbuncle,,,,,Rare,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,Monk,,,,,,,,,,,17.0,Mistdancer Idol of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Shaman,,,,,,,,,19.0,,,Streamtalker Stone of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Tyrannical Gladiator's Badge of Conquest,,,,,Epic,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,,,,,,,,,,,,Terror in the Mists,,,,,Epic,90.0,,,12.0,,,,,,,,,,
19.0,,,,,,,Monk,,,,,,,,,,,,Mistdancer Stone of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Jade Magistrate Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Paladin,,,,,,,,,,,25.0,Sunsoul Idol of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
19.0,,,,,,,Rogue,,,,,,,,,,,,Lightdrinker Stone of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Warlock,,,,,,,,,,,17.0,Felsoul Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Crafted Malevolent Gladiator's Medallion of Tenacity,,,,,Rare,90.0,,,12.0,,,,,,,,30.0,,
,,,,,,,Monk,,,,,,,,,,,,Mistdancer Stone of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Alacrity of Xuen,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,,,,,,,,,,,,,Carbonic Carbuncle,,,,,Rare,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,Mage,,,,,,,,,,,25.0,Mountainsage Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Tyrannical Gladiator's Emblem of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,25.0
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Malevolent Gladiator's Medallion of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Mending Badge of the Shieldwall,,,,,Rare,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,0.016666666666666666,,,,,,,,,,,Tyrannical Gladiator's Badge of Conquest,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Price of Progress,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,Paladin,,,,,,,,,,,,Sunsoul Defender Stone,,,,,Uncommon,90.0,,,12.0,,,,,,,,29.0,,
,,,,,,,Hunter,,,,,,,,,,,17.0,Trailseeker Idol of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Tyrannical Gladiator's Medallion of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,,,,,,,,,,,17.0,Springrain Idol of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,25.0,,,,,,,,,,Searing Words,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Kor'kron Book of Hurting,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Tyrannical Gladiator's Badge of Victory,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,Priest,,,,,,,,,,,17.0,Communal Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
19.0,,,,,,,Hunter,,,,,,,,,,,,Trailseeker Stone of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,25.0,,,,,,,,,,Mark of the Catacombs,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Resolve of Undying,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,25.0,,,,,,,,,,Coin of Luck,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Explosive Barrel,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Creche of the Final Dragon,,,,,Epic,85.0,,,12.0,,,,,,,,,25.0,
25.0,,,,,,,,,,,,,,,,,,,Starcatcher Compass,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Creche of the Final Dragon,,,,,Epic,85.0,,,12.0,,,,,,,,,24.0,
,,,,,,,,0.025,24.0,,,,,,,,,,Rotting Skull,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,24.0,Cataclysmic Gladiator's Emblem of Tenacity,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vessel of Acceleration,,,,,Epic,85.0,,,12.0,,,,,,,,,24.0,
,,,,,,,,0.03333333333333333,24.0,,,,,,,,,,Cataclysmic Gladiator's Emblem of Cruelty,,,,,Epic,85.0,,,12.0,,,,,,,,,,
24.0,,,,,,,,0.03333333333333333,,,,,,,,,,,Cataclysmic Gladiator's Badge of Conquest,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Resolve of Undying,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Reflection of the Light,,,,,Epic,85.0,,,12.0,,,,,,,,,,24.0
,,,,,,,,0.025,24.0,,,,,,,,,,Rotting Skull,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,,,24.0,,,Windward Heart,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23.0,Bloodthirsty Gladiator's Mark of Tenacity,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,23.0,,,,,,,,,,Stump of Time,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,23.0,,,,,,,,,,Bell of Enraging Resonance,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,23.0,,,,,,,,,,Bloodthirsty Gladiator's Symbol of Cruelty,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,23.0,,,Tear of Blood,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23.0,Tia's Grace,,,,,Rare,83.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Bloodthirsty Gladiator's Symbol of Meditation,,,,,Rare,85.0,,,12.0,,,,,,,,,,23.0
,,,,,,,,,,,,,,23.0,,,,,Heart of Rage,,,,,Epic,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,23.0,,,,,Gale of Shadows,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Ruthless Gladiator's Emblem of Meditation,,,,,Epic,85.0,,,12.0,,,,,,,,,,23.0
,,,,,,,,0.03333333333333333,,,,,,,,,,,Corrupted Egg Shell,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vicious Gladiator's Mark of Meditation,,,,,Epic,85.0,,,12.0,,,,,,,,,,23.0
,,,,,,,,0.03333333333333333,,,,,,,,,,,Moonwell Phial,,,,,Epic,85.0,,,12.0,,,,,,,,35.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Heart of Ignacious,,,,,Epic,85.0,,,12.0,,,,,,,,,,
23.0,,,,,,,,,,,,,,,,,,,Grace of the Herald,,,,,Rare,85.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Crushing Weight,,,,,Epic,85.0,,,12.0,,,,,,,,,23.0,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Ruthless Gladiator's Medallion of Meditation,,,,,Epic,85.0,,,12.0,,,,,,,,,,23.0
,,,,,,,,,,,,,,,,,,,Sigil of Rampage,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Curse of Hubris,,,,,Epic,90.0,,,12.0,,,,,,,,44.0,,
,,,,,,,,,,,,,,,,,,,Fusion-Fire Core,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Thok's Tail Tip,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Thok's Acid-Grooved Tooth,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,29.0,Ticking Ebon Detonator,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vial of Living Corruption,,,,,Epic,90.0,,,12.0,,,,,,,,44.0,,
,,,,,,,,0.025,,,,,,,,,,,Rook's Unlucky Talisman,,,,,Epic,90.0,,,12.0,,,,,,,,44.0,,
,,,,,,,,,,,,,,,,,29.0,,Juggernaut's Focusing Crystal,,,,,Epic,90.0,,,12.0,,,,,,,,,,29.0
,,,,,,,,,,,,,,,,,,,Thok's Acid-Grooved Tooth,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Assurance of Consequence,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Prismatic Prison of Pride,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,29.0,,,,,Kardris' Toxic Totem,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Curse of Hubris,,,,,Epic,90.0,,,12.0,,,,,,,,43.0,,
,,,,,,,,,,,,,,,,,,,Skeer's Bloodsoaked Talisman,,,,,Epic,90.0,,,12.0,,,,,,,,,29.0,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Prideful Gladiator's Emblem of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,29.0
,,,,,,,,0.016666666666666666,,,,,,,,,,,Prideful Gladiator's Badge of Victory,,,,,Epic,90.0,,,12.0,,,,,,,,,29.0,
,,,,,,,,,,,,,,,,,,,Prideful Gladiator's Insignia of Victory,,,,,Epic,90.0,,,12.0,,,,,,,,,29.0,
,,,,,,,,0.025,,,,,,,,,,,Curse of Hubris,,,,,Epic,90.0,,,12.0,,,,,,,,42.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,28.0,Resolve of Niuzao,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,28.0,,,Dysmorphic Samophlange of Discontinuity,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,28.0,,,,,,,,,,Cha-Ye's Essence of Brilliance,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vial of Living Corruption,,,,,Epic,90.0,,,12.0,,,,,,,,42.0,,
28.0,,,,,,,,,,,,,,,,,,,Rune of Re-Origination,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,28.0,,,,,Black Blood of Y'Shaarj,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Soul Barrier,,,,,Epic,90.0,,,12.0,,,,,,,,42.0,,
,,,,,,,,,,,,,,28.0,,,,,Ji-Kun's Rising Winds,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Evil Eye of Galakras,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Rook's Unlucky Talisman,,,,,Epic,90.0,,,12.0,,,,,,,,41.0,,
,,,,,,,,,,,,,,,,,,,Fusion-Fire Core,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Gaze of the Twins,,,,,Epic,90.0,,,12.0,,,,,,,,,27.0,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Grievous Gladiator's Medallion of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,27.0
27.0,,,,,,,,,,,,,,,,,,,Grievous Gladiator's Insignia of Conquest,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,27.0,,,Volatile Talisman of the Shado-Pan Assault,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,27.0,,,Grievous Gladiator's Insignia of Dominance,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Grievous Gladiator's Emblem of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,27.0
,,,,,,,,,,,,,,,,27.0,,,Horridon's Last Gasp,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,27.0,,,,,Ji-Kun's Rising Winds,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,27.0,,,,,,,,,,Dol'mak's Lucky Charm,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,27.0,,,Grievous Gladiator's Badge of Dominance,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27.0,Kliaa's Venomclaws,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmist Vortex,,,,,Epic,90.0,,,12.0,,,,,,,,,27.0,
,,,,,,,,,,,,,,,,26.0,,,Lightning-Imbued Chalice,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,26.0,,,,,Spark of Zandalar,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,26.0,Bottle of Infinite Stars,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Malevolent Gladiator's Insignia of Victory,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,,,,,,,,,,25.0,,,Tyrannical Gladiator's Insignia of Dominance,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Helmbreaker Medallion,,,,,Epic,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,,0.03333333333333333,,,,,,25.0,,,,,Lessons of the Darkmaster,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Tyrannical Gladiator's Emblem of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
25.0,,,,,,,,,,,,,,,,,,,Tyrannical Gladiator's Insignia of Conquest,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Priest,,,,,,,,,19.0,,,Communal Stone of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Mage,,,,,,,,,,,25.0,Mountainsage Idol of Destruction,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,25.0,Stuff of Nightmares,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Dreadful Gladiator's Insignia of Dominance,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Malevolent Gladiator's Emblem of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,25.0
,,,,,,,,0.016666666666666666,,,,,,,,25.0,,,Jade Courtesan Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Spirits of the Sun,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,25.0,,,Essence of Terror,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,,,,,,,,,,,31.0,Springrain Idol of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Tyrannical Gladiator's Medallion of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Shaman,,,,,,,,,,,,Streamtalker Stone of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,Monk,,,,,,,,,,,31.0,Mistdancer Idol of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Dominator's Knightly Badge,,,,,Rare,90.0,,,12.0,,,,,,,,,25.0,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Dreadful Gladiator's Medallion of Cruelty,,,,,Rare,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,25.0,,,Contemplation of Chi-Ji,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,25.0,,,,,,,,,,Tyrannical Gladiator's Emblem of Cruelty,,,,,Epic,90.0,,,12.0,,,,,,,,,,
,,,,,,,Shaman,,,,,,,,,,,17.0,Streamtalker Idol of Rage,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,,,,Jade Warlord Figurine,,,,,Epic,90.0,,,12.0,,,,,,,,38.0,,
,,,,,,,Priest,,,,,,,,,,,31.0,Communal Idol of Wisdom,,,,,Uncommon,90.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Tyrannical Gladiator's Emblem of Meditation,,,,,Epic,90.0,,,12.0,,,,,,,,,,25.0
