agi,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,versatility
,,,,,,9.0,,,,,,13.0,,Hyjal Savior's Pendant,,,,Rare,,2.0,,,,,20.0,,8.0
,,,,,,9.0,,,,,9.0,,,Choker of Lo'Gosh,,,,Uncommon,,2.0,,,,,20.0,13.0,
,,,,,,13.0,,,,,,13.0,,Necklace of Taldaram,,,,Rare,80.0,2.0,,,,,20.0,,
,,,,,,,,13.0,,,,,,Shadowseeker's Pendant,,,,Rare,80.0,2.0,,,,,20.0,13.0,
,,,,,,7.0,,10.0,,,,,,Noose of Malachite,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,10.0,
,,,,,,10.0,,,,,7.0,13.0,,Wail of the Val'kyr,,,,Epic,80.0,2.0,,,,,19.0,,
10.0,,,,,,9.0,,,,,5.0,,,Precious' Putrid Collar,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,,,9.0,,,,,,13.0,,Winking Eye of Love,,,,Epic,80.0,2.0,,,,,20.0,,9.0
,,,,Priest,,9.0,,,,,,13.0,9.0,Seraphic Medallion,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,,Evoker's Charm,,,,Epic,80.0,2.0,,,,,20.0,,9.0
,,,,,,9.0,,,,,9.0,13.0,,Chain of Latent Energies,,,,Epic,80.0,2.0,,,,,18.0,,
13.0,,,,,,9.0,,,,,8.0,,,Collar of Ceaseless Torment,,,,Epic,80.0,2.0,,,,,19.0,,
,,,,,,9.0,,,,,,13.0,,Amulet of Binding Elements,,,,Epic,80.0,2.0,,,,,19.0,,9.0
13.0,,,,,,13.0,,,,,,,,Necklace of Arcane Spheres,,,,Rare,80.0,2.0,,,,,20.0,,
,,,,,,7.0,,,,,9.0,13.0,,Chain of the Ancient Wyrm,,1.0,,Epic,,2.0,Prismatic socket,,,,20.0,,
13.0,13.0,,,,,9.0,,,,,,,,Wrathful Gladiator's Pendant of Triumph,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,,,,,,,13.0,,Dragon Prow Amulet,,,,Rare,80.0,2.0,,,,,18.0,,13.0
,,,,,,,,,,,,,,Necklace of Unerring Mettle,,,,Epic,80.0,2.0,,,,,20.0,13.0,11.0
,,,,,,6.0,,11.0,,,,,,Fortitude of the Infernal,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,6.0,
,,,,,,6.0,,,,,,10.0,,Holiday's Grace,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,9.0
,,,,,,9.0,,,,,5.0,,,Collar of Haughty Disdain,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
,,,,,,9.0,,,,,,15.0,11.0,Yaungol Mist-Shaman's Amulet,,,,Rare,80.0,2.0,,,,,23.0,,
15.0,,,,,,11.0,,,,,,,8.0,Suna's Shattered Locket,,,,Rare,80.0,2.0,,,,,23.0,,
,,,,,,,,,,,,,9.0,Greenstone Pendant,,,,Uncommon,,2.0,,,,,21.0,14.0,9.0
,,,,,,,,,,,,14.0,10.0,Acanthia's Lost Pendant,,,,Rare,80.0,2.0,,,,,21.0,,8.0
,,,,,,8.0,,,,,,14.0,10.0,Pipefish Cord,,,,Rare,78.0,2.0,,,,,21.0,,
,,,,,,,,,,,8.0,14.0,,Quicksilver Amulet,,,,Rare,78.0,2.0,,,,,21.0,,10.0
,,,,,,7.0,,,,,10.0,,,Emerald Dragonet Choker,,,,Rare,,2.0,,,,,20.0,13.0,
,,,,,,,,,,,,13.0,,Sishir Amulet,,,,Uncommon,79.0,2.0,,,,,20.0,,
,,,,,,,,7.0,,,,,,Bile-Encrusted Medallion,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,13.0,2.0
,,,,,,6.0,,,,,,10.0,,Holiday's Grace,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,9.0
13.0,,,,,,9.0,,,,,,,8.0,Cowry-Shell Pendant,,,,Uncommon,,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,8.0,Calcified Gizzard,,,,Uncommon,,2.0,,,,,20.0,,
,,,,,,,,,,,,13.0,10.0,Brain-Connector Chain,,,,Uncommon,,2.0,,,,,20.0,,7.0
,,,,,,10.0,,,,,8.0,,,Might of the Leviathan,,,,Epic,80.0,2.0,,,,,19.0,13.0,
10.0,,,,,,8.0,,,,,6.0,,,Amulet of the Centauri,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,,,,,6.0,,,,,,Drakescale Collar,,1.0,10.0,Epic,,2.0,Prismatic socket,,,,20.0,13.0,
,,,,,,,,10.0,,,,,,The Arbiter's Muse,,,,Epic,80.0,2.0,,,,,20.0,13.0,3.0
,,,,,,13.0,,,,,,13.0,,Choker of Spiral Focus,,,,Rare,80.0,2.0,,,,,20.0,,
,,,,,,10.0,,,,,8.0,,,Pendant of a Thousand Maws,,,,Epic,80.0,2.0,,,,,15.0,15.0,
,,,,,,9.0,,,,,5.0,,,Infected Choker,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
13.0,13.0,,,,,9.0,,,,,,,,Hateful Gladiator's Pendant of Victory,,,,Epic,80.0,2.0,,,,,19.0,13.0,9.0
,,,,,,9.0,,,,,8.0,,,Strength of the Heavens,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,12.0,
13.0,,,,,,10.0,,,,,7.0,,,Ancient Pendant of Arathor,,,,Epic,80.0,2.0,,,,,20.0,,
13.0,,,,,,,,,,,,,,Ice Encrusted Amulet,,,,Uncommon,80.0,2.0,,,,,20.0,,
13.0,13.0,,,,,8.0,,,,,21.0,,,Amulet of the Stampede,,,,Rare,76.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,9.0,13.0,,Arcane Loops of Anger,,,,Epic,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,,13.0,,Timeless Beads of Eternos,,,,Rare,78.0,2.0,,,,,20.0,,13.0
13.0,,,,Monk,,,,9.0,,,,,,Monastic Amulet,,,9.0,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,7.0,,,Bronze Pendant of the Vanir,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,18.0,13.0,9.0
,,,,,,10.0,,,,,7.0,,,Painfully Sharp Choker,,,,Epic,80.0,2.0,,,,,20.0,13.0,
,,,,,,,,,,,9.0,13.0,,Heartbreak Charm,,,,Epic,80.0,2.0,,,,,20.0,,9.0
,,,,,,,,,,,,13.0,,Relentless Gladiator's Pendant of Deliverance,,,,Epic,80.0,2.0,,,,,19.0,,18.0
13.0,,,,,,9.0,,,,,8.0,,,Charge of the Demon Lord,,,,Epic,80.0,2.0,,,,,20.0,,
,,,,,,9.0,,,,,9.0,13.0,,Evoker's Charm,,,,Rare,80.0,2.0,,,,,20.0,,
,,,,,,7.0,,,,,,13.0,,Torque of the Red Dragonflight,,1.0,,Epic,,2.0,Prismatic socket,,,,20.0,,9.0
9.0,,,,,,10.0,,,,,7.0,,,Fool's Trial,,,,Epic,80.0,2.0,,,,,24.0,,
,,,,,,9.0,,13.0,,,,,,Endurance of the Infernal,,,,Epic,80.0,2.0,,,,,20.0,8.0,
10.0,,,,,,9.0,,,,,8.0,,,Charge of the Demon Lord,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,,
,,,,,,10.0,,,,,7.0,13.0,,Cry of the Val'kyr,,,,Epic,80.0,2.0,,,,,19.0,,
,,,,,,9.0,,,,,9.0,,,The Executioner's Malice,,,,Epic,80.0,2.0,,,,,20.0,13.0,
13.0,,,,,,8.0,,,,,10.0,,,Brooch of the Wailing Night,,,,Rare,80.0,2.0,,,,,20.0,,
13.0,,,,,,8.0,,,,,7.0,,,Pendant of the Dragonsworn,,1.0,,Epic,,2.0,Prismatic socket,,,,20.0,,
13.0,13.0,,,,,8.0,,,,,,,,Jade Dagger Pendant,,1.0,,Rare,75.0,2.0,Prismatic socket,,,,16.0,13.0,
,,,,,,265.0,,,,,,,,Amulet of Autopsy,,,,Epic,80.0,2.0,,,,,200.0,,106.0
,,,,,,10.0,,,,,9.0,14.0,,Dawnblossom Necklace,,,,Uncommon,,2.0,,,,,21.0,,
,,,,,,,,,,,9.0,,9.0,Jade Eye Pendant,,,,Uncommon,,2.0,,,,,21.0,14.0,
14.0,,,,,,10.0,,,,,8.0,,,Barnacle Pendant,,,,Rare,78.0,2.0,,,,,21.0,,
13.0,,,,,,9.0,,,,,,,8.0,Cowry-Shell Pendant,,,,Uncommon,,2.0,,,,,20.0,,
13.0,,,,,,7.0,,,,,10.0,,,Torque of the Herald,,,,Uncommon,,2.0,,,,,20.0,,
,,,,,,9.0,,,,,8.0,13.0,,Hippolyte's Glittering Necklace,,,,Uncommon,,2.0,,,,,20.0,,
,,,,,,9.0,,,,,9.0,,,Goldrinn's Locket,,,,Uncommon,,2.0,,,,,20.0,13.0,
13.0,13.0,,,,,9.0,,,,,,,,Emerald Choker,,,,Rare,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,9.0,,,,,5.0,,,Collar of Haughty Disdain,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
,,,,,,,,,,,,13.0,,Necklace of Valiant Blood,,,,Rare,80.0,2.0,,,,,15.0,,15.0
,,,,,,9.0,,,,,,13.0,,Pendant of Binding Elements,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,9.0,,,,,6.0,10.0,,Pendant of Split Veins,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,,,9.0,,,,,6.0,,,Flamelash Amulet,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
13.0,13.0,,,,,6.0,,,,,,,,Shard of the Crystal Forest,,,,Rare,80.0,2.0,,,,,20.0,13.0,11.0
,,,,,,9.0,,,,,,13.0,,Sky Sapphire Amulet,,,,Rare,80.0,2.0,,,,,20.0,,9.0
,,,,Death knight,,9.0,,,,,,,9.0,Ebonsoul Pendant,,,,Uncommon,80.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,13.0,,,,,,Fortitude of the Infernal,,,,Epic,80.0,2.0,,,,,20.0,8.0,
,,,,,,,,7.0,,,,,,The Arbiter's Muse,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,13.0,3.0
,,,,Mage,,9.0,,,,,,13.0,9.0,Magesoul Medallion,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,11.0,,,,,7.0,,,Painfully Sharp Choker,,,,Rare,80.0,2.0,,,,,20.0,13.0,
,,,,,,,,,,,,13.0,,Deadly Gladiator's Pendant of Deliverance,,,,Epic,80.0,2.0,,,,,19.0,,18.0
,,,,,,7.0,,13.0,,,,,,Eskhandar's Links,,,,Epic,80.0,2.0,,,,,20.0,10.0,
,,,,,,6.0,,,,,9.0,10.0,,Amulet of Evil Winds,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,Warrior,,9.0,,,,,,,9.0,Valiant Pendant,,,,Uncommon,80.0,2.0,,,,,20.0,13.0,
14.0,,,,,,,,,,,8.0,,,Choker of Feral Fury,,,,Rare,80.0,2.0,,,,,23.0,,
11.0,,,,,,9.0,,,,,5.0,,,Collar of Ceaseless Torment,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,18.0,,
,,,,,,,,,,,,,,Pendant of the Nathrezim,,,13.0,Rare,80.0,2.0,,,,,20.0,13.0,
,,,,Priest,,,,,,,9.0,13.0,,Seraphic Necklace,,,,Uncommon,80.0,2.0,,,,,20.0,,9.0
13.0,13.0,,,,,9.0,,,,,,,,Furious Gladiator's Pendant of Triumph,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,13.0,,,,,,13.0,,Necklace of Stolen Skulls,,,,Rare,80.0,2.0,,,,,20.0,,
,,,,,,,,11.0,,,,,,Medallion of the Disgraced,,,,Epic,80.0,2.0,,,,,20.0,13.0,
,,,,,,6.0,,11.0,,,,,,Endurance of the Infernal,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,6.0,
13.0,,,,Monk,,,,,,,9.0,,9.0,Monastic Choker,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,,13.0,,Wrathful Gladiator's Pendant of Salvation,,,,Epic,80.0,2.0,,,,,19.0,,18.0
,,,,,,14.0,,,,,,,,Razor's Edge Pendant,,,,Rare,80.0,2.0,,,,,17.0,13.0,
13.0,13.0,,,,,9.0,,,,,,,,Relentless Gladiator's Pendant of Sundering,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,Monk,,,,,,,9.0,13.0,,Monastic Necklace,,,,Uncommon,80.0,2.0,,,,,20.0,,9.0
,,,,Druid,,,,,,,9.0,13.0,,Wildsoul Necklace,,,,Uncommon,80.0,2.0,,,,,20.0,,9.0
,,,,,,,,,,,8.0,13.0,,Freya's Choker of Warding,,,,Epic,80.0,2.0,,,,,19.0,,10.0
,,,,,,10.0,,,,,,13.0,,Unblinking Eye,,,,Epic,80.0,2.0,,,,,17.0,,9.0
11.0,,,,,,9.0,,,,,5.0,,,Collar of Unending Torment,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,18.0,,
13.0,13.0,,,,,9.0,,,,,,,,Deadly Gladiator's Pendant of Triumph,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,8.0,,,,,10.0,13.0,,Pendant of Focused Energies,,,,Epic,80.0,2.0,,,,,20.0,,
13.0,13.0,,,,,9.0,,,,,,,,Wrathful Gladiator's Pendant of Sundering,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
13.0,,,,Shaman,,,,,,,9.0,,9.0,Stormbinder Choker,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,8.0,,,,,8.0,12.0,,Pendant of Fiery Havoc,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
12.0,,,,,,8.0,,,,,7.0,,,Seed of Budding Carnage,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
13.0,13.0,,,,,9.0,,,,,,,,Deadly Gladiator's Pendant of Victory,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,Shaman,,9.0,,,,,,13.0,9.0,Stormbinder Medallion,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,,,,Forgotten Necklace,,,,Rare,78.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,6.0,10.0,,Darkbane Pendant,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,17.0,,
10.0,,,,,,9.0,,,,,8.0,,,Charge of the Eredar,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,,
,,,,Shaman,,,,,,,9.0,13.0,,Stormbinder Necklace,,,,Uncommon,80.0,2.0,,,,,20.0,,9.0
13.0,,,,,,9.0,,,,,8.0,,,Collar of Unending Torment,,,,Epic,80.0,2.0,,,,,19.0,,
,,,,,,,,,,,,,,Pearl Woven Choker,,,,Uncommon,77.0,2.0,,,,,19.0,13.0,
13.0,13.0,,,,,10.0,,,,,18.0,,,Slasher's Amulet,,,,Rare,73.0,2.0,,,,,19.0,13.0,
,,,,,,,,,,,,,,Shark-Toothed Necklace,,,,Uncommon,74.0,2.0,,,,,18.0,12.0,
,,,,,,,,,,,,,,Figaro Chain,,,,Uncommon,73.0,2.0,,,,,17.0,12.0,
14.0,,,,,,9.0,,,,,10.0,,,Vale Song Pendant,,,,Uncommon,,2.0,,,,,21.0,,
,,,,,,,,,,,,,10.0,Carrier Wave Pendant,,,8.0,Rare,78.0,2.0,,,,,21.0,14.0,
,,,,,,9.0,,,,,,14.0,,Sea Witch Charm,,,,Rare,,2.0,,,,,21.0,,9.0
13.0,,,,,,,,,,,,,,Swamplight Amulet,,,,Uncommon,78.0,2.0,,,,,20.0,,
,,,,,,7.0,,10.0,,,,,,Necklace of the Furious Standard,,,,Uncommon,,2.0,,,,,20.0,13.0,
13.0,,,,,,9.0,,,,,3.0,,,Baltharus' Gift,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,,,9.0,,,,,6.0,,,The Executioner's Malice,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
,,,,,,9.0,,,,,6.0,10.0,,Darkbane Amulet,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,17.0,,
13.0,,,,Druid,,,,,,,9.0,,9.0,Wildsoul Choker,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,,Deadly Gladiator's Pendant of Ascendancy,,,,Epic,80.0,2.0,,,,,19.0,,9.0
13.0,,,,Hunter,,,,,,,9.0,,9.0,Beastsoul Choker,,,,Uncommon,80.0,2.0,,,,,20.0,,
13.0,,,,,,7.0,,,,,10.0,,,Icy Blast Amulet,,,,Epic,80.0,2.0,,,,,16.0,,
,,,,Druid,,9.0,,,,,,13.0,9.0,Wildsoul Medallion,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,,Deadly Gladiator's Pendant of Subjugation,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,,,7.0,,,,,,Legionnaire's Gorget,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,15.0,13.0,3.0
,,,,,,,,,,,6.0,10.0,,Titan-Forged Pendant of Ascendancy,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,9.0
,,,,,,9.0,,,,,10.0,13.0,,Cosmic Lights,,,,Epic,80.0,2.0,,,,,18.0,,
13.0,13.0,,,,,9.0,,,,,,,,Relentless Gladiator's Pendant of Victory,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,7.0,,,,,7.0,10.0,,Cry of the Val'kyr,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
10.0,10.0,,,,,6.0,,,,,,,,Titan-Forged Pendant of Victory,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,9.0
,,,,Death knight,,,,9.0,,,,,,Ebonsoul Amulet,,,9.0,Uncommon,80.0,2.0,,,,,20.0,13.0,
,,,,,,,,,,,,,,Platinum Medallion,,,,Uncommon,79.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,7.0,,,Frigid Strength of Hodir,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,12.0,
,,,,Warlock,,9.0,,,,,,13.0,9.0,Dreadsoul Medallion,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,,Veiled Amulet of Life,,,,Epic,80.0,2.0,,,,,18.0,,9.0
,,,,,,,,,,,,13.0,,Deadly Gladiator's Pendant of Salvation,,,,Epic,80.0,2.0,,,,,19.0,,18.0
,,,,,,7.0,,,,,7.0,10.0,,Wail of the Val'kyr,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,
,,,,Warrior,,,,9.0,,,,,,Valiant Amulet,,,9.0,Uncommon,80.0,2.0,,,,,20.0,13.0,
,,,,,,7.0,,,,,,10.0,,Ousted Bead Necklace,,,,Epic,80.0,2.0,,,,,20.0,,13.0
,,,,,,9.0,,,,,,10.0,,Amulet of Binding Elements,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,6.0
,,,,,,,,,,,9.0,13.0,,Hateful Gladiator's Pendant of Ascendancy,,,,Epic,80.0,2.0,,,,,18.0,,9.0
,,,,,,,,,,,13.0,13.0,,Pendant of Shadow Beams,,,,Rare,75.0,2.0,,,,,20.0,,
,,,,,,,,,,,9.0,13.0,,Wrathful Gladiator's Pendant of Ascendancy,,,,Epic,80.0,2.0,,,,,19.0,,9.0
13.0,13.0,,,,,9.0,,,,,,,,Furious Gladiator's Pendant of Victory,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
13.0,13.0,,,,,9.0,,,,,,,,Furious Gladiator's Pendant of Sundering,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,,,,,,,13.0,,Hateful Gladiator's Pendant of Deliverance,,,,Epic,80.0,2.0,,,,,18.0,,18.0
,,,,,,,,,,,,13.0,,Zuramat's Necklace,,,,Rare,80.0,2.0,,,,,20.0,,9.0
13.0,,,,,,9.0,,,,,8.0,,,Charge of the Eredar,,,,Epic,80.0,2.0,,,,,20.0,,
13.0,,,,Rogue,,,,,,,9.0,,9.0,Shadowstalking Choker,,,,Uncommon,80.0,2.0,,,,,20.0,,
,,,,,,9.0,,13.0,,,,,,Shard of Pirouetting Happiness,,,,Epic,80.0,2.0,,,,,20.0,9.0,
,,,,,,,,,,,,13.0,,Relentless Gladiator's Pendant of Salvation,,,,Epic,80.0,2.0,,,,,19.0,,18.0
,,,,,,,,,,,,13.0,,Hateful Gladiator's Pendant of Salvation,,,,Epic,80.0,2.0,,,,,18.0,,18.0
,,,,,,,,,,,,13.0,,Wrathful Gladiator's Pendant of Deliverance,,,,Epic,80.0,2.0,,,,,19.0,,18.0
13.0,,,,,,8.0,,,,,10.0,,,Sweet Perfume Brooch,,,,Epic,80.0,2.0,,,,,20.0,,
,,,,Paladin,,,,9.0,,,,,,Zealous Amulet,,,9.0,Uncommon,80.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,,10.0,,Pendant of Binding Elements,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,19.0,,6.0
,,,,,,,,,,,,13.0,,Chain of Fiery Orbs,,,,Rare,77.0,2.0,,,,,20.0,,14.0
,,,,,,,,,,,13.0,,,Mark of the Unyielding,,,,Epic,80.0,2.0,,,,,19.0,13.0,21.0
,,,,,,,,,,,,13.0,,Furious Gladiator's Pendant of Deliverance,,,,Epic,80.0,2.0,,,,,19.0,,18.0
,,,,,,14.0,,,,,,,,Pendant of Azure Dreams,,,,Rare,80.0,2.0,,,,,17.0,13.0,
,,,,Paladin,,9.0,,,,,,,9.0,Zealous Pendant,,,,Uncommon,80.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,,13.0,,Deadly Gladiator's Pendant of Dominance,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,10.0,,,,,6.0,13.0,,Pendant of the Piercing Glare,,,,Epic,80.0,2.0,,,,,19.0,,
,,,,,,,,,,,,13.0,,Furious Gladiator's Pendant of Salvation,,,,Epic,80.0,2.0,,,,,19.0,,18.0
14.0,,,,,,,,,,,8.0,,,Susurrating Shell Necklace,,,,Rare,80.0,2.0,,,,,23.0,,
13.0,,,,,,10.0,,,,,10.0,,,Choker of the Abyss,,,,Epic,80.0,2.0,,,,,15.0,,
,,,,,,,,,,,,13.0,,Crystal Pendant of Warding,,,,Rare,74.0,2.0,,,,,19.0,,8.0
,,,,,,,,,,,,12.0,,Gold Clasped Chain,,,,Uncommon,76.0,2.0,,,,,18.0,,
12.0,,,,,,,,,,,,,,Serpentine Chain,,,,Uncommon,75.0,2.0,,,,,18.0,,
,,,,,,10.0,,,,,,14.0,8.0,Zen Lotus Pendant,,,,Uncommon,,2.0,,,,,21.0,,
13.0,,,,,,10.0,,,,,7.0,,,Pinpoint Choker,,,,Uncommon,,2.0,,,,,20.0,,
,,,,,,,,,,,,13.0,,Moonbrook Amulet,,,,Uncommon,77.0,2.0,,,,,20.0,,
,,,,,,9.0,,,,,,13.0,,Frozen Tear of Elune,,,,Rare,80.0,2.0,,,,,20.0,,9.0
,,,,,,9.0,,,,,6.0,,,The Executioner's Vice,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,20.0,10.0,
13.0,13.0,,,,,9.0,,,,,,,,Relentless Gladiator's Pendant of Triumph,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,6.0,,,,,,13.0,,Pendant of Endless Despair,,,,Epic,80.0,2.0,,,,,20.0,,10.0
,,,,,,13.0,,,,,,13.0,,Bone-Linked Amulet,,,,Epic,80.0,2.0,,,,,15.0,,7.0
,,,,,,10.0,,,,,,13.0,,Ceaseless Pity,,,,Epic,80.0,2.0,,,,,18.0,,7.0
,,,,,,10.0,,,,,8.0,,,Insurmountable Fervor,,,,Epic,80.0,2.0,,,,,20.0,13.0,
,,,,,,9.0,,,,,6.0,10.0,,Darkbane Amulet,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,17.0,,
,,,,,,9.0,,,,,,13.0,,Hateful Gladiator's Pendant of Dominance,,,,Epic,80.0,2.0,,,,,18.0,,9.0
,,,,,,9.0,,,,,,13.0,,Wrathful Gladiator's Pendant of Dominance,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,,,,,,9.0,13.0,,Relentless Gladiator's Pendant of Ascendancy,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,,,,,,9.0,13.0,,Hateful Gladiator's Pendant of Subjugation,,,,Epic,80.0,2.0,,,,,18.0,,9.0
,,,,,,,,,,,9.0,13.0,,Wrathful Gladiator's Pendant of Subjugation,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,,,,,,9.0,13.0,,Relentless Gladiator's Pendant of Subjugation,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,7.0,,,,,,,,Fervor of the Protectorate,,,13.0,Epic,80.0,2.0,,,,,20.0,10.0,21.0
,,,,,,,,,,,,13.0,,Pendant of Emerald Crusader,,,,Rare,80.0,2.0,,,,,15.0,,15.0
,,,,,,9.0,,,,,,13.0,,Furious Gladiator's Pendant of Dominance,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,9.0,,,,,6.0,10.0,,Darkbane Pendant,,1.0,,Epic,80.0,2.0,Prismatic socket,,,,17.0,,
,,,,,,8.0,,13.0,,,,,,Titanstone Pendant,,,,Epic,80.0,2.0,,,,,20.0,10.0,
,,,,,,9.0,,,,,7.0,13.0,,Thunderstorm Amulet,,,,Epic,80.0,2.0,,,,,21.0,,
,,,,,,,,,,,9.0,13.0,,Furious Gladiator's Pendant of Ascendancy,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,,,10.0,,,,,,Legionnaire's Gorget,,,,Epic,80.0,2.0,,,,,20.0,13.0,3.0
,,,,,,,,,,,9.0,13.0,,Furious Gladiator's Pendant of Subjugation,,,,Epic,80.0,2.0,,,,,19.0,,9.0
,,,,,,8.0,,,,,9.0,,,Choker of the Pure Heart,,,,Epic,80.0,2.0,,,,,20.0,14.0,
,,,,Paladin,,,,,,,9.0,13.0,,Zealous Necklace,,,,Uncommon,80.0,2.0,,,,,20.0,,9.0
13.0,13.0,,,,,9.0,,,,,,,,Wrathful Gladiator's Pendant of Victory,,,,Epic,80.0,2.0,,,,,20.0,13.0,9.0
,,,,,,,,,,,,13.0,,Silken Cord Amulet,,,,Uncommon,78.0,2.0,,,,,19.0,,
12.0,12.0,,,,,12.0,,,,,7.0,,,Draconic Choker of Ferocity,,,,Rare,77.0,2.0,,,,,13.0,12.0,
,,,,,,,,,,,,12.0,,Jasper Bead Necklace,,,,Uncommon,72.0,2.0,,,,,17.0,,
11.0,,,,,,,,,,,,,,Embroidered Pendant,,,,Uncommon,71.0,2.0,,,,,17.0,,
,,,,,,9.0,,,,,,,,Bladeforger Necklace,,,,Epic,90.0,2.0,,,,,26.0,17.0,13.0
,,,,,,,,,,,12.0,17.0,,Rising New Moon Talisman,,,,Epic,90.0,2.0,,,,,26.0,,11.0
,,,,,,12.0,,,,,,17.0,11.0,Penate's Perilous Pendant,,,,Epic,90.0,2.0,,,,,26.0,,
,,,,,,,,,,,8.0,15.0,11.0,Lucid Amulet of the Agile Mind,,,,Rare,86.0,2.0,,,,,23.0,,
