agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,sturdiness,versatility
,,,33.0,Warrior,,21.0,,100.0,,,,,9.0,,,Replica Legionnaire's Plate Leggings,,,,Rare,,60.0,7.0,,,,,23.0,9.0,9.0,,
15.0,15.0,,15.0,Druid,,12.0,,,,,,,15.0,,,Replica Legionnaire's Dragonhide Leggings,,,,Rare,,60.0,7.0,,,,,23.0,,,,15.0
13.0,13.0,,15.0,Druid,,10.0,,120.0,,,,,13.0,,,Replica General's Dragonhide Leggings,,,,Epic,,60.0,7.0,,,,,23.0,,,,10.0
,,,33.0,,,20.0,,100.0,,,,,14.0,,,Legplates of the Qiraji Command,,,,Rare,,60.0,7.0,,,,,23.0,14.0,14.0,,
,,,9.0,Priest,,,,,,,,,13.0,342.0,,Legionnaire's Satin Trousers,,,,Rare,,58.0,7.0,,,,,23.0,,,,13.0
13.0,13.0,,15.0,Rogue,,10.0,,,,,7.0,,13.0,,,Replica Knight-Captain's Leather Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,18.0
13.0,13.0,,22.0,Hunter,,8.0,,120.0,,,12.0,,13.0,,,Replica General's Chain Legguards,,,,Epic,,60.0,7.0,,,,,23.0,,,,11.0
,,,9.0,Mage,,8.0,,120.0,,,13.0,,15.0,,,Replica Marshal's Silk Leggings,,,,Epic,,60.0,7.0,,,,,23.0,,,,6.0
,,,33.0,Paladin,,23.0,,,,,,,6.0,,,Replica Knight-Captain's Lamellar Leggings,,,,Rare,,58.0,7.0,,,,,23.0,6.0,6.0,,
15.0,15.0,,22.0,Shaman,,,,,,,,,15.0,,,Replica Legionnaire's Mail Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
8.0,8.0,,22.0,Hunter,,21.0,,100.0,,,7.0,,8.0,543.0,,Legionnaire's Chain Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,
19.0,19.0,,19.0,,,27.0,,85.0,,,,,19.0,,,Iron-Studded Leggings,,,,Uncommon,,,7.0,,,,,29.0,,,,
,,,11.0,,,,,85.0,,,11.0,,19.0,,,Regal Pantaloons,,,,Uncommon,,,7.0,,,,,29.0,,,,
19.0,19.0,,19.0,,,14.0,,85.0,,,,,19.0,,,Artfully Tooled Leggings,,,,Uncommon,,,7.0,,,,,29.0,,,,
19.0,19.0,,19.0,,,11.0,,85.0,,,,,19.0,,,Whalehunter Leggings,,,,Uncommon,,,7.0,,,,,29.0,,,,
19.0,19.0,,28.0,,,15.0,,85.0,,,,,19.0,,,Westrift Leggings,,,,Uncommon,,,7.0,,,,,29.0,,,,
,,,9.0,,,,,85.0,,,,,16.0,,,Starfire Trousers,,,,Uncommon,,59.0,7.0,,,,,24.0,,,,
,,,,Rogue,,,,,,,,,,,,Death's Embrace,,,,Rare,,60.0,,,,,,,,,,
,,,,Warlock,,,,,,,,,,,,Hoodoo Hex,,,,Rare,,60.0,,,,,,,,,,
,,,,,,,,,,,,,,,,Savage Guard,10.0,,,Rare,,55.0,,,,,,,,,,
,,,,,,,,,,10.0,,,,,,Ice Guard,,,,Rare,,55.0,,,,,,,,,,
,,,,Druid,,,,,,,,,,,,Animist's Caress,,,,Rare,,60.0,,,,,,,,,,
15.0,15.0,,22.0,,,,,85.0,,,,,15.0,,,Triumphant Legplates,,,,Uncommon,,58.0,7.0,,,,,23.0,,,,
13.0,13.0,,22.0,Shaman,,10.0,,100.0,,,,,13.0,,,Replica Knight-Captain's Mail Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,
9.0,9.0,,22.0,,,18.0,,120.0,,,19.0,,9.0,,,Outrider's Mail Leggings,,,,Epic,,60.0,7.0,,,,,23.0,,,,
13.0,13.0,,22.0,Shaman,,16.0,,120.0,,,,,13.0,,,Replica Marshal's Mail Leggings,,,,Epic,,60.0,7.0,,,,,23.0,,,,
,,,9.0,Warlock,,,,120.0,,,,,18.0,,,Replica General's Dreadweave Pants,,,,Epic,,60.0,7.0,,,,,23.0,,,,9.0
18.0,18.0,,15.0,,,,,120.0,,,,,18.0,,,Leggings of Immersion,,,,Epic,,60.0,7.0,,,,,23.0,,,,9.0
13.0,13.0,,15.0,Rogue,,10.0,,100.0,,,7.0,,13.0,522.0,,Legionnaire's Leather Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,18.0
,,,33.0,,,9.0,,120.0,,,6.0,,20.0,,,Outrider's Lamellar Legguards,,,,Epic,,60.0,7.0,,,,,13.0,20.0,20.0,,
6.0,6.0,,15.0,Rogue,,23.0,,,,,,,6.0,348.0,,Knight-Captain's Leather Legguards,,,,Rare,,58.0,7.0,,,,,23.0,,,,
,,,33.0,Warrior,,23.0,,100.0,,,,,6.0,,,Replica Knight-Captain's Plate Leggings,,,,Rare,,58.0,7.0,,,,,23.0,6.0,6.0,,
15.0,15.0,,15.0,,,,,85.0,,,,,15.0,,,Mighty Leggings,,,,Uncommon,,58.0,7.0,,,,,23.0,,,,
,,,22.0,,,,,100.0,,,,,,,,Replica Beaststalker's Pants,,,,Rare,,56.0,7.0,,,,,,,,,
,,,33.0,Paladin,,13.0,,100.0,,,,,16.0,,,Replica Knight-Captain's Lamellar Leggings,,,,Rare,,60.0,7.0,,,,,23.0,16.0,16.0,,
,,,33.0,Warrior,,21.0,,100.0,,,,,9.0,,,Replica Knight-Captain's Plate Leggings,,,,Rare,,60.0,7.0,,,,,23.0,9.0,9.0,,
15.0,15.0,,22.0,,,,,85.0,,,,,15.0,,,Mercurial Legguards,,,,Uncommon,,58.0,7.0,,,,,23.0,,,,
,,,33.0,Warrior,,21.0,,100.0,,,,,9.0,545.0,,Knight-Captain's Plate Leggings,,,,Rare,,60.0,7.0,,,,,23.0,9.0,9.0,,
15.0,15.0,,15.0,Druid,,,10.0,100.0,,,10.0,,15.0,,,Replica Knight-Captain's Dragonhide Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
,,,9.0,,,,,85.0,,,,,15.0,,,Elunarian Sarong,,,,Uncommon,,57.0,7.0,,,,,23.0,,,,15.0
19.0,19.0,,15.0,,,,,85.0,,,,,19.0,,,Traveler's Leggings,,,,Uncommon,,55.0,7.0,,,,,23.0,,,,
15.0,15.0,,15.0,Druid,,12.0,,100.0,,,,,15.0,,,Replica Knight-Captain's Dragonhide Leggings,,,,Rare,,60.0,7.0,,,,,23.0,,,,15.0
10.0,10.0,,22.0,Hunter,,11.0,10.0,100.0,,,,,10.0,,,Replica Knight-Captain's Chain Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
14.0,14.0,,15.0,,,6.0,,120.0,,,6.0,,14.0,,,Sentinel's Lizardhide Pants,,,,Epic,,60.0,7.0,,,,,23.0,,,,22.0
10.0,10.0,,22.0,Hunter,,11.0,10.0,100.0,,,,,10.0,,,Replica Legionnaire's Chain Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
,,,9.0,Mage,,8.0,,120.0,,,13.0,,15.0,,,Replica General's Silk Trousers,,,,Epic,,60.0,7.0,,,,,23.0,,,,6.0
10.0,10.0,,22.0,Hunter,,11.0,10.0,,,,,,10.0,361.0,,Legionnaire's Chain Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
,,,33.0,,,,9.0,120.0,,,,,21.0,,,Bloodsoaked Legplates,,,,Epic,,60.0,7.0,,,,,23.0,21.0,21.0,,
,,,33.0,Paladin,,8.0,,120.0,,,,,18.0,,,Replica Marshal's Lamellar Legplates,,,,Epic,,60.0,7.0,,,,,23.0,18.0,18.0,,
11.0,11.0,,15.0,,,20.0,,100.0,,,,,11.0,,,Animist's Leggings,,,,Rare,,60.0,7.0,,,,,23.0,,,,13.0
22.0,22.0,,22.0,,,9.0,,120.0,,,6.0,,22.0,,,Outrider's Chain Leggings,,,,Epic,,60.0,7.0,,,,,23.0,,,,
15.0,15.0,,15.0,Rogue,,8.0,,120.0,,,11.0,,15.0,,,Replica General's Leather Legguards,,,,Epic,,60.0,7.0,,,,,23.0,,,,11.0
,,,9.0,Warlock,,,,,,,,,11.0,346.0,,Knight-Captain's Dreadweave Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
15.0,15.0,,15.0,,,,,85.0,,,,,15.0,,,Wanderer's Leggings,,,,Uncommon,,53.0,7.0,,,,,23.0,,,,
,,,9.0,,,,,85.0,,,,,15.0,,,Mystical Leggings,,,,Uncommon,,51.0,7.0,,,,,22.0,,,,
19.0,19.0,,19.0,,,,,85.0,,,,,19.0,,,Reinforced Caribou-Hide Leggings,,,,Uncommon,,,7.0,,,,,29.0,,,,
,,,42.0,,,27.0,,85.0,,,,,19.0,,,Cold-Forged Bronze Legplates,,,,Uncommon,,,7.0,,,,,29.0,19.0,19.0,,
,,,,,0.0002777777777777778,,,,,,,,,,,Magister's Armor Kit,,,,Common,,55.0,,,,,,,,,,
16.0,16.0,,23.0,,,,,85.0,,,,,16.0,612.0,,Scaled Draenic Pants,,,,Uncommon,,57.0,7.0,,,,,24.0,,,,16.0
16.0,16.0,,16.0,,,,,85.0,,,,,16.0,,,Haal'eshi Leggings,,,,Uncommon,,58.0,7.0,,,,,24.0,,,,
,,,9.0,,,,,85.0,,,,,16.0,,,Outlander's Leggings,,,,Uncommon,,57.0,7.0,,,,,24.0,,,,
10.0,10.0,,22.0,Hunter,,11.0,10.0,,,,,,10.0,362.0,,Knight-Captain's Chain Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
6.0,6.0,,15.0,Rogue,,23.0,,,,,,,6.0,347.0,,Legionnaire's Leather Leggings,,,,Rare,,58.0,7.0,,,,,23.0,,,,
,,,33.0,Warrior,,23.0,,100.0,,,,,6.0,282.0,,Knight-Captain's Plate Leggings,,,,Rare,,58.0,7.0,,,,,23.0,6.0,6.0,,
13.0,13.0,,15.0,Rogue,,10.0,,,,,7.0,,13.0,,,Replica Legionnaire's Leather Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,18.0
8.0,8.0,,22.0,Hunter,,21.0,,100.0,,,7.0,,8.0,,,Replica Legionnaire's Chain Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,
19.0,19.0,,15.0,,,,,85.0,,,,,19.0,,,Indomitable Leggings,,,,Uncommon,,57.0,7.0,,,,,23.0,,,,8.0
8.0,8.0,,22.0,Hunter,,21.0,,100.0,,,7.0,,8.0,,,Replica Knight-Captain's Chain Legguards,,,,Rare,,60.0,7.0,,,,,23.0,,,,
,,,33.0,,,,,100.0,,,,,,,,Replica Legplates of Heroism,,,,Rare,,60.0,7.0,,,,,,,,,
15.0,15.0,,21.0,,,,,100.0,,,8.0,,15.0,,,Blackened Pit Trousers,,,,Rare,,51.0,7.0,,,,,22.0,,,,12.0
,,,11.0,,,,,100.0,,,,,18.0,,,Pants of the Naaru,,,,Rare,,,7.0,,,,,28.0,,,,15.0
18.0,18.0,,18.0,,,,,100.0,,,,,18.0,,,X-52 Pilot's Leggings,,,,Rare,,,7.0,,,,,27.0,,,,
,,,42.0,,,14.0,,100.0,,,,,19.0,,,Cassock of the Loyal,,,,Rare,,70.0,7.0,,,,,28.0,19.0,19.0,,
19.0,19.0,,19.0,,,,,100.0,,,,,19.0,,,Leggings of the Unrepentant,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,
,,,39.0,,,15.0,,85.0,,,,,18.0,,,Inkling's Leggings,,,,Uncommon,,,7.0,,,,,28.0,18.0,18.0,,
,,,36.0,,,,,85.0,,,,,17.0,,,Cenarion Thicket Legplates,,3.0,,Uncommon,,,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,25.0,17.0,17.0,,
,,,10.0,,,,,85.0,,,,,18.0,,,Metro's Slimming Legs,,,,Uncommon,,,7.0,,,,,27.0,,,,14.0
19.0,19.0,,19.0,Rogue,,12.0,,120.0,,,,,19.0,621.0,,Netherblade Breeches,,,,Epic,,70.0,7.0,,,,,35.0,,,,
21.0,21.0,,28.0,Hunter,,7.0,,120.0,,,16.0,,21.0,652.0,,Rift Stalker Leggings,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,23.0,,,,
18.0,18.0,,28.0,Hunter,,18.0,,120.0,,,7.0,,18.0,651.0,,Demon Stalker Greaves,,,,Epic,,70.0,7.0,,,,,25.0,,,,
19.0,19.0,,19.0,,,13.0,,100.0,,,,,19.0,620.0,,Leggings of Assassination,,,,Rare,,70.0,7.0,,,,,28.0,,,,
,,,10.0,,,,,120.0,,,,,14.0,571.0,,Whitemend Pants,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,19.0,,,,14.0
,,,10.0,,,13.0,,120.0,,,11.0,,19.0,559.0,,Spellstrike Pants,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,9.0,,,,
17.0,17.0,,28.0,,,7.0,,120.0,,,,,17.0,,,Scaled Greaves of the Marksman,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,25.0,,,,
17.0,17.0,,19.0,,,,,120.0,,,,,17.0,,,Earthsoul Leggings,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,25.0,,,,11.0
,,,40.0,,,11.0,,120.0,,,,,18.0,,,Vanquisher's Legplates,,3.0,,Epic,,68.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,18.0,18.0,,
,,,,,,,,,,,,,,,,Brilliant Spellthread,,,,Epic,,70.0,,,,,,,,,,
19.0,19.0,,19.0,,,11.0,,100.0,,,,,19.0,,,Moonchild Leggings,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,12.0
,,,42.0,Paladin,,17.0,,120.0,,,10.0,,24.0,626.0,,Justicar Greaves,,,,Epic,,70.0,7.0,,,,,15.0,24.0,24.0,,
17.0,17.0,,19.0,Druid,,,,120.0,,,,,17.0,638.0,,Legguards of Malorne,,,,Epic,,70.0,7.0,,,,,29.0,,,,18.0
19.0,19.0,,28.0,,,,,120.0,,,,,19.0,,,Heart-Flame Leggings,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,30.0,,,,
,,,40.0,,,,,85.0,,,,,18.0,,,Bloodfist Legplates,,,,Uncommon,,67.0,7.0,,,,,28.0,18.0,18.0,,
,,,11.0,,,,,120.0,,,,,24.0,,,Gilded Trousers of Benediction,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,13.0,,,,14.0
18.0,18.0,,27.0,,,12.0,,120.0,,,,,18.0,,,Stormsong Kilt,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,
,,,40.0,,,13.0,,120.0,,,10.0,,18.0,,,Greaves of the Martyr,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,18.0,18.0,,
,,,10.0,,,,,100.0,,,,,14.0,,,Hierophant's Leggings,,1.0,,Rare,,66.0,7.0,Prismatic socket,,,,28.0,,,,14.0
19.0,19.0,,19.0,,,18.0,,100.0,,,,,19.0,,,Mennu's Scaled Leggings,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,
,,,36.0,,,19.0,,100.0,,,,,16.0,,,Azureplate Greaves,,,,Rare,,62.0,7.0,,,,,24.0,16.0,16.0,,
,,,11.0,Priest,,,,120.0,,,,,18.0,663.0,,Trousers of the Incarnate,,,,Epic,,70.0,7.0,,,,,32.0,,,,16.0
,,,11.0,,,12.0,,100.0,,,10.0,,19.0,658.0,,Mana-Etched Pantaloons,,,,Rare,,70.0,7.0,,,,,28.0,,,,
18.0,18.0,,25.0,,,,,85.0,,,,,18.0,,,Blood Knight Greaves,,,,Uncommon,,64.0,7.0,,,,,27.0,,,,
,,,11.0,,,,,120.0,,,,,20.0,,,Trial-Fire Trousers,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,36.0,,,,
,,,42.0,,,,20.0,120.0,,,,,11.0,,,Wrynn Dynasty Greaves,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,22.0,11.0,11.0,,
,,,42.0,Warrior,,,23.0,120.0,,,,,16.0,654.0,,Warbringer Legguards,,,,Epic,,70.0,7.0,,,,,25.0,16.0,16.0,,
,,,42.0,,,14.0,,100.0,,,,,19.0,,,Legguards of the Shattered Hand,,,,Rare,,70.0,7.0,,,,,18.0,19.0,19.0,,
,,,11.0,,,,,100.0,,,,,19.0,,,Devil-Stitched Leggings,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,
,,,39.0,,,,,85.0,,,,,18.0,,,Boulderfist Legplates,,,,Uncommon,,65.0,7.0,,,,,27.0,18.0,18.0,,
,,,42.0,Warrior,,17.0,,120.0,,,,,23.0,655.0,,Warbringer Greaves,,,,Epic,,70.0,7.0,,,,,24.0,23.0,23.0,,
19.0,19.0,,19.0,Druid,,12.0,,120.0,,,,,19.0,640.0,,Greaves of Malorne,,,,Epic,,70.0,7.0,,,,,35.0,,,,
,,,39.0,,,17.0,,85.0,,,,,18.0,,,Murkblood Avenger's Legplates,,,,Uncommon,,,7.0,,,,,27.0,18.0,18.0,,
,,,,,,,,,,,,,,,,Sapphire Spellthread,,,,Epic,,70.0,,,,,,,,,,
,,,11.0,,,,,100.0,,,,,19.0,,,Pontiff's Pantaloons of Prophecy,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,14.0
22.0,22.0,,21.0,,,11.0,,120.0,,,11.0,,22.0,,,Leggings of the Immortal Night,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,29.0,,,,
,,,42.0,,,,,85.0,,,,,19.0,,,Warlord's Iron-Legplates,,,,Uncommon,,70.0,7.0,,,,,28.0,19.0,19.0,,
,,,42.0,,,,,120.0,26.0,,,,,,,Inferno Tempered Leggings,,,,Epic,,70.0,7.0,,,,,32.0,,,,
,,,12.0,,,,,120.0,,,15.0,,22.0,,,Pantaloons of Growing Strife,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,22.0,,,,9.0
,,,41.0,,,15.0,,100.0,,,,,19.0,,,Ornate Leggings of the Venerated,,3.0,,Rare,,68.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,19.0,19.0,,
,,,40.0,,,26.0,,85.0,,,,,18.0,,,Runed Sketh'lon Legplates,,,,Uncommon,,,7.0,,,,,28.0,18.0,18.0,,
,,,39.0,,,,,100.0,,,,,18.0,,,Legguards of the Resolute Defender,,,22.0,Rare,,,7.0,,,,,27.0,18.0,18.0,,
,,,11.0,Priest,,13.0,,120.0,,,10.0,,18.0,666.0,,Leggings of the Avatar,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,27.0,,,,
,,,19.0,,,,,100.0,23.0,,,,,,,Blastguard Pants,,3.0,,Rare,,69.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,17.0,,,,
,,,11.0,Warlock,,13.0,,120.0,,,9.0,,19.0,646.0,,Leggings of the Corruptor,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,28.0,,,,
,,,11.0,Priest,,,,120.0,,,,,18.0,665.0,,Breeches of the Avatar,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,27.0,,,,17.0
18.0,18.0,,26.0,,,13.0,,100.0,,,6.0,,18.0,,,Scaled Greaves of Patience,,3.0,,Rare,,66.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,27.0,,,,
18.0,18.0,,27.0,,,7.0,,100.0,,,7.0,,18.0,,,Sunfury Legguards,,,,Rare,,,7.0,,,,,28.0,,,,
19.0,19.0,,19.0,Rogue,,10.0,,120.0,,,,,19.0,622.0,,Deathmantle Legguards,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,34.0,,,,
15.0,15.0,,28.0,Hunter,,8.0,,120.0,,,8.0,,15.0,586.0,,Gladiator's Chain Leggings,,,,Epic,,70.0,7.0,,,,,24.0,,,,13.0
,,,41.0,,,,,85.0,,,,,19.0,,,Conqueror's Legplates,,,,Uncommon,,68.0,7.0,,,,,28.0,19.0,19.0,,
18.0,18.0,,18.0,,,,,100.0,,,13.0,,18.0,,,Shattrath Leggings,,,,Rare,,,7.0,,,,,28.0,,,,
,,,43.0,Warrior,,,10.0,120.0,,,,,15.0,673.0,,Onslaught Legguards,,1.0,18.0,Epic,,70.0,7.0,Prismatic socket,,,,29.0,15.0,15.0,,
,,,43.0,Paladin,,,21.0,120.0,,,,,20.0,679.0,,Lightbringer Legguards,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,25.0,20.0,20.0,,
,,,42.0,,,,,120.0,,,18.0,,19.0,784.0,,Blessed Legplates of Undead Slaying,,,,Epic,,70.0,7.0,,,,,28.0,19.0,19.0,,
15.0,15.0,,19.0,,,13.0,,120.0,,,,,15.0,,,Skulker's Greaves,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,27.0,,,,
,,,42.0,,,13.0,,120.0,,,,,20.0,,,Greaves of the Bloodwarder,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,19.0,20.0,20.0,,
,,,42.0,,,6.0,,100.0,,,,,19.0,,,Bloodlord Legplates,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,19.0,19.0,,
,,,12.0,,,21.0,,100.0,,,,,21.0,,,Kilt of Deific Torment,,,,Rare,,,7.0,,,,,32.0,,,,
,,,42.0,,,,,120.0,,,,,,,,Shadesteel Greaves,,,,Epic,,70.0,7.0,,,,,22.0,,,,
19.0,19.0,,28.0,,,,,85.0,,,,,19.0,,,Netherstorm Legguards,,,,Uncommon,,70.0,7.0,,,,,28.0,,,,
,,,39.0,,,,,85.0,,,,,18.0,,,Warmaul Legplates,,,,Uncommon,,66.0,7.0,,,,,28.0,18.0,18.0,,
16.0,16.0,,16.0,,,,,100.0,,,,,16.0,,,Kilt of the Night Strider,,3.0,,Rare,,61.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,24.0,,,,11.0
,,,12.0,Priest,,10.0,,120.0,,,,,20.0,674.0,,Leggings of Absolution,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,29.0,,,,13.0
,,,42.0,Paladin,,,,120.0,,,,,15.0,628.0,,Crystalforge Legguards,,1.0,21.0,Epic,,70.0,7.0,Prismatic socket,,,,21.0,15.0,15.0,,
,,,46.0,,,12.0,,120.0,,,18.0,,22.0,,,Felfury Legplates,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,17.0,22.0,22.0,,
,,,42.0,,,,14.0,100.0,,,,,19.0,,,Greaves of the Shatterer,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,19.0,19.0,,
19.0,19.0,,28.0,,,10.0,,100.0,,,14.0,,19.0,,,Barbaric Legstraps,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,
18.0,18.0,,18.0,,,,,85.0,,,,,18.0,,,Clefthoof Britches,,,,Uncommon,,66.0,7.0,,,,,28.0,,,,
,,,46.0,,,13.0,,120.0,,,,,16.0,,,Legplates of the Holy Juggernaut,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,29.0,16.0,16.0,,16.0
,,,46.0,,,,20.0,120.0,,,,,18.0,,,Judicator's Legguards,,3.0,8.0,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,18.0,18.0,,
,,,12.0,Mage,,16.0,,120.0,,,7.0,,20.0,671.0,,Leggings of the Tempest,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,30.0,,,,
18.0,18.0,,19.0,,,14.0,,120.0,,,,,18.0,,,Leggings of Murderous Intent,,,,Epic,,70.0,7.0,,,,,29.0,,,,
17.0,17.0,,28.0,,,7.0,,120.0,,,,,17.0,,,Natural Life Leggings,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,32.0,,,,7.0
,,,42.0,Warrior,,,,120.0,,,,,14.0,656.0,,Destroyer Legguards,,1.0,21.0,Epic,,70.0,7.0,Prismatic socket,,,,24.0,14.0,14.0,,
22.0,22.0,,19.0,,,10.0,,100.0,,,,,22.0,,,Kurenai Kilt,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,10.0,,,,
,,,11.0,,,,,100.0,,,,,15.0,556.0,,Imbued Netherweave Pants,,,,Rare,,67.0,7.0,,,,,34.0,,,,15.0
17.0,17.0,,20.0,Rogue,,17.0,,120.0,,,,,17.0,668.0,,Slayer's Legguards,,1.0,,Epic,,70.0,7.0,Prismatic socket,,,,34.0,,,,
19.0,19.0,,19.0,,,9.0,,120.0,,,,,19.0,,,Shady Dealer's Pantaloons,,,,Epic,,70.0,7.0,,,,,39.0,,,,
20.0,20.0,,28.0,,,17.0,,120.0,,,6.0,,20.0,,,Leggings of the Pursuit,,2.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,,,23.0,,,,
19.0,19.0,,28.0,,,,,100.0,,,,,19.0,,,Molten Earth Kilt,,,,Rare,,68.0,7.0,,,,,28.0,,,,15.0
18.0,18.0,,18.0,,,10.0,,100.0,,,,,18.0,,,Clefthoof Hide Leggings,,,,Rare,,,7.0,,,,,28.0,,,,11.0
,,,10.0,,,,,85.0,,,,,18.0,,,Astralaan Pants,,,,Uncommon,,65.0,7.0,,,,,27.0,,,,
18.0,18.0,,26.0,,,9.0,,100.0,,,9.0,,18.0,,,Mag'hari Huntsman's Leggings,,,,Rare,,,7.0,,,,,27.0,,,,
18.0,18.0,,17.0,,,,,85.0,,,,,18.0,,,T'chali's Kilt,,,,Uncommon,,,7.0,,,,,27.0,,,,
20.0,20.0,,28.0,,,,,120.0,,,14.0,,20.0,,,Rushing Storm Kilt,,2.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,,,27.0,,,,
,,,11.0,,,17.0,,85.0,,,,,18.0,,,Soothsayer's Kilt,,,,Uncommon,,,7.0,,,,,28.0,,,,
,,,11.0,,,,,120.0,,,,,18.0,,,Pontifex Kilt,,3.0,,Epic,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,28.0,,,,13.0
,,,10.0,,,8.0,,100.0,,,,,18.0,,,Stormreaver Shadow-Kilt,,,,Rare,,66.0,7.0,,,,,27.0,,,,15.0
,,,10.0,,,,,85.0,,,,,23.0,555.0,,Netherweave Pants,,,,Uncommon,,64.0,7.0,,,,,33.0,,,,
,,,38.0,,,,,120.0,,29.0,,,,,,Iceguard Leggings,,,,Epic,,70.0,7.0,,,,,27.0,,,,
,,,38.0,,,7.0,,100.0,,,,,20.0,,,Avenger's Legplates,,1.0,,Rare,,66.0,7.0,Prismatic socket,,,,19.0,20.0,20.0,,13.0
21.0,21.0,,21.0,,,,,100.0,,,,,21.0,,,Holistic Patchwork Breeches,,,,Rare,,70.0,7.0,,,,,32.0,,,,23.0
,,,43.0,,,,16.0,85.0,,,,,20.0,,,Cobalt Legplates,,,,Uncommon,,70.0,7.0,,,,,33.0,20.0,20.0,,
,,,42.0,,,,13.0,100.0,,,,,,,,Timewarden's Leggings,,3.0,,Rare,,70.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,33.0,,,,
