agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,holres,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,12.0,,,12.0,,70.0,,,12.0,,,18.0,,Deathsilk Shoulders,,,,Uncommon,,80.0,3.0,,,,,27.0,,,
18.0,18.0,,20.0,,,18.0,,,,,,,,18.0,,Lasting Feralheart Spaulders,,,,Heirloom,,,3.0,,,,,18.0,,,
17.0,17.0,,29.0,,,9.0,,100.0,,,10.0,,,17.0,,Observer's Mantle,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,23.0,,,
17.0,17.0,,29.0,,,12.0,,100.0,,,12.0,,,17.0,,Iron-Studded Mantle,,,,Epic,,80.0,3.0,,,,,26.0,,,
,,,43.0,,,17.0,,85.0,,,,,,20.0,,Spaulders of the Giant Lords,,,,Rare,,80.0,3.0,,,,,19.0,20.0,20.0,
17.0,17.0,,29.0,,,10.0,,85.0,,,13.0,,,17.0,,Spaulders of the Black Arrow,,,,Rare,,80.0,3.0,,,,,24.0,,,
18.0,18.0,,29.0,Hunter,,15.0,,100.0,,,6.0,,,18.0,,Sanctified Ahn'Kahar Blood Hunter's Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,,,
,,,43.0,"Warrior,Paladin,Death knight",,,,100.0,,,9.0,,,14.0,,Titan-Forged Shoulderplates of Triumph,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,12.0
,,,12.0,,,,,100.0,,,9.0,,,17.0,,Underworld Mantle,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,10.0
14.0,14.0,,20.0,,,12.0,,100.0,,,9.0,,,14.0,,Duskstalker Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
17.0,17.0,,29.0,,,17.0,,100.0,,,9.0,,,17.0,,Pauldrons of the Abandoned,,,,Epic,,80.0,3.0,,,,,21.0,,,
,,,,,,,,,,,,,,,,Lesser Inscription of the Axe,,,,Rare,,80.0,,,,,,,,,
,,,43.0,Warrior,,9.0,,100.0,,,,,,15.0,,Hateful Gladiator's Plate Shoulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,15.0,15.0,12.0
,,,43.0,,,,,100.0,,,13.0,,,17.0,,Frostblight Pauldrons,,,,Epic,,80.0,3.0,,,,,25.0,17.0,17.0,10.0
,,,43.0,Death knight,,,11.0,100.0,,,,,,17.0,,Sanctified Scourgelord Pauldrons,,1.0,9.0,Epic,,80.0,3.0,Prismatic socket,,,,21.0,17.0,17.0,
14.0,14.0,,20.0,,,12.0,,100.0,,,9.0,,,14.0,,Duskstalker Pauldrons,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,12.0,,,10.0,,100.0,,,,,,17.0,,Iceshear Mantle,,,,Epic,,80.0,3.0,,,,,24.0,,,12.0
17.0,17.0,,20.0,,,13.0,,100.0,,,9.0,,,17.0,,Spaulders of Egotism,,,,Epic,,80.0,3.0,,,,,26.0,,,
,,,43.0,,,12.0,,100.0,,,10.0,,,17.0,,Pauldrons of the Souleater,,,,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,
,,,43.0,Warrior,,13.0,,100.0,,,10.0,,,17.0,,Valorous Dreadnaught Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,19.0,17.0,17.0,
18.0,18.0,,29.0,,,,,,,,,,,18.0,,Aged Pauldrons of The Five Thunders,,,,Heirloom,,,3.0,,,,,27.0,,,18.0
,,,12.0,Mage,,,,100.0,,,13.0,,,17.0,,Valorous Kirin Tor Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,7.0
,,,43.0,Death knight,,,12.0,100.0,,,,,,15.0,,Valorous Scourgeborne Pauldrons,,1.0,12.0,Epic,,80.0,3.0,Prismatic socket,,,,23.0,15.0,15.0,
,,,12.0,Priest,,,,100.0,,,12.0,,,16.0,,Valorous Shoulderpads of Sanctification,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,8.0
,,,44.0,,,,,,,,,,,18.0,,Burnished Pauldrons of Might,,,18.0,Heirloom,,,3.0,,,,,27.0,18.0,18.0,
16.0,16.0,,29.0,Shaman,,,,100.0,,,12.0,,,16.0,,Conqueror's Worldbreaker Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,10.0
15.0,15.0,,29.0,Hunter,,15.0,,100.0,,,10.0,,,15.0,,Valorous Cryptstalker Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,,,
17.0,17.0,,20.0,,,11.0,,100.0,,,10.0,,,17.0,,Spaulders of Resumed Battle,,,,Epic,,80.0,3.0,,,,,28.0,,,
,,,43.0,,,13.0,,100.0,,,,,,17.0,,Valonforth's Tarnished Pauldrons,,,,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,9.0
,,,12.0,Mage,,13.0,,100.0,,,8.0,,,15.0,,Heroes' Frostfire Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,
,,,43.0,Warrior,,11.0,,100.0,,,9.0,,,18.0,,Conqueror's Siegebreaker Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,18.0,18.0,
17.0,17.0,,20.0,Rogue,,8.0,,100.0,,,11.0,,,17.0,,Conqueror's Terrorblade Pauldrons,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,44.0,Paladin,,,11.0,100.0,,,,,,18.0,,Sanctified Lightsworn Shoulderguards,,1.0,9.0,Epic,,80.0,3.0,Prismatic socket,,,,22.0,18.0,18.0,
,,,43.0,,,12.0,,100.0,,,6.0,,,11.0,,Raging Behemoth's Shoulderplates,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,26.0,11.0,11.0,
,,,43.0,Paladin,,,,100.0,,,,,,17.0,,Valorous Aegis Shoulderguards,,1.0,12.0,Epic,,80.0,3.0,Prismatic socket,,,,23.0,17.0,17.0,
,,,43.0,,,7.0,15.0,100.0,,,,,,14.0,,Abomination Shoulderblades,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,23.0,14.0,14.0,
,,,43.0,,,,,85.0,,,,,,17.0,,Pauldrons of the Colossus,,1.0,14.0,Rare,,80.0,3.0,Prismatic socket,,,,26.0,17.0,17.0,
,,,43.0,,,13.0,,100.0,,,9.0,,,14.0,,Majestic Silversmith Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,14.0,14.0,
,,,43.0,,,,,100.0,,,10.0,,,16.0,,Noble Birthright Pauldrons,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,16.0,16.0,11.0
19.0,19.0,,20.0,,,,,100.0,,,7.0,,,19.0,,Trollwoven Spaulders,,,,Epic,,80.0,3.0,,,,,32.0,,,
,,,12.0,,,,,100.0,,,10.0,,,17.0,,Mantle of Wavering Calm,,,,Epic,,80.0,3.0,,,,,26.0,,,13.0
,,,12.0,Mage,,9.0,,100.0,,,,,,14.0,,Wrathful Gladiator's Silk Amice,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
,,,43.0,,,9.0,,100.0,,,,,,18.0,,Focusing Energy Epaulets,,,,Epic,,80.0,3.0,,,,,24.0,18.0,18.0,13.0
,,,44.0,Warrior,,12.0,,100.0,,,9.0,,,15.0,,Sanctified Ymirjar Lord's Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,27.0,15.0,15.0,
,,,12.0,Mage,,12.0,,100.0,,,9.0,,,15.0,,Sanctified Bloodmage Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,,,17.0,,100.0,,,9.0,,,17.0,,Shoulderguards of the Undaunted,,,,Epic,,80.0,3.0,,,,,20.0,17.0,17.0,
,,,12.0,Warlock,,8.0,,100.0,,,13.0,,,16.0,,Valorous Plagueheart Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,43.0,Paladin,,,13.0,100.0,,,,,,17.0,,Conqueror's Aegis Shoulderguards,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,17.0,17.0,
16.0,16.0,,29.0,,,14.0,,100.0,,,11.0,,,16.0,,Shoulders of Misfortune,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,20.0,,,
,,,12.0,Mage,,12.0,,100.0,,,9.0,,,14.0,,Sanctified Bloodmage Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
14.0,14.0,,29.0,,,7.0,,100.0,,,13.0,,,14.0,,Shoulderpads of Secret Arts,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,44.0,Paladin,,12.0,,100.0,,,9.0,,,15.0,,Sanctified Lightsworn Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,27.0,15.0,15.0,
,,,43.0,,,9.0,,100.0,,,,,,17.0,,Shoulderplates of the Deconstructor,,,,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,14.0
,,,43.0,,,11.0,,100.0,,,7.0,,,15.0,,Shoulderplates of the Celestial Watch,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,26.0,15.0,15.0,
16.0,16.0,,20.0,Druid,,13.0,,100.0,,,10.0,,,16.0,,Conqueror's Nightsong Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,
,,,12.0,Priest,,13.0,,100.0,,,,,,16.0,,Valorous Mantle of Sanctification,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,23.0,,,10.0
17.0,17.0,,20.0,Rogue,,12.0,,100.0,,,9.0,,,17.0,,VanCleef's Pauldrons of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,,,
15.0,15.0,,20.0,,,9.0,,100.0,,,12.0,,,15.0,,Spaulders of the Snow Bandit,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,22.0,,,
,,,12.0,,,,,100.0,,,13.0,,,17.0,,Amice of Inconceivable Horror,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,19.0,,,9.0
,,,12.0,,,4.0,,100.0,,,,,,11.0,,Bloodstained Surgeon's Shoulderguards,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,12.0
,,,42.0,,,,12.0,85.0,,,,,,16.0,,Tempered Saronite Shoulders,,,,Rare,,76.0,3.0,,,,,32.0,16.0,16.0,
,,,43.0,Warrior,,13.0,,100.0,,,10.0,,,17.0,,Heroes' Dreadnaught Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,18.0,17.0,17.0,
,,,43.0,,,,17.0,85.0,,,,,,17.0,,Crusader's Square Pauldrons,,,,Rare,,78.0,3.0,,,,,27.0,17.0,17.0,
16.0,16.0,,20.0,Druid,,8.0,,100.0,,,,,,16.0,,Valorous Dreamwalker Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,13.0
16.0,16.0,,19.0,,,,,85.0,,,,,,16.0,,Seal-Fur Spaulders,,,,Rare,,72.0,3.0,,,,,24.0,,,
,,,12.0,,,6.0,,100.0,,,12.0,,,12.0,,Shoulders of Mercy Killing,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,
,,,44.0,,,12.0,,100.0,,,6.0,,,12.0,,Raging Behemoth's Shoulderplates,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,27.0,12.0,12.0,
,,,44.0,Death knight,,12.0,,100.0,,,9.0,,,15.0,,Sanctified Scourgelord Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,27.0,15.0,15.0,
14.0,14.0,,29.0,Hunter,,10.0,,100.0,,,11.0,,,14.0,,Valorous Scourgestalker Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,43.0,,,15.0,,100.0,,,10.0,,,16.0,,Shoulderguards of Opportunity,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,19.0,16.0,16.0,
,,,43.0,,,20.0,,85.0,,,,,,17.0,,Gold Star Spaulders,,,,Rare,,78.0,3.0,,,,,19.0,17.0,17.0,
,,,12.0,Priest,,10.0,,100.0,,,12.0,,,16.0,,Valorous Mantle of Faith,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,,,,11.0,100.0,,,,,,17.0,,Burdened Shoulderplates,,,12.0,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,
17.0,17.0,,29.0,Hunter,,14.0,,100.0,,,6.0,,,17.0,,Ahn'Kahar Blood Hunter's Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,,,
,,,43.0,,,13.0,,100.0,,,10.0,,,17.0,,Epaulets of the Grieving Servant,,,,Epic,,80.0,3.0,,,,,25.0,17.0,17.0,
,,,43.0,,,11.0,,100.0,,,,,,12.0,,Spaulders of the Blood Princes,,2.0,11.0,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,17.0,12.0,12.0,
14.0,14.0,,29.0,Hunter,,9.0,,100.0,,,,,,14.0,,Wrathful Gladiator's Chain Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,12.0
14.0,14.0,,20.0,,,10.0,,100.0,,,,,,14.0,,Shoulderpads of Dormant Energies,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,10.0
,,,43.0,Death knight,,,11.0,100.0,,,,,,17.0,,Scourgelord Pauldrons,,1.0,9.0,Epic,,80.0,3.0,Prismatic socket,,,,21.0,17.0,17.0,
,,,43.0,Paladin,,10.0,,100.0,,,,,,16.0,,Deadly Gladiator's Ornamented Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,16.0,16.0,12.0
,,,12.0,,,8.0,,100.0,,,,,,16.0,,Mantle of the Unknowing,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,13.0
,,,12.0,,,10.0,,100.0,,,11.0,,,16.0,,Soot-Covered Mantle,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,,,,,100.0,,,8.0,,,17.0,,Shoulderguards of the Solemn Watch,,,,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,14.0
,,,43.0,,,12.0,,100.0,,,,,,11.0,,Rusted Bonespike Pauldrons,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,11.0,11.0,6.0
,,,43.0,,,13.0,,100.0,,,,,,17.0,,Elevated Lair Pauldrons,,,,Epic,,80.0,3.0,,,,,24.0,17.0,17.0,10.0
17.0,17.0,,20.0,,,12.0,,100.0,,,12.0,,,17.0,,Mantle of Gnarled Overgrowth,,,,Epic,,80.0,3.0,,,,,26.0,,,
17.0,17.0,,29.0,,,14.0,,100.0,,,7.0,,,17.0,,Pauldrons of the Shadow Hunter,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,18.0,,,
,,,12.0,Priest,,9.0,,100.0,,,,,,14.0,,Zabra's Mantle of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
,,,48.0,,,11.0,,85.0,,,14.0,,,19.0,,Shoulderguards of Honest Labor,,,,Rare,,80.0,3.0,,,,,29.0,19.0,19.0,
17.0,17.0,,29.0,,,16.0,,100.0,,,9.0,,,17.0,,Spurned Val'kyr Shoulderguards,,,,Epic,,80.0,3.0,,,,,26.0,,,
,,,43.0,Warrior,,,11.0,100.0,,,,,,17.0,,Ymirjar Lord's Pauldrons,,1.0,9.0,Epic,,80.0,3.0,Prismatic socket,,,,21.0,17.0,17.0,
,,,43.0,Death knight,,,11.0,100.0,,,,,,15.0,,Heroes' Scourgeborne Pauldrons,,1.0,12.0,Epic,,80.0,3.0,Prismatic socket,,,,23.0,15.0,15.0,
16.0,16.0,,29.0,Shaman,,12.0,,100.0,,,,,,16.0,,Valorous Earthshatter Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,9.0
,,,43.0,Paladin,,10.0,,100.0,,,,,,16.0,,Deadly Gladiator's Scaled Shoulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,16.0,16.0,12.0
17.0,17.0,,29.0,,,12.0,,85.0,,,,,,17.0,,Swiftarrow Shoulderguards,,,,Rare,,78.0,3.0,,,,,26.0,,,12.0
,,,48.0,,,,,85.0,,,,,,19.0,15.0,Thunderwood Shoulders,,,,Rare,,,3.0,,,,,29.0,19.0,19.0,10.0
,,,43.0,Paladin,,11.0,,100.0,,,9.0,,,18.0,,Conqueror's Aegis Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,18.0,18.0,
,,,12.0,Mage,,9.0,,100.0,,,12.0,,,14.0,,Sunstrider's Shoulderpads of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
14.0,14.0,,29.0,Shaman,,12.0,,100.0,,,9.0,,,14.0,,Sanctified Frost Witch's Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,Warrior,,,15.0,100.0,,,,,,15.0,,Valorous Dreadnaught Pauldrons,,1.0,7.0,Epic,,80.0,3.0,Prismatic socket,,,,23.0,15.0,15.0,
,,,12.0,,,12.0,,100.0,,,11.0,,,17.0,,Very Fashionable Shoulders,,,,Epic,,80.0,3.0,,,,,26.0,,,
,,,12.0,Warlock,,9.0,,100.0,,,,,,14.0,,Wrathful Gladiator's Felweave Amice,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
14.0,14.0,,29.0,Hunter,,12.0,,100.0,,,9.0,,,14.0,,Windrunner's Spaulders of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,43.0,Paladin,,11.0,,100.0,,,9.0,,,16.0,,Valorous Aegis Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,16.0,16.0,
16.0,16.0,,29.0,,,12.0,,100.0,,,,,,16.0,,Amice of the Stoic Watch,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,10.0
,,,43.0,,,12.0,,100.0,,,5.0,,,11.0,,Scalpel-Sharpening Shoulderguards,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,26.0,11.0,11.0,
,,,43.0,Warrior,,10.0,,100.0,,,,,,16.0,,Deadly Gladiator's Plate Shoulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,16.0,16.0,12.0
11.0,11.0,,29.0,,,12.0,,100.0,,,6.0,,,11.0,,Horrific Flesh Epaulets,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,
11.0,11.0,,20.0,,,6.0,,100.0,,,12.0,,,11.0,,Skinned Whelp Shoulders,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,
,,,12.0,Priest,,13.0,,100.0,,,,,,16.0,,Conqueror's Mantle of Sanctification,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,23.0,,,10.0
19.0,19.0,,20.0,,,,,85.0,,,13.0,,,19.0,,Purehorn Spaulders,,,,Rare,,78.0,3.0,,,,,24.0,,,
,,,12.0,Priest,,10.0,,100.0,,,,,,16.0,,Valorous Shoulderpads of Faith,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,12.0
16.0,16.0,,29.0,Shaman,,,,100.0,,,12.0,,,16.0,,Valorous Worldbreaker Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,10.0
,,,43.0,Paladin,,6.0,17.0,100.0,,,,,,13.0,,Turalyon's Shoulderguards of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,13.0,13.0,
14.0,14.0,,29.0,,,,,100.0,,,9.0,,,14.0,,Pauldrons of the Combatant,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,11.0
17.0,17.0,,29.0,Hunter,,14.0,,100.0,,,6.0,,,17.0,,Sanctified Ahn'Kahar Blood Hunter's Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,,,
,,,12.0,,,,,100.0,,,9.0,,,14.0,,Mantle of Revered Mortality,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
,,,12.0,,,15.0,,100.0,,,,,,17.0,,Underworld Mantle,,,,Epic,,80.0,3.0,,,,,26.0,,,8.0
,,,43.0,,,,11.0,100.0,,,,,,17.0,,Boneguard Commander's Pauldrons,,2.0,6.0,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,17.0,17.0,17.0,
14.0,14.0,,29.0,Shaman,,,,100.0,,,9.0,,,14.0,,Titan-Forged Shoulders of Salvation,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
,,,43.0,Paladin,,,13.0,100.0,,,,,,16.0,,Valorous Redemption Shoulderguards,,1.0,9.0,Epic,,80.0,3.0,Prismatic socket,,,,23.0,16.0,16.0,
12.0,12.0,,20.0,Rogue,,13.0,,100.0,,,9.0,,,12.0,,Heroes' Bonescythe Pauldrons,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,,,
,,,43.0,Paladin,,12.0,,100.0,,,9.0,,,14.0,,Sanctified Lightsworn Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
16.0,16.0,,20.0,Druid,,12.0,,100.0,,,10.0,,,16.0,,Valorous Nightsong Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,
,,,,,,,,,,,,,,,,Lesser Inscription of the Crag,,,,Rare,,80.0,,,,,,,,,
,,,,,,,,,,,,,,,,Lesser Inscription of the Pinnacle,,,,Rare,,80.0,,,,,,,,,
,,,12.0,,,,,100.0,,,9.0,,,16.0,,Mantle of the Locusts,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,20.0,,,16.0
17.0,17.0,,20.0,,,,,85.0,,,18.0,,,17.0,,Spaulders of Frozen Knives,,,,Rare,,78.0,3.0,,,,,26.0,,,
,,,12.0,Warlock,,12.0,,100.0,,,8.0,,,17.0,,Valorous Deathbringer Shoulderpads,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,,,
,,,12.0,Mage,,9.0,,100.0,,,12.0,,,14.0,,Khadgar's Shoulderpads of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,12.0,Priest,,12.0,,100.0,,,9.0,,,14.0,,Sanctified Crimson Acolyte Mantle,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,Paladin,,9.0,,85.0,,,,,,15.0,,Savage Gladiator's Ornamented Spaulders,,1.0,,Rare,,80.0,3.0,Prismatic socket,,,,24.0,15.0,15.0,11.0
15.0,15.0,,20.0,Druid,,9.0,,85.0,,,,,,15.0,,Savage Gladiator's Dragonhide Spaulders,,1.0,,Rare,,80.0,3.0,Prismatic socket,,,,25.0,,,11.0
14.0,14.0,,29.0,Shaman,,12.0,,100.0,,,9.0,,,14.0,,Sanctified Frost Witch's Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,
,,,43.0,Warrior,,12.0,,100.0,,,9.0,,,14.0,,Wrynn's Shoulderplates of Conquest,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
,,,43.0,,,,,100.0,,,12.0,,,17.0,,Razorscale Shoulderguards,,,,Epic,,80.0,3.0,,,,,25.0,17.0,17.0,10.0
,,,43.0,Paladin,,13.0,,100.0,,,10.0,,,17.0,,Heroes' Redemption Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,18.0,17.0,17.0,
,,,,,,,,,,,,,,,,Inscription of Triumph,,,,Rare,,80.0,,,,,,,,,
18.0,18.0,,20.0,Rogue,,12.0,,100.0,,,9.0,,,18.0,,Sanctified Shadowblade Pauldrons,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,22.0,,,
,,,43.0,Warrior,,6.0,17.0,100.0,,,,,,13.0,,Wrynn's Pauldrons of Triumph,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,21.0,13.0,13.0,
,,,43.0,,,12.0,,100.0,,,9.0,,,14.0,,Shoulderplates of Trembling Rage,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
17.0,17.0,,29.0,,,,,85.0,,,,,,17.0,,Calcified Web Spaulders,,,,Rare,,74.0,3.0,,,,,26.0,,,
,,,43.0,Paladin,,9.0,,100.0,,,,,,14.0,,Wrathful Gladiator's Scaled Shoulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,12.0
,,,43.0,Death knight,,,14.0,100.0,,,,,,14.0,,Valorous Darkruned Pauldrons,,1.0,8.0,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
,,,12.0,,,12.0,,100.0,,,,,,17.0,,Miasma Mantle,,,,Epic,,80.0,3.0,,,,,25.0,,,11.0
,,,43.0,Paladin,,12.0,,100.0,,,9.0,,,14.0,,Lightsworn Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
,,,,,,,,,,,,,,,,Lesser Inscription of the Storm,,,,Rare,,80.0,,,,,,,,,
12.0,12.0,,29.0,,,12.0,,100.0,,,6.0,,,12.0,,Horrific Flesh Epaulets,,2.0,,Epic,,80.0,3.0,Prismatic socket,Prismatic socket,,,25.0,,,
,,,43.0,,,15.0,,85.0,,,,,,17.0,,Ferocious Pauldrons of the Rhino,,1.0,,Rare,,80.0,3.0,Prismatic socket,,,,26.0,17.0,17.0,
,,,43.0,Paladin,,13.0,,100.0,,,8.0,,,16.0,,Valorous Redemption Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,24.0,16.0,16.0,
14.0,14.0,,20.0,Rogue,,9.0,,100.0,,,,,,14.0,,Relentless Gladiator's Leather Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,12.0
,,,43.0,,,14.0,,85.0,,,,,,17.0,,Pauldrons of the Lightning Revenant,,1.0,,Rare,,78.0,3.0,Prismatic socket,,,,26.0,17.0,17.0,
,,,43.0,,,9.0,17.0,100.0,,,,,,17.0,,Shoulderplates of Frozen Blood,,,,Epic,,80.0,3.0,,,,,26.0,17.0,17.0,
,,,43.0,,,17.0,,100.0,,,8.0,,,15.0,,Shoulderplates of Bloodshed,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,19.0,15.0,15.0,
,,,43.0,Paladin,,9.0,,100.0,,,,,,14.0,,Wrathful Gladiator's Ornamented Spaulders,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,14.0,14.0,12.0
16.0,16.0,,20.0,,,,,100.0,,,10.0,,,16.0,,Malleable Steelweave Mantle,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,25.0,,,11.0
,,,43.0,Death knight,,12.0,,100.0,,,9.0,,,14.0,,Scourgelord Shoulderplates,,1.0,,Epic,,80.0,3.0,Prismatic socket,,,,26.0,14.0,14.0,
,,,43.0,,,,,85.0,,,,,,17.0,,Iron Dwarf Smith Pauldrons,,,17.0,Rare,,80.0,3.0,,,,,26.0,17.0,17.0,
