agi,agiint,arcres,armor,armorbonus,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,manargn,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,reqspell,slotbak,socket1,socket2,socket3,speed,splpwr,sta,str,strint,versatility
16.0,16.0,,21.0,,,,,,70.0,,,,,16.0,,,,Netherstalker Helmet,,,,Uncommon,,59.0,,1.0,,,,,,24.0,,,
16.0,16.0,,21.0,,,,,,70.0,,,,,16.0,,,,Legionnaire's Studded Helm,,,,Uncommon,,,,1.0,,,,,,24.0,,,
13.0,13.0,,21.0,,Hunter,,8.0,,85.0,,,,,13.0,,,,Replica Champion's Chain Headguard,,,,Rare,,58.0,,1.0,,,,,,23.0,,,
7.0,7.0,,21.0,,Shaman,,11.0,,,,,6.0,,7.0,,,,Replica Champion's Mail Helm,,,,Rare,,58.0,,1.0,,,,,,23.0,,,
15.0,15.0,,14.0,,Rogue,,8.0,,100.0,,,5.0,,15.0,,,,Replica Field Marshal's Leather Mask,,,,Epic,,60.0,,1.0,,,,,,23.0,,,11.0
,,,8.0,,Priest,,15.0,,100.0,,,,,15.0,,,,Replica Warlord's Satin Cowl,,,,Epic,,60.0,,1.0,,,,,,23.0,,,5.0
,,,8.0,,Priest,,,,85.0,,,,,11.0,,,,Replica Champion's Satin Cowl,,,,Rare,,58.0,,1.0,,,,,,23.0,,,
,,,31.0,,Warrior,,10.0,,85.0,,,7.0,,15.0,,,,Replica Champion's Plate Helm,,,,Rare,,60.0,,1.0,,,,,,23.0,15.0,15.0,
11.0,11.0,,14.0,,Druid,,6.0,,85.0,,,,,11.0,,,,Replica Lieutenant Commander's Dragonhide Headguard,,,,Rare,,60.0,,1.0,,,,,,23.0,,,11.0
15.0,15.0,,14.0,,Druid,,7.0,,85.0,,,,,15.0,,,,Replica Lieutenant Commander's Dragonhide Shroud,,,,Rare,,58.0,,1.0,,,,,,23.0,,,
,,,12.0,,,,,,70.0,,,,,,,,,Smooth Leather Helmet,,,,Poor,,52.0,,1.0,,,,,,,,,
,,,8.0,,,,,,70.0,,,,,3.0,,,,Highborne Crown,,,,Uncommon,,52.0,,1.0,,,,,,23.0,,,7.0
,,,39.0,,Paladin,,,18.0,100.0,,,,,16.0,625.0,,,Justicar Faceguard,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,19.0,16.0,16.0,
,,,38.0,,,,,,85.0,,,,,19.0,,,,Mask of Penance,,,,Rare,,68.0,,1.0,,,,,,28.0,19.0,19.0,15.0
20.0,20.0,,19.0,,,0.16666666666666666,14.0,,100.0,,,8.0,,20.0,,,,Cursed Vision of Sargeras,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,28.0,,,
19.0,19.0,,18.0,,,,,18.0,85.0,,,,,19.0,,,,Cowl of the Guiltless,,,,Rare,,70.0,,1.0,,,,,,28.0,,,17.0
,,,10.0,,Warlock,,9.0,,100.0,,,,,15.0,645.0,,,Voidheart Crown,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,32.0,,,
,,,37.0,,,,14.0,,85.0,,,8.0,,18.0,,,,Overlord's Helmet of Second Sight,,3.0,,Rare,,,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,28.0,18.0,18.0,
19.0,19.0,,18.0,,,,14.0,,85.0,,,,,19.0,620.0,,,Helm of Assassination,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,
15.0,15.0,,18.0,,Rogue,,10.0,,100.0,,,,,15.0,622.0,,,Deathmantle Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,32.0,,,
,,,39.0,,Warrior,,,19.0,100.0,,,,,17.0,656.0,,,Destroyer Greathelm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,19.0,17.0,17.0,
18.0,18.0,,17.0,,,,25.0,,85.0,,,,,18.0,,,,Mask of the Deceiver,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
18.0,18.0,,18.0,,Rogue,,6.0,,100.0,,,,,18.0,621.0,,,Netherblade Facemask,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,27.0,,,
19.0,19.0,,17.0,,,,,7.0,70.0,,,,,19.0,,,,Netherstorm Eyepatch,,,,Uncommon,,,,1.0,,,,,,28.0,,,
,,,40.0,,Paladin,,,18.0,100.0,,,,,18.0,679.0,,,Lightbringer Faceguard,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,25.0,18.0,18.0,
,,,11.0,,Warlock,,12.0,,100.0,,,6.0,,20.0,670.0,,,Hood of the Malefic,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,30.0,,,
18.0,18.0,,25.0,,,,18.0,,85.0,,,11.0,,18.0,,,,Malefactor's Eyepatch,,,,Rare,,,,1.0,,,,,,28.0,,,
14.0,14.0,,18.0,,Druid,,,,100.0,,,,,14.0,638.0,,,Crown of Malorne,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,23.0,,,17.0
,,,37.0,,,,9.0,,85.0,,,16.0,,18.0,,,,Faceguard of Determination,,,,Rare,,70.0,,1.0,,,,,,28.0,18.0,18.0,
,,,11.0,,,,,,100.0,,,,,20.0,,,,Cowl of Benevolence,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,,,16.0
16.0,16.0,,26.0,,Hunter,,15.0,,100.0,,,,,16.0,651.0,,,Demon Stalker Greathelm,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,23.0,,,
,,,10.0,,Priest,,11.0,,100.0,,,7.0,,15.0,664.0,,,Soul-Collar of the Incarnate,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,27.0,,,
,,,10.0,,Warlock,,12.0,,100.0,,,,,19.0,646.0,,,Hood of the Corruptor,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,32.0,,,
,,,11.0,,Priest,,6.0,,100.0,,,,,20.0,674.0,,,Hood of Absolution,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,26.0,,,15.0
,,,10.0,,,,,,100.0,,,,,17.0,571.0,,,Whitemend Hood,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,14.0,,,14.0
,,,10.0,,Priest,,9.0,,100.0,,,9.0,,19.0,666.0,,,Hood of the Avatar,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,
18.0,18.0,,17.0,,,,8.0,,85.0,,,,,18.0,,,,Stealther's Helmet of Second Sight,,3.0,,Rare,,,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,28.0,,,
,,,37.0,,,,,,85.0,,,,,18.0,,,,Crimson Beholder Eye,,,,Rare,,68.0,,1.0,,,,,,28.0,18.0,18.0,
18.0,18.0,,18.0,,,,,,100.0,,,,,18.0,,,,Cowl of Nature's Breath,,,,Epic,,70.0,,1.0,,,,,,31.0,,,15.0
,,,39.0,,Warrior,,,14.0,100.0,,,,,11.0,654.0,,,Warbringer Greathelm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,24.0,11.0,11.0,
19.0,19.0,,26.0,,,,,,85.0,,,,,19.0,,,,Headdress of the Tides,,,,Rare,,70.0,,1.0,,,,,,28.0,,,13.0
19.0,19.0,,24.0,,,0.016666666666666666,11.0,,100.0,,,11.0,,19.0,,,,Headdress of the First Shaman,,3.0,,Epic,,61.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,10.0,,,
15.0,15.0,,26.0,,Hunter,,9.0,,100.0,,,8.0,,15.0,586.0,,,Gladiator's Chain Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,9.0
18.0,18.0,,18.0,,Druid,,,,100.0,,,9.0,,18.0,640.0,,,Stag-Helm of Malorne,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,30.0,,,
,,,39.0,,,,16.0,,100.0,,,,,20.0,,,,Crown of Empowered Fate,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,20.0,20.0,
19.0,19.0,,18.0,,,,17.0,21.0,85.0,,,,,19.0,,,,Terokk's Mask,,,,Rare,,,,1.0,,,,,,28.0,,,
,,,39.0,,Warrior,,11.0,,100.0,,,6.0,,20.0,655.0,,,Warbringer Battle-Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,20.0,20.0,20.0,
,,,10.0,,,,9.0,,85.0,,,,,19.0,658.0,,,Mana-Etched Crown,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,
,,,10.0,,,,12.0,,100.0,,,8.0,,19.0,559.0,,,Spellstrike Hood,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,13.0,,,
19.0,19.0,,24.0,,,,11.0,,100.0,,,11.0,,19.0,,,,Storm Helm,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,10.0,,,
25.0,25.0,,25.0,,,,,,85.0,,,,,25.0,,,,Stylin' Adventure Hat,,,,Rare,,69.0,,1.0,,,,,,,,,23.0
19.0,19.0,,18.0,,,,,,85.0,,,,,19.0,,,,Crown of the Forest Lord,,,,Rare,,70.0,,1.0,,,,,,28.0,,,15.0
23.0,23.0,,18.0,,,,11.0,,100.0,,,,,23.0,,,,Cowl of Defiance,,,,Epic,,70.0,,1.0,,,,,,29.0,,,
,,,10.0,,,,11.0,,85.0,,,,,19.0,,,,Demonfang Ritual Helm,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
,,,10.0,,,,18.0,,85.0,,,,,18.0,,,,Tourmaline Crown,,,,Rare,,,,1.0,,,,,,28.0,,,10.0
,,,10.0,,,,,,100.0,,,,,17.0,,,,Headdress of the High Potentate,,,,Epic,,70.0,,1.0,,,,,,33.0,,,15.0
18.0,18.0,,25.0,,,,,,85.0,,,,,18.0,,,,Fiery Beholder Eye,,,,Rare,,68.0,,1.0,,,,,,28.0,,,
14.0,14.0,,18.0,,Rogue,,7.0,,100.0,,,,,14.0,713.0,,,Merciless Gladiator's Leather Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,26.0,,,10.0
,,,9.0,,,,,,85.0,,,,,14.0,,,,Exorcist's Dreadweave Hood,,1.0,,Rare,,66.0,,1.0,,,,,,31.0,,,12.0
,,,10.0,,Priest,,,,100.0,,,,,19.0,665.0,,,Cowl of the Avatar,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,15.0
,,,10.0,,,,13.0,,85.0,,,,,19.0,,,,Mage-Collar of the Firestorm,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
16.0,16.0,,26.0,,Shaman,,12.0,,100.0,,,,,16.0,633.0,,,Cyclone Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,27.0,,,
,,,10.0,,,,9.0,,85.0,,,7.0,,18.0,,,,Mag'hari Ritualist's Horns,,,,Rare,,,,1.0,,,,,,27.0,,,
,,,39.0,,,,18.0,,85.0,,,,,19.0,,,,Irondrake Faceguard,,,,Rare,,70.0,,1.0,,,,,,28.0,19.0,19.0,
,,,39.0,,,,,,100.0,,,,,19.0,,,,Brighthelm of Justice,,,,Epic,,70.0,,1.0,,,,,,32.0,19.0,19.0,15.0
,,,10.0,,Mage,,9.0,,100.0,,,,,19.0,649.0,,,Cowl of Tirisfal,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,9.0
,,,40.0,,Warrior,,,,100.0,,,,,14.0,673.0,,,Onslaught Greathelm,,2.0,18.0,Epic,,70.0,,1.0,,Prismatic socket,,,,18.0,14.0,14.0,
,,,10.0,,Mage,,12.0,,100.0,,,,,16.0,648.0,,,Collar of the Aldor,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,26.0,,,8.0
18.0,18.0,,17.0,,,,11.0,10.0,70.0,,,,,18.0,,,,Warp-Raider's Eyepatch,,,,Uncommon,,,,1.0,,,,,,28.0,,,
,,,11.0,,Mage,,16.0,,100.0,,,5.0,,20.0,671.0,,,Cowl of the Tempest,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,
,,,39.0,,,,14.0,,100.0,,,,,19.0,,,,Amani Mask of Death,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,21.0,19.0,19.0,
28.0,28.0,,25.0,,,,,,85.0,,,,,28.0,,,,Stylin' Crimson Hat,,,,Rare,,69.0,,1.0,,,,,,26.0,,,
19.0,19.0,,18.0,,,,11.0,,85.0,,,9.0,,19.0,,,,Moon-Crown Antlers,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
18.0,18.0,,24.0,,,,,,100.0,,,,,18.0,,,,Living Dragonscale Helm,,,,Epic,,70.0,,1.0,,,,,,24.0,,,17.0
20.0,20.0,,18.0,,,,17.0,,70.0,,,12.0,,20.0,,,,Winterfin Patch of Honor,,,,Uncommon,,70.0,,1.0,,,,,,25.0,,,
,,,10.0,,,,,,70.0,,,28.0,,19.0,,,,Ghostly Headwrap,,,,Uncommon,,,,1.0,,,,,,28.0,,,11.0
,,,40.0,,Paladin,,8.0,,100.0,,,12.0,,23.0,680.0,,,Lightbringer War-Helm,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,22.0,23.0,23.0,
18.0,18.0,,25.0,,,,18.0,,70.0,,,,,18.0,,,,Battle-Mage's Helmet,,,,Uncommon,,,,1.0,,,,,,28.0,,,
,,,39.0,,,,,18.0,100.0,,,,,11.0,,,,Faceguard of the Endless Watch,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,22.0,11.0,11.0,
17.0,17.0,,16.0,,,,,,70.0,,,,,17.0,,,,Sunroc Mask,,,,Uncommon,,62.0,,1.0,,,,,,25.0,,,
,,,44.0,,,,14.0,,100.0,,,11.0,,21.0,,,,Crown of Anasterian,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,21.0,21.0,
,,,39.0,,,,14.0,,100.0,,,11.0,,19.0,,,,Crown of Empowered Fate,,,,Epic,,70.0,,1.0,,,,,,29.0,19.0,19.0,
11.0,11.0,,18.0,,Rogue,,6.0,,85.0,,,,,11.0,745.0,,,Opportunist's Leather Helm,,2.0,,Rare,,70.0,,1.0,,Prismatic socket,,,,22.0,,,14.0
,,,10.0,,,,14.0,,100.0,,,7.0,,19.0,,,,Cowl of the Grand Engineer,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,19.0,,,
,,,9.0,,,,14.0,,70.0,,,,,17.0,,,,Skywitch Hat,,,,Uncommon,,,,1.0,,,,,,26.0,,,
,,,12.0,,,,10.0,,100.0,,,,,22.0,,,,Helm of Arcane Purity,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,30.0,,,13.0
,,,10.0,,Warlock,,,,100.0,,,,,12.0,702.0,,,Merciless Gladiator's Dreadweave Hood,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,28.0,,,36.0
19.0,19.0,,26.0,,,,,,85.0,,,,,19.0,630.0,,,Tidefury Helm,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,9.0
,,,39.0,,,,15.0,,85.0,,,9.0,,19.0,,,,Ruby Helm of the Just,,,,Rare,,70.0,,1.0,,,,,,28.0,19.0,19.0,
28.0,28.0,,17.0,,,,,,85.0,,,,,28.0,,,,Stylin' Purple Hat,,,,Rare,,69.0,,1.0,,,,,,26.0,,,
,,,10.0,,,,,,85.0,,,,,18.0,,,,Amethyst Beholder Eye,,,,Rare,,68.0,,1.0,,,,,,28.0,,,
,,,10.0,,,,,,85.0,,,,,18.0,,,,Crown of Endless Knowledge,,,,Rare,,66.0,,1.0,,,,,,29.0,,,13.0
17.0,17.0,,23.0,,,,9.0,,85.0,,,,,17.0,,,,Mask of the Howling Storm,,3.0,,Rare,,64.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,26.0,,,
19.0,19.0,,26.0,,,,,,100.0,,,,,19.0,,,,Mojo-Mender's Mask,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,28.0,,,9.0
,,,39.0,,,,18.0,,100.0,,,12.0,,19.0,,,,Fel-Steel Warhelm,,,,Epic,,70.0,,1.0,,,,,,19.0,19.0,19.0,
,,,10.0,,,,,,70.0,,,,,18.0,,,,Junior Technician 3rd Grade Goggles,,,,Uncommon,,,,1.0,,,,,,28.0,,,10.0
17.0,17.0,,18.0,,Rogue,,10.0,,100.0,,,6.0,,17.0,668.0,,,Slayer's Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,34.0,,,
17.0,17.0,,27.0,,Hunter,,17.0,,100.0,,,7.0,,17.0,669.0,,,Gronnstalker's Helmet,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,24.0,,,
22.0,22.0,,26.0,,,,,,100.0,,,,,22.0,,,,Fathom-Helm of the Deeps,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,20.0,,,10.0
,,,10.0,,,,15.0,,100.0,,,,,17.0,,,,Wicked Witch's Hat,,,,Epic,,70.0,,1.0,,,,,,33.0,,,
,,,10.0,,,,,,70.0,,,,,18.0,,,,Red Pointy Hat,,,,Uncommon,,,,1.0,,,,,,28.0,,,11.0
14.0,14.0,,17.0,,,,9.0,,85.0,,,15.0,,14.0,,,,Stylin' Jungle Hat,,,,Rare,,69.0,,1.0,,,,,,35.0,,,
18.0,18.0,,17.0,,,,14.0,,85.0,,,,,18.0,,,,Druidic Helmet of Second Sight,,3.0,,Rare,,,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,28.0,,,6.0
,,,39.0,,Warrior,,12.0,,100.0,,,,,13.0,567.0,,,Gladiator's Plate Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,13.0,13.0,11.0
,,,10.0,,,,11.0,,85.0,,,,,18.0,,,,Cowl of Naaru Blessings,,,,Rare,,70.0,,1.0,,,,,,28.0,,,13.0
15.0,15.0,,25.0,,,,12.0,,100.0,,,,,15.0,,,,Storm Master's Helmet,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,26.0,,,
,,,35.0,,,,,10.0,100.0,,24.0,,,,,,,Iceguard Helm,,,,Epic,,70.0,,1.0,,,,,,31.0,,,
,,,10.0,,,,,,85.0,,,,,19.0,,,,Windchanneller's Miter,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
,,,12.0,,,,,,100.0,,,10.0,,22.0,,,,Cowl of Light's Purity,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,30.0,,,13.0
24.0,24.0,,27.0,,Shaman,,13.0,,100.0,,,7.0,,24.0,682.0,,,Skyshatter Cover,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,20.0,,,
18.0,18.0,,18.0,,,,18.0,,100.0,,,13.0,,18.0,,,,Malefic Mask of the Shadows,,,,Epic,,70.0,,1.0,,,,,,19.0,,,
,,,39.0,,Paladin,,,,100.0,,,,,15.0,628.0,,,Crystalforge Faceguard,,2.0,17.0,Epic,,70.0,,1.0,Prismatic socket,,,,,19.0,15.0,15.0,
,,,40.0,,Paladin,,13.0,,100.0,,,,,20.0,681.0,,,Lightbringer Greathelm,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,27.0,20.0,20.0,
18.0,18.0,,25.0,,,,25.0,,85.0,,,,,18.0,,,,Storm Master's Helmet,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
,,,40.0,,Warrior,,27.0,,100.0,,,,,20.0,672.0,,,Onslaught Battle-Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,20.0,20.0,20.0,
16.0,16.0,,18.0,,,,9.0,,100.0,,,,,16.0,,,,Grimgrin Faceguard,,3.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,32.0,,,
17.0,17.0,,23.0,,,,13.0,,85.0,,,,,17.0,,,,Mok'Nathal Beast-Mask,,3.0,,Rare,,65.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,26.0,,,
,,,44.0,,,,12.0,,100.0,,,,,22.0,,,,Helm of Burning Righteousness,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,30.0,22.0,22.0,12.0
,,,39.0,,,,,12.0,85.0,,,,,19.0,623.0,,,Helm of the Righteous,,2.0,,Rare,,68.0,,1.0,Prismatic socket,,,,,28.0,19.0,19.0,9.0
,,,40.0,,Warrior,,13.0,,100.0,,,9.0,,14.0,736.0,,,Vengeful Gladiator's Plate Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,14.0,14.0,9.0
,,,10.0,,Priest,,,,100.0,,,,,12.0,707.0,,,Merciless Gladiator's Satin Hood,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,26.0,,,35.0
20.0,20.0,,26.0,,,0.0008333333333333334,17.0,,100.0,,,5.0,,20.0,,,,Gadgetstorm Goggles,,2.0,,Epic,,62.0,,1.0,,Prismatic socket,,,,12.0,,,
,,,35.0,,,,23.0,,85.0,,,,,17.0,,,,Hope Bearer Helm,,3.0,,Rare,,65.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,26.0,17.0,17.0,
17.0,17.0,,16.0,,,,,,70.0,,,,,17.0,,,,Ranger Hat,,,,Uncommon,,63.0,,1.0,,,,,,26.0,,,
,,,34.0,,,,7.0,,85.0,,,6.0,,17.0,,,,Cover of Righteous Fury,,,,Rare,,,,1.0,,,,,,26.0,17.0,17.0,
20.0,20.0,,18.0,,Druid,,,,100.0,,,,,20.0,678.0,,,Thunderheart Helmet,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,29.0,,,13.0
20.0,20.0,,18.0,,,0.0008333333333333334,5.0,,100.0,,,,,20.0,,,,Deathblow X11 Goggles,,2.0,,Epic,,62.0,,1.0,,Prismatic socket,,,,27.0,,,
,,,10.0,,Priest,,,,100.0,,,,,10.0,705.0,,,Merciless Gladiator's Mooncloth Hood,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,27.0,,,36.0
23.0,23.0,,17.0,,,,17.0,,85.0,,,11.0,,23.0,,,,Mask of Veiled Death,,,,Rare,,67.0,,1.0,,,,,,,,,
14.0,14.0,,18.0,,Druid,,,,100.0,,,,,14.0,584.0,,,Gladiator's Dragonhide Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,28.0,,,15.0
,,,39.0,,Warrior,,12.0,,100.0,,,5.0,,14.0,701.0,,,Merciless Gladiator's Plate Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,21.0,14.0,14.0,10.0
,,,10.0,,,,,,70.0,,,,,,,,,Haliscan Brimmed Hat,,,,Common,,,,1.0,,,,,,,,,
17.0,17.0,,26.0,,,,14.0,,100.0,,,10.0,,17.0,,,,Steelspine Faceguard,,,,Epic,,70.0,,1.0,,,,,,30.0,,,
15.0,15.0,,17.0,,,,8.0,,100.0,,,,,15.0,,,,Mask of the Deceiver,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,30.0,,,
27.0,27.0,,23.0,,,,12.0,,85.0,,,,,27.0,,,,Headdress of Inner Rage,,,,Rare,,65.0,,1.0,,,,,,17.0,,,
,,,42.0,,,,,15.0,100.0,,,,,9.0,,,,Faceplate of the Impenetrable,,2.0,11.0,Epic,,70.0,,1.0,,Prismatic socket,,,,30.0,9.0,9.0,
,,,11.0,,,,17.0,,100.0,,,8.0,,20.0,,,,Cowl of the Illidari High Lord,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,22.0,,,
,,,11.0,,Priest,,,,100.0,,,,,20.0,675.0,,,Cowl of Absolution,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,23.0,,,15.0
,,,10.0,,,,,,85.0,,,,,19.0,,,,Scintillating Headdress of Second Sight,,,,Rare,,70.0,,1.0,,,,,,28.0,,,18.0
,,,38.0,,,,,17.0,85.0,,,,,19.0,,,,Greathelm of the Unbreakable,,,,Rare,,68.0,,1.0,,,,,,28.0,19.0,19.0,
,,,10.0,,,,,,100.0,,,,,18.0,572.0,,,Battlecast Hood,,2.0,,Epic,,70.0,,1.0,Prismatic socket,Prismatic socket,,,,31.0,,,
18.0,18.0,,25.0,,,,18.0,,85.0,,,6.0,,18.0,,,,Stalker's Helmet of Second Sight,,3.0,,Rare,,,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,28.0,,,
,,,34.0,,,,17.0,,70.0,,,,,17.0,,,,Helm of Lupine Ferocity,,,,Uncommon,,,,1.0,,,,,,25.0,17.0,17.0,
,,,43.0,,,,,19.0,100.0,,,,,15.0,,,,Helm of Uther's Resolve,,2.0,9.0,Epic,,70.0,,1.0,,Prismatic socket,,,,32.0,15.0,15.0,
,,,40.0,,Paladin,,10.0,,100.0,,,,,14.0,727.0,,,Vengeful Gladiator's Lamellar Helm,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,31.0,14.0,14.0,12.0
19.0,19.0,,18.0,,,,9.0,,85.0,,,,,19.0,,,,Savage Mask of the Lynx Lord,,,,Rare,,70.0,,1.0,,,,,,28.0,,,
,,,37.0,,,,,20.0,100.0,,,,,,,,,Faceguard of Determination,,2.0,12.0,Epic,,70.0,,1.0,Prismatic socket,,,,,17.0,,,
16.0,16.0,,26.0,,Hunter,,16.0,,100.0,,,10.0,,16.0,652.0,,,Rift Stalker Helm,,2.0,,Epic,,70.0,,1.0,Prismatic socket,,,,,22.0,,,
18.0,18.0,,17.0,,,,,,85.0,,,,,18.0,,,,Emerald Beholder Eye,,,,Rare,,68.0,,1.0,,,,,,28.0,,,
17.0,17.0,,16.0,,,,12.0,,85.0,,,,,17.0,,,,Darkguard Face Mask,,,,Rare,,65.0,,1.0,,,,,,26.0,,,
,,,11.0,,Warlock,,,,100.0,,,,,13.0,734.0,,,Vengeful Gladiator's Dreadweave Hood,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,31.0,,,34.0
20.0,20.0,,27.0,,Shaman,,13.0,,100.0,,,,,20.0,684.0,,,Skyshatter Headguard,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,27.0,,,7.0
,,,39.0,,,,,19.0,85.0,,,,,,569.0,,,Felsteel Helm,,3.0,,Rare,,70.0,,1.0,Prismatic socket,Prismatic socket,Prismatic socket,,,15.0,,,19.0
,,,10.0,,,0.0008333333333333334,12.0,,100.0,,,,,23.0,,,,Destruction Holo-Gogs,,2.0,,Epic,,62.0,,1.0,,Prismatic socket,,,,18.0,,,
18.0,18.0,,24.0,,,,,,70.0,,,,,18.0,,,,Blood Knight Helm,,,,Uncommon,,64.0,,1.0,,,,,,27.0,,,
22.0,22.0,,16.0,,,,,,100.0,,,,,22.0,,,,The Night Watchman,,,,Epic,,70.0,,1.0,,,,,,29.0,,,
,,,11.0,,Warlock,,8.0,,100.0,,,,,15.0,735.0,,,Vengeful Gladiator's Felweave Cowl,,2.0,,Epic,,70.0,,1.0,,Prismatic socket,,,,25.0,,,34.0
19.0,19.0,,26.0,,,,8.0,,85.0,,,14.0,,19.0,660.0,,,Helm of Desolation,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,
19.0,19.0,,18.0,,,,13.0,,85.0,,,10.0,,19.0,659.0,,,Wastewalker Helm,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,
,,,10.0,,,,,,85.0,,,,,19.0,644.0,,,Hood of Oblivion,,2.0,,Rare,,70.0,,1.0,Prismatic socket,,,,,28.0,,,
