agi,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,pvppower,quality,reqlevel,rgdatkpwr,rgdcritstrkrtng,rgddmgmax,rgddmgmin,rgddps,rgdspeed,slotbak,socket1,socket2,speed,sta,str,versatility
23.0,,,,25.0,,49.0,36.0,,14.18,100.0,,,,,Skyfire Hawk-Bow,,,,Rare,68.0,,,49.0,36.0,14.18,3.0,15.0,,,3.0,,,
25.0,,,,,,50.0,36.0,,14.46,120.0,,,,,Sunfury Bow of the Phoenix,,,,Epic,70.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,35.0,,
21.0,,,,29.0,,54.0,39.0,,15.6,120.0,,,,,Bristleblitz Striker,,,,Epic,70.0,,,54.0,39.0,15.6,3.0,15.0,,,3.0,32.0,,
24.0,,,,,,48.0,35.0,,13.91,100.0,,,,,"Lohn'goron, Bow of the Torn-Heart",,,,Rare,,,,48.0,35.0,13.91,3.0,15.0,,,3.0,33.0,,
26.0,,,,21.0,,54.0,39.0,,15.6,120.0,,,,,Black Bow of the Betrayer,,,,Epic,70.0,,,54.0,39.0,15.6,3.0,15.0,,,3.0,,,
27.0,,,,,,49.0,36.0,,14.18,100.0,,,,,Melmorta's Twilight Longbow,,,,Rare,68.0,,,49.0,36.0,14.18,3.0,15.0,,,3.0,27.0,,
,,,,9.0,,13.0,7.0,,5.24,110.0,,55.0,,,The Black Stalk,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
,,Hunter,,,,60.0,44.0,,17.38,145.0,,,,,Netherstrand Longbow,,,,Legendary,70.0,37.0,52.0,60.0,44.0,17.38,3.0,15.0,,,3.0,21.0,,
19.0,,,,24.0,,52.0,34.0,,14.44,120.0,,,,,Steelhawk Crossbow,,,,Epic,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,,,
,,,,,,,,,,,,,,,Titanium Weapon Chain,,,,Uncommon,70.0,,,,,,,,,,,,,
23.0,,,,19.0,,51.0,37.0,,14.8,120.0,,,,,Serpent Spine Longbow,,,,Epic,70.0,,,51.0,37.0,14.8,3.0,15.0,,,3.0,20.0,,
19.0,,,,19.0,,52.0,34.0,,14.44,120.0,,,,,Merciless Gladiator's Crossbow of the Phoenix,,,,Epic,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,26.0,,16.0
,,,,,,13.0,8.0,,5.25,90.0,,55.0,,,Soul-Wand of the Aldor,,,,Rare,68.0,,,,,,,26.0,,,2.0,14.0,,9.0
20.0,,,,18.0,,50.0,36.0,,14.46,100.0,18.0,,,,Valanos' Longbow,,,,Rare,70.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,,,
,,,,,,13.0,7.0,,5.2,75.0,,52.0,,,Nobility Torch,,,,Uncommon,66.0,,,,,,,26.0,,,2.0,13.0,,
,,,,7.0,,14.0,8.0,,5.54,90.0,,55.0,,,Nether Core's Control Rod,,,,Rare,70.0,,,,,,,26.0,,,2.0,14.0,,
,,,,8.0,,14.0,8.0,,5.54,110.0,,55.0,,,Tirisfal Wand of Ascendancy,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
,,,,9.0,,14.0,8.0,,5.54,110.0,,55.0,,,Eredar Wand of Obliteration,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
25.0,,,,24.0,,56.0,30.0,,14.38,120.0,,,,,Arcanite Steam-Pistol,,,,Epic,70.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,,,
,,,,,,13.0,8.0,,5.25,90.0,,55.0,,,Wand of the Netherwing,,,,Rare,68.0,,,,,,,26.0,,,2.0,14.0,,
22.0,,,,,,47.0,34.0,,13.58,120.0,,,,,Wrathtide Longbow,,,,Epic,70.0,,,47.0,34.0,13.58,3.0,15.0,,,3.0,32.0,,
,,,,6.0,,12.0,7.0,,4.83,65.0,,49.0,,,Voidfire Wand,,,,Rare,64.0,,,,,,,26.0,,,2.0,13.0,,
18.0,,,,,,53.0,28.0,,13.56,120.0,,,,,Gyro-Balanced Khorium Destroyer,,1.0,,Epic,70.0,,,53.0,28.0,13.56,3.0,26.0,Prismatic socket,,3.0,42.0,,
,,,,,,,,,,,,,,,Heartseeker Scope,,,,Rare,70.0,,,,,,,,,,,,,
20.0,,,,15.0,,54.0,36.0,,15.04,100.0,12.0,,,,Crossbow of Relentless Strikes,,,,Rare,70.0,,,54.0,36.0,15.04,3.0,26.0,,,3.0,30.0,,
17.0,,,,26.0,,44.0,32.0,,12.81,100.0,,,,,Ethereal Warp-Bow,,,,Rare,64.0,,,44.0,32.0,12.81,3.0,15.0,,,3.0,24.0,,
23.0,,,,,,56.0,30.0,,14.38,120.0,,,,,Barrel-Blade Longrifle,,2.0,,Epic,70.0,,,56.0,30.0,14.38,3.0,26.0,Prismatic socket,Prismatic socket,3.0,,,
33.0,,,,,,51.0,27.0,,13.1,100.0,,,,,The Gunblade,,,,Rare,65.0,,,51.0,27.0,13.1,3.0,26.0,,,3.0,,,
18.0,,,,17.0,,45.0,33.0,,13.08,120.0,,,,,Marksman's Bow,,,,Epic,70.0,,,45.0,33.0,13.08,3.0,15.0,,,3.0,25.0,,
24.0,,,,23.0,,50.0,36.0,,14.46,120.0,,,,,Ancient Amani Longbow,,,,Epic,70.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,,,
19.0,,,,27.0,,50.0,36.0,,14.46,100.0,,,,,Starbolt Longbow,,,,Rare,70.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,34.0,,
19.0,,,,,,58.0,31.0,24.0,14.86,120.0,,,,,Rifle of the Stoic Guardian,,,,Epic,70.0,,,58.0,31.0,14.86,3.0,26.0,,,3.0,37.0,,
24.0,,,,32.0,,59.0,43.0,,17.15,85.0,,,,,Wyrmstalker's Bow,,,,Uncommon,,,,59.0,43.0,17.15,3.0,15.0,,,3.0,,,
21.0,,,,19.0,,54.0,39.0,,15.67,120.0,,,,,Brutal Gladiator's Longbow,,,,Epic,70.0,,,54.0,39.0,15.67,3.0,15.0,,,3.0,31.0,,15.0
,,,,,,51.0,27.0,,13.1,120.0,,,,,Don Santos' Famous Hunting Rifle,,,,Epic,70.0,,,51.0,27.0,13.1,3.0,26.0,,,3.0,,,
,,,,,,12.0,7.0,,4.76,90.0,,49.0,,,Sporeling's Firestick,,,,Rare,62.0,,,,,,,26.0,,,2.0,13.0,,
19.0,,,,,,56.0,30.0,23.0,14.38,100.0,,,,,The Boomstick,,,,Rare,70.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,38.0,,
,,,,,,15.0,8.0,,5.97,110.0,10.0,62.0,,,Wand of the Demonsoul,,1.0,,Epic,70.0,,,,,,,26.0,Prismatic socket,,2.0,16.0,,
20.0,,,,21.0,,54.0,36.0,,15.04,120.0,17.0,,,,Crossbow of Relentless Strikes,,,,Epic,70.0,,,54.0,36.0,15.04,3.0,26.0,,,3.0,,,
22.0,,,,26.0,,56.0,41.0,,16.25,100.0,37.0,,,,Dragon Slayer's Shortbow,,,,Rare,,,,56.0,41.0,16.25,3.0,15.0,,,3.0,32.0,,
32.0,,,,24.0,,67.0,36.0,,17.19,85.0,,,,,K3 Pachyderm Prevention Device,,,,Uncommon,,,,67.0,36.0,17.19,3.0,26.0,,,3.0,,,
19.0,,,,,,50.0,36.0,,14.46,85.0,,,,,Honorable Longbow,,,,Uncommon,67.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,28.0,,
27.0,,,,18.0,,55.0,29.0,,14.12,100.0,,,,,Wrathfire Hand-Cannon,,,,Rare,68.0,,,55.0,29.0,14.12,3.0,26.0,,,3.0,,,
27.0,,,,17.0,,63.0,34.0,,16.2,100.0,,,,,Hemet's Trophy Gun,,,,Rare,,,,63.0,34.0,16.2,3.0,26.0,,,3.0,29.0,,
25.0,,,,23.0,,56.0,30.0,,14.38,100.0,,,,,Ornate Khorium Rifle,,,,Rare,70.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,,,
25.0,,,,,,56.0,30.0,,14.38,85.0,,,,,Adamantite Rifle,,,,Uncommon,69.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,36.0,,
19.0,,,,29.0,,55.0,29.0,,14.12,100.0,,,,,Recoilless Rocket Ripper X-54,,,,Rare,68.0,,,55.0,29.0,14.12,3.0,26.0,,,3.0,23.0,,
20.0,,,,19.0,,59.0,31.0,,15.12,120.0,,,,,Vengeful Gladiator's Rifle,,,,Epic,70.0,,,59.0,31.0,15.12,3.0,26.0,,,3.0,29.0,,15.0
21.0,,,,19.0,,61.0,32.0,,15.66,120.0,,,,,Brutal Gladiator's Rifle,,,,Epic,70.0,,,61.0,32.0,15.66,3.0,26.0,,,3.0,31.0,,15.0
25.0,,,,,,53.0,35.0,,14.77,120.0,,,,,Legionkiller,,,,Epic,70.0,,,53.0,35.0,14.77,3.0,26.0,,,3.0,36.0,,
28.0,,,,,,54.0,29.0,,13.86,80.0,,,,,Bloodwarder's Rifle,,,,Rare,,,,54.0,29.0,13.86,3.0,26.0,,,3.0,26.0,,
23.0,,,,23.0,,52.0,28.0,,13.35,100.0,,,,,Hemet's Elekk Gun,,,,Rare,,,,52.0,28.0,13.35,3.0,26.0,,,3.0,,,
,,,,,,13.0,7.0,,5.13,55.0,,52.0,,,Arcane Wand of Sylvanaar,,,,Uncommon,,,,,,,,26.0,,,2.0,13.0,,
31.0,,,,19.0,,59.0,43.0,,17.15,85.0,,,,,Bow of Bone and Sinew,,,,Uncommon,,,,59.0,43.0,17.15,3.0,15.0,,,3.0,26.0,,
,,,,,,14.0,8.0,,5.54,110.0,,55.0,,,Carved Witch Doctor's Stick,,1.0,,Epic,70.0,,,,,,,26.0,Prismatic socket,,2.0,14.0,,
24.0,,,,,,56.0,30.0,,14.38,95.0,23.0,,,,Tuskbreaker,,,,Epic,70.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,,,
,,,,,,13.0,7.0,,5.24,55.0,,55.0,,,Hotshot Cattle Prod,,,,Uncommon,,,,,,,,26.0,,,2.0,14.0,,
18.0,,,,17.0,,51.0,27.0,,13.1,120.0,,,,,Veteran's Musket,,,,Epic,70.0,,,51.0,27.0,13.1,3.0,26.0,,,3.0,25.0,,
17.0,,,,,,51.0,27.0,,13.06,85.0,,,,,Fel Iron Musket,,,,Uncommon,63.0,,,51.0,27.0,13.06,3.0,26.0,,,3.0,33.0,,
40.0,,,,31.0,,55.0,40.0,,15.96,85.0,,,,,High-Strung Bow,,,,Uncommon,,,,55.0,40.0,15.96,3.0,15.0,,,3.0,,,
,,,,,,15.0,8.0,,5.97,110.0,5.0,62.0,,,Wand of Cleansing Light,,1.0,,Epic,70.0,,,,,,,26.0,Prismatic socket,,2.0,16.0,,10.0
19.0,,,,17.0,,52.0,34.0,,14.44,120.0,,,,,Gladiator's Heavy Crossbow,,,,Epic,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,21.0,,17.0
237.0,,,,151.0,,616.0,455.0,,178.52,,,,,,Bristleblitz Striker,,,,Epic,70.0,,,616.0,455.0,178.52,3.0,15.0,,,3.0,356.0,,60.0
18.0,,,,,,47.0,34.0,,13.58,85.0,,,,,Talbuk Hunting Bow,,,,Uncommon,65.0,,,47.0,34.0,13.58,3.0,15.0,,,3.0,27.0,,
18.0,,,,17.0,,47.0,31.0,,13.09,120.0,,,,,Crystalline Crossbow,,,,Epic,70.0,,,47.0,31.0,13.09,3.0,26.0,,,3.0,24.0,,
15.0,,,,22.0,,43.0,31.0,,12.45,100.0,,,,,Splintermark,,,,Rare,62.0,,,43.0,31.0,12.45,3.0,15.0,,,3.0,13.0,,
25.0,,,,13.0,,56.0,30.0,,14.38,100.0,,,,,Consortium Blaster,,,,Rare,70.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,27.0,,
19.0,,,,32.0,,52.0,34.0,,14.44,100.0,,,,,Emberhawk Crossbow,,,,Rare,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,,,
19.0,,,,,,50.0,36.0,,14.46,85.0,,,,,Yew Bow,,,,Uncommon,68.0,,,50.0,36.0,14.46,3.0,15.0,,,3.0,28.0,,
18.0,,,,24.0,,54.0,28.0,,13.82,100.0,,,,,Felsteel Boomstick,,,,Rare,70.0,,,54.0,28.0,13.82,3.0,26.0,,,3.0,22.0,,
23.0,,,,23.0,,62.0,41.0,,17.22,100.0,,,,,Polished Zombie Exterminator,,,,Rare,,,,62.0,41.0,17.22,3.0,26.0,,,3.0,33.0,,
27.0,,,,18.0,,52.0,34.0,,14.44,100.0,,,,,Adamantine Repeater,,,,Rare,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,,,
21.0,,,,,,54.0,39.0,,15.6,120.0,11.0,,,,Black Bow of the Betrayer,,,,Epic,70.0,,,54.0,39.0,15.6,3.0,15.0,,,3.0,31.0,,16.0
25.0,,,,,,56.0,30.0,,14.38,100.0,,,,,Telescopic Sharprifle,,,,Rare,68.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,36.0,,
17.0,,,,,,45.0,33.0,,13.03,85.0,,,,,Thalassian Compound Bow,,,,Uncommon,63.0,,,45.0,33.0,13.03,3.0,15.0,,,3.0,26.0,,
22.0,,,,,,45.0,29.0,,12.47,100.0,,,,,Coilfang Needler,,,,Rare,62.0,,,45.0,29.0,12.47,3.0,26.0,,,3.0,31.0,,
20.0,,,,19.0,,54.0,36.0,,15.04,120.0,,,,,Vengeful Gladiator's Heavy Crossbow,,,,Epic,70.0,,,54.0,36.0,15.04,3.0,26.0,,,3.0,29.0,,15.0
19.0,,,,,,51.0,37.0,,14.8,85.0,,,,,Dutiful Longbow,,,,Uncommon,70.0,,,51.0,37.0,14.8,3.0,15.0,,,3.0,29.0,,
35.0,,,,13.0,,55.0,29.0,,14.08,85.0,,,,,Mama's Insurance,,,,Uncommon,,,,55.0,29.0,14.08,3.0,26.0,,,3.0,33.0,,
,,,,,,13.0,7.0,,5.2,75.0,,52.0,,,Starheart Baton,,,,Uncommon,66.0,,,,,,,26.0,,,2.0,,,
16.0,,,,,,40.0,29.0,,11.57,85.0,,,,,Stout Oak Longbow,,,,Uncommon,,,,40.0,29.0,11.57,3.0,15.0,,,3.0,32.0,,
27.0,,,,,,59.0,31.0,,15.12,85.0,,,,,Siege Captain's Gun,,,,Uncommon,,,,59.0,31.0,15.12,3.0,26.0,,,3.0,33.0,,
,,,,,,13.0,8.0,,5.27,75.0,,55.0,,,Draenethyst Wand,,,,Uncommon,68.0,,,,,,,26.0,,,2.0,14.0,,
,,,,,15.0,,,,,,,,,,Diamond-Cut Refractor Scope,,,,Common,70.0,,,,,,,,,,,,,
,,,,,,11.0,6.0,,4.33,75.0,,,,,Wand of Onyx,,,,Common,70.0,,,,,,,26.0,,,2.0,,,
,,,,9.0,,16.0,9.0,,6.44,90.0,,68.0,,,Iceshrieker's Touch,,,,Rare,,,,,,,,26.0,,,2.0,17.0,,
27.0,,,,27.0,,58.0,38.0,,16.06,85.0,,,,,Frigid Crossbow,,,,Uncommon,,,,58.0,38.0,16.06,3.0,26.0,,,3.0,,,
21.0,,,,19.0,,56.0,37.0,,15.61,120.0,,,,,Brutal Gladiator's Heavy Crossbow,,,,Epic,70.0,,,56.0,37.0,15.61,3.0,26.0,,,3.0,31.0,,15.0
19.0,,,,,,58.0,31.0,,14.86,120.0,8.0,,,,Rifle of the Stoic Guardian,,,,Epic,70.0,,,58.0,31.0,14.86,3.0,26.0,,,3.0,29.0,,14.0
,,,,,,14.0,8.0,,5.54,75.0,,55.0,,,Pearled Wand,,,,Uncommon,67.0,,,,,,,26.0,,,2.0,14.0,,
18.0,,,,11.0,,52.0,34.0,,14.44,100.0,,,,,Truestrike Crossbow,,,,Rare,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,36.0,,
,,,,,,,,,,,,,,,Sun Scope,,,,Rare,70.0,,,,,,,,,,,,,
15.0,,,,22.0,,43.0,31.0,,12.45,100.0,,,,,Splintermark,,,,Rare,62.0,,,43.0,31.0,12.45,3.0,15.0,,,3.0,13.0,,
23.0,,,,,,48.0,25.0,,12.27,100.0,,,,,Legion Blunderbuss,,,,Rare,61.0,,,48.0,25.0,12.27,3.0,26.0,,,3.0,27.0,,
,,,,,,11.0,6.0,,4.33,75.0,,,,,Wand of Crystal,,,,Common,70.0,,,,,,,26.0,,,2.0,,,
,,,,9.0,,14.0,8.0,,5.64,55.0,7.0,58.0,,,Wand of Blinding Light,,,,Uncommon,,,,,,,,26.0,,,2.0,15.0,,
,,,,8.0,,14.0,8.0,,5.6,110.0,,58.0,,,Wand of Prismatic Focus,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,
,,,,,,14.0,8.0,,5.6,110.0,,58.0,,,Naaru-Blessed Life Rod,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,10.0
19.0,,,,,,50.0,37.0,,14.52,85.0,,,,,Expert's Longbow,,,,Uncommon,69.0,,,50.0,37.0,14.52,3.0,15.0,,,3.0,29.0,,
,,,,9.0,,13.0,7.0,,5.22,65.0,,55.0,,,Rod of Dire Shadows,,,,Rare,,,,,,,,26.0,,,2.0,14.0,,
,,,,,,13.0,7.0,,5.2,75.0,,52.0,,,Unearthed Enkaat Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,13.0,,7.0
17.0,,,,,,49.0,26.0,,12.56,85.0,,,,,PC-54 Shotgun,,,,Uncommon,61.0,,,49.0,26.0,12.56,3.0,26.0,,,3.0,25.0,,
,,,,,,12.0,7.0,,4.76,65.0,,49.0,,,Calming Spore Reed,,,,Rare,62.0,,,,,,,26.0,,,2.0,13.0,,8.0
,,,,17.0,,16.0,9.0,,6.44,65.0,,68.0,,,Touch of Unlife,,,,Rare,,,,,,,,26.0,,,2.0,17.0,,
,,,,,,16.0,9.0,,6.44,75.0,,68.0,,,Fair Touch of the Crusader,,,,Uncommon,,,,,,,,26.0,,,2.0,17.0,,11.0
31.0,,,,20.0,,61.0,32.0,,15.66,85.0,,,,,Bondsniper,,,,Uncommon,,,,61.0,32.0,15.66,3.0,26.0,,,3.0,,,
,,,,,,14.0,8.0,,5.64,110.0,,58.0,,,Vengeful Gladiator's Touch of Defeat,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,
,,,,,,14.0,8.0,,5.5600000000000005,75.0,,55.0,,,Vicious Wand,,,,Uncommon,69.0,,,,,,,26.0,,,2.0,14.0,,
,,,,9.0,,14.0,8.0,,5.54,110.0,7.0,55.0,,,Wand of the Forgotten Star,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
,,,,,,13.0,8.0,,5.27,75.0,,55.0,,,Illidari Rod of Discipline,,1.0,,Uncommon,,,,,,,,26.0,Prismatic socket,,2.0,14.0,,
18.0,,,,,,55.0,29.0,,14.08,85.0,,,,,Nesingwary Longrifle,,,,Uncommon,67.0,,,55.0,29.0,14.08,3.0,26.0,,,3.0,28.0,,
26.0,,,,11.0,,47.0,35.0,,13.68,85.0,,,,,Scorch Wood Bow,,,,Uncommon,,,,47.0,35.0,13.68,3.0,15.0,,,3.0,24.0,,
18.0,,,,,,53.0,28.0,,13.56,85.0,,,,,Zerid's Vintage Musket,,,,Uncommon,,,,53.0,28.0,13.56,3.0,26.0,,,3.0,39.0,,
,,,,11.0,,13.0,7.0,,5.15,90.0,,52.0,,,Nesingwary Safari Stick,,,,Rare,,,,,,,,26.0,,,2.0,13.0,,
,,,,,,13.0,7.0,,5.13,75.0,,52.0,,,Majestic Wand,,,,Uncommon,64.0,,,,,,,26.0,,,2.0,13.0,,
,,,,,,43.0,23.0,,11.06,85.0,,,,,Dalaran Rifle,,,,Common,70.0,,,43.0,23.0,11.06,3.0,26.0,,,3.0,,,
,,,,,,11.0,6.0,,4.38,75.0,,46.0,,,Dark Augur's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,12.0,,8.0
,,,,,,38.0,28.0,,11.06,85.0,,,,,Dalaran Bow,,,,Common,70.0,,,38.0,28.0,11.06,3.0,15.0,,,3.0,,,
,,,,,,11.0,6.0,,4.33,75.0,,,,,Wand of Jade,,,,Common,70.0,,,,,,,26.0,,,2.0,,,
29.0,,,,23.0,,56.0,37.0,,15.61,85.0,,,,,Warbling Crossbow,,,,Uncommon,,,,56.0,37.0,15.61,3.0,26.0,,,3.0,,,
,,,,,,14.0,8.0,,5.64,80.0,12.0,58.0,,,Vengeful Gladiator's Piercing Touch,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,
19.0,,,,,,57.0,30.0,,14.6,85.0,,,,,Tracker's Musket,,,,Uncommon,69.0,,,57.0,30.0,14.6,3.0,26.0,,,3.0,29.0,,
,,,,,,14.0,8.0,,5.54,75.0,,55.0,,,Darkened Wand,,,,Uncommon,68.0,,,,,,,26.0,,,2.0,14.0,,
,,,,,,14.0,8.0,,5.54,110.0,,55.0,,,Blue Diamond Witchwand,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,8.0
,,,,,,14.0,8.0,,5.54,65.0,,55.0,,,Cerulean Crystal Rod,,,,Rare,70.0,,,,,,,26.0,,,2.0,14.0,,
18.0,,,,,,54.0,28.0,,13.82,85.0,,,,,Sporting Rifle,,,,Uncommon,66.0,,,54.0,28.0,13.82,3.0,26.0,,,3.0,28.0,,
18.0,,,,,,49.0,32.0,,13.57,85.0,,,,,Battle Damaged Crossbow,,,,Uncommon,65.0,,,49.0,32.0,13.57,3.0,26.0,,,3.0,27.0,,
18.0,,,,,,48.0,31.0,,13.3,85.0,,,,,Mighty Crossbow,,,,Uncommon,64.0,,,48.0,31.0,13.3,3.0,26.0,,,3.0,27.0,,
,,,,,,12.0,7.0,,4.8100000000000005,75.0,,49.0,,,Magician's Wand,,,,Uncommon,62.0,,,,,,,26.0,,,2.0,13.0,,
17.0,,,,,,50.0,26.0,,12.81,85.0,,,,,Sawed-Off Shotgun,,,,Uncommon,62.0,,,50.0,26.0,12.81,3.0,26.0,,,3.0,25.0,,
,,,,,,12.0,7.0,,4.78,75.0,,49.0,,,Yew Wand,,,,Uncommon,61.0,,,,,,,26.0,,,2.0,13.0,,
,,,,,,12.0,7.0,,4.76,65.0,,49.0,,,Incendic Rod,,,,Rare,62.0,,,,,,,26.0,,,2.0,13.0,,8.0
,,,,,,40.0,26.0,,11.12,85.0,,,,,Dalaran Crossbow,,,,Common,70.0,,,40.0,26.0,11.12,3.0,26.0,,,3.0,,,
23.0,,,,22.0,,62.0,41.0,,17.22,85.0,,,,,Crossbow of the Storms,,,,Uncommon,,,,62.0,41.0,17.22,3.0,26.0,,,3.0,,,
,,,,12.0,,16.0,9.0,,6.44,75.0,,68.0,,,Touch of Light,,,,Uncommon,,,,,,,,26.0,,,2.0,17.0,,
,,,,,,15.0,8.0,,5.97,80.0,13.0,62.0,,,Brutal Gladiator's Piercing Touch,,,,Epic,70.0,,,,,,,26.0,,,2.0,16.0,,
,,,,,,15.0,8.0,,5.97,80.0,,62.0,,,Brutal Gladiator's Touch of Defeat,,,,Epic,70.0,,,,,,,26.0,,,2.0,16.0,,
13.0,,,,,,59.0,31.0,,15.12,85.0,33.0,,,,Mageslayer Rifle,,,,Uncommon,,,,59.0,31.0,15.12,3.0,26.0,,,3.0,,,
,,,,,,14.0,8.0,,5.64,55.0,,58.0,,,Twig of Happy Reminders,,,,Uncommon,,,,,,,,26.0,,,2.0,15.0,,6.0
,,,,,,14.0,8.0,,5.64,110.0,,58.0,,,Vengeful Gladiator's Baton of Light,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,
,,,,,,14.0,8.0,,5.6,110.0,8.0,58.0,,,Naaru-Blessed Life Rod,,,,Epic,70.0,,,,,,,26.0,,,2.0,15.0,,6.0
19.0,,,,13.0,,52.0,34.0,,14.49,65.0,32.0,,,,Compact Arrow Launcher,,,,Uncommon,,,,52.0,34.0,14.49,3.0,26.0,,,3.0,,,
,,,,10.0,,14.0,8.0,,5.54,65.0,,55.0,,,Nexus Torch,,,,Rare,70.0,,,,,,,26.0,,,2.0,14.0,,
,,,,,,14.0,8.0,,5.54,110.0,,55.0,,,Gladiator's Touch of Defeat,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
,,,,,,14.0,8.0,,5.54,110.0,,55.0,,,Merciless Gladiator's Touch of Defeat,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,
19.0,,,,,,52.0,34.0,,14.44,85.0,,,,,Well-Balanced Crossbow,,,,Uncommon,69.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,28.0,,
19.0,,,,,,52.0,34.0,,14.44,85.0,,,,,Rampant Crossbow,,,,Uncommon,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,28.0,,
18.0,,,,,,50.0,33.0,,13.94,85.0,,,,,Pocket Ballista,,,,Uncommon,67.0,,,50.0,33.0,13.94,3.0,26.0,,,3.0,28.0,,
,,,,9.0,,13.0,7.0,,5.22,90.0,,55.0,,,Nethekurse's Rod of Torment,,,,Rare,,,,,,,,26.0,,,2.0,14.0,,
,,,,,,13.0,7.0,,5.16,75.0,,52.0,,,Wand of the Ancestors,,,,Uncommon,,,,,,,,26.0,,,2.0,13.0,,
,,,,,,12.0,7.0,,4.84,55.0,,49.0,,,Arakkoa Divining Rod,,,,Uncommon,,,,,,,,26.0,,,2.0,13.0,,
17.0,,,,,,47.0,31.0,,13.04,85.0,,,,,Archer's Crossbow,,,,Uncommon,63.0,,,47.0,31.0,13.04,3.0,26.0,,,3.0,26.0,,
17.0,,,,,,44.0,32.0,,12.76,85.0,,,,,Razorsong Bow,,,,Uncommon,62.0,,,44.0,32.0,12.76,3.0,15.0,,,3.0,25.0,,
,,,,,,24.0,17.0,,6.94,85.0,,,,,Broken Longbow,,,,Poor,64.0,,,24.0,17.0,6.94,3.0,15.0,,,3.0,,,
237.0,,,,151.0,,616.0,455.0,,178.52,,60.0,,,,Serpent Spine Longbow,,,,Epic,70.0,,,616.0,455.0,178.52,3.0,15.0,,,3.0,356.0,,
30.0,,,,,,59.0,43.0,,17.15,85.0,20.0,,,,Bow of Regression,,,,Uncommon,,,,59.0,43.0,17.15,3.0,15.0,,,3.0,24.0,,
,,,,,,16.0,9.0,,6.44,75.0,,68.0,,,Olakin's Enchanted Torch,,,,Uncommon,,,,,,,,26.0,,,2.0,17.0,,
24.0,,,,11.0,,62.0,41.0,,17.22,85.0,,,,,Shooter's Glory,,1.0,,Uncommon,,,,62.0,41.0,17.22,3.0,26.0,Prismatic socket,,3.0,,,
,,,,,,16.0,9.0,,6.44,65.0,,68.0,,,Encrusted Zombie Finger,,,,Rare,,,,,,,,26.0,,,2.0,17.0,,17.0
,,,,,,16.0,9.0,,6.44,75.0,12.0,68.0,,,Frail Bone Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,17.0,,
29.0,,,,19.0,,52.0,38.0,,15.09,85.0,,,,,Longbow of the Ruby Rider,,,,Uncommon,,,,52.0,38.0,15.09,3.0,15.0,,,3.0,,,
19.0,,,,,,53.0,35.0,,14.77,85.0,,,,,Sinewed Crossbow,,,,Uncommon,70.0,,,53.0,35.0,14.77,3.0,26.0,,,3.0,29.0,,
19.0,,,,16.0,,52.0,34.0,,14.44,,,,,,Grand Marshal's Heavy Crossbow,,,,Rare,70.0,,,52.0,34.0,14.44,3.0,26.0,,,3.0,22.0,,16.0
,,,,,,14.0,8.0,,5.54,110.0,,55.0,,,Luminescent Rod of the Naaru,,,,Epic,70.0,,,,,,,26.0,,,2.0,14.0,,10.0
19.0,,,,,,56.0,30.0,,14.38,85.0,,,,,Bound Musket,,,,Uncommon,67.0,,,56.0,30.0,14.38,3.0,26.0,,,3.0,28.0,,
