agi,agiint,agistr,agistrint,arcres,armor,atkpwr,classes,cooldown,critstrkrtng,dodgertng,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
,,,,,8.0,,,,,9.0,,,,,,,Flowing Cloak of Command,,,,Rare,78.0,,16.0,,,,,20.0,13.0,,4.0
10.0,,,,,8.0,,,,9.0,,,,9.0,,,,Cloak of the Untamed Predator,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,15.0,,,
13.0,,,,,8.0,,,,,,,,,,,,Drape of Moorabi,,,,Rare,80.0,,16.0,,,,,20.0,,,10.0
,,,,,8.0,,,,7.0,,,,,12.0,,,Drape of the Sullen Goddess,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Subterranean Waterfall Shroud,,,,Rare,80.0,,16.0,,,,,20.0,,,16.0
,,,,,8.0,,,,,,,,6.0,10.0,,,Titan-Forged Cloak of Ascendancy,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,9.0,13.0,,,Deadly Gladiator's Cloak of Ascendancy,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,,,,,Mammoth Fur Cloak,,,,Uncommon,78.0,,16.0,,,,,19.0,13.0,,
,,,,,7.0,,,,,,,,,13.0,,,Cloak of the Moon,,,,Rare,74.0,,16.0,,,,,17.0,,,12.0
134.0,,,134.0,,73.0,,,,64.0,,,,54.0,134.0,,,Strength of the Nerub,,,,Epic,80.0,,16.0,,,,,200.0,134.0,,
,,,,,8.0,,,,10.0,,,,7.0,,,,Hyjal Savior's Drape,,,,Rare,,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,9.0,10.0,,,Abduction's Cover,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,6.0
,,,,,8.0,,,,9.0,,,,9.0,13.0,,,Shroud of Displacement,,,,Epic,80.0,,16.0,,,,,19.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Deadly Gladiator's Cloak of Triumph,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Shroud of Resurrection,,,,Rare,78.0,,16.0,,,,,20.0,,,13.0
,,,,,8.0,,,,,,,,9.0,13.0,,,Wrathful Gladiator's Cloak of Ascendancy,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
13.0,,,13.0,,8.0,,,,4.0,,,,,13.0,,,Cloak of the Iron Council,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,13.0
,,,,,8.0,,,,6.0,,,,8.0,,,,Strength of the Nerub,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,20.0,10.0,,
,,,,,8.0,,,,,,,,,13.0,,,Wrathful Gladiator's Cloak of Salvation,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
13.0,,,13.0,,8.0,,,,8.0,,,,9.0,13.0,,,Asimov's Drape,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,,13.0,,,Shroud of Moorabi,,,,Rare,80.0,,16.0,,,,,20.0,,,10.0
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Hateful Gladiator's Cloak of Victory,,,,Epic,80.0,,16.0,,,,,19.0,13.0,,9.0
,,,,,8.0,,,,6.0,,,,8.0,,,,Might of the Nerub,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,20.0,10.0,,
,,,,,8.0,,,,10.0,,,,7.0,13.0,,,Kurisu's Indecision,,,,Epic,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,9.0,,,,6.0,10.0,,,Drape of the Sunreavers,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Furious Gladiator's Cloak of Victory,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
,,,,,8.0,,,,7.0,13.0,,,,,,,Pride of the Demon Lord,,,,Epic,80.0,,16.0,,,,,20.0,10.0,,
13.0,,,,,7.0,,,,,,,,,,,,Dyed Taffeta Cape,,,,Uncommon,77.0,,16.0,,,,,19.0,,,
,,,,,7.0,,,,,10.0,,,,,,,Cloak of Tormented Skies,,,,Rare,75.0,,16.0,,,,,19.0,12.0,,24.0
,,,,,7.0,,,,,,,,11.0,12.0,,,Cloak of Frozen Spirits,,,,Rare,75.0,,16.0,,,,,17.0,,,
12.0,,12.0,,,7.0,,,,12.0,,,,,,,,Venture Bay Buccaneer's Cape,,,,Rare,74.0,,16.0,,,,,13.0,12.0,,
15.0,,,,,9.0,,,,,,,,8.0,,,11.0,Stormstout Drink Napkin,,,,Rare,1.0,,16.0,,,,,22.0,,,
,,,,,8.0,,,,,,,,10.0,14.0,,,Wikket Wrap,,,,Uncommon,,,16.0,,,,,21.0,,,9.0
13.0,,,,,8.0,,,,,,,,8.0,,,9.0,Drape of the Helmsman,,,,Rare,,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,6.0,10.0,,,Lady Liadrin's Conviction,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Deadly Gladiator's Cloak of Salvation,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
,,,,,8.0,,,,,,,,6.0,10.0,,,Shawl of the Devout Crusader,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,9.0,13.0,,,Relentless Gladiator's Cloak of Ascendancy,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
13.0,,,13.0,,8.0,,,,,,,,4.0,13.0,,,Drape of the Faceless General,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,14.0
,,,,,8.0,,,,,,,,9.0,14.0,,,Shawl of the Caretaker,,,,Epic,80.0,,16.0,,,,,19.0,,,7.0
,,,,,8.0,,,,,,,,6.0,10.0,,,Drape of the Refreshing Winds,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,10.0,,,,,,,Cloak of Many Skins,,1.0,7.0,Epic,80.0,,16.0,Prismatic socket,,,,15.0,10.0,,
,,,,,8.0,,,,,,,,,13.0,,,Wrathful Gladiator's Cloak of Deliverance,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
10.0,,,,,8.0,,,,5.0,,,,9.0,,,,Shawl of Nerubian Silk,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
13.0,,,,,8.0,,Hunter,,9.0,,,,9.0,,,,Beastsoul Cloak of Rage,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,10.0,,,,7.0,,,,Drape of the Undefeated,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,6.0,,,,9.0,10.0,,,Shroud of Displacement,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
13.0,,,13.0,,8.0,,,,5.0,,,,13.0,13.0,,,Titanskin Cloak,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,,,8.0,,,,10.0,,,,6.0,,,,Winter's Frigid Embrace,,,,Epic,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Cloak of the Frigid Winds,,,,Epic,80.0,,16.0,,,,,20.0,,,9.0
,,,,,8.0,,,,8.0,13.0,,,,,,,Cloak of the Enemy,,,,Rare,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,6.0,,,,,10.0,,,Maiden's Adoration,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,9.0,,,,6.0,10.0,,,Zaetar's Deathshroud,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
,,,,,7.0,,,,,,,,,,,,Brawler's Cape,,,,Uncommon,75.0,,16.0,,,,,18.0,12.0,,
12.0,,,,,7.0,,,,,,,,,,,,Caribou Skin Cloak,,,,Uncommon,74.0,,16.0,,,,,18.0,,,
12.0,,,,,7.0,,,,,,,,,,,,Reversible Wool Cape,,,,Uncommon,72.0,,16.0,,,,,17.0,,,
,,,,,7.0,,,,,,,,,11.0,,,Lace-Trimmed Cloak,,,,Uncommon,71.0,,16.0,,,,,17.0,,,
,,,,,5.0,,,,,,,,,,,,Gnomeregan Drape,,,,Common,75.0,,16.0,,,,,,,,
134.0,,,134.0,,73.0,,,,59.0,,,,,134.0,,,Maiden's Adoration,,,,Epic,80.0,,16.0,,,,,200.0,134.0,,59.0
,,,,,8.0,,,,10.0,,,,9.0,14.0,,,Nectarbreeze Cloak,,,,Uncommon,,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,9.0,,,9.0,Eagle Ray Cloak,,,,Rare,78.0,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,,,,,9.0,13.0,,9.0,Ancient Beth'moran Cloak,,,,Rare,,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,,13.0,,,Mirkfallon Cloak,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,7.0,10.0,,,,,,,Pride of the Eredar,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,15.0,10.0,,
13.0,,,13.0,,8.0,,,,10.0,,,,8.0,13.0,,,Stylish Power Cape,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,9.0,,,,,13.0,,,Wrathful Gladiator's Cloak of Dominance,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,Priest,,,,,,,13.0,,9.0,Seraphic Cloak of Wisdom,,,,Uncommon,80.0,,16.0,,,,,20.0,,,9.0
,,,,,8.0,,,,,,,,9.0,13.0,,,Hateful Gladiator's Cloak of Ascendancy,,,,Epic,80.0,,16.0,,,,,18.0,,,9.0
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Deadly Gladiator's Cloak of Victory,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
,,,,,8.0,,,,9.0,,,,8.0,,,,Strength of the Nerub,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,9.0,,,,7.0,13.0,,,Drape of the Spellweaver,,,,Epic,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,9.0,,,,,13.0,,,Cloak of the Dying,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,9.0,,,,,13.0,,,Furious Gladiator's Cloak of Dominance,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,6.0,,,,,13.0,,,Cloak of the Dormant Blaze,,,,Epic,80.0,,16.0,,,,,19.0,,,11.0
,,,,,8.0,,,,,,,,6.0,10.0,,,Shawl of Fervent Crusader,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Hateful Gladiator's Cloak of Triumph,,,,Epic,80.0,,16.0,,,,,19.0,13.0,,9.0
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Relentless Gladiator's Cloak of Victory,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
13.0,,,,,8.0,,,,13.0,,,,,,,,Embrace of Sorrow,,,,Rare,77.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,,13.0,,,Furious Gladiator's Cloak of Deliverance,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
13.0,,,13.0,,8.0,,,,,,,,13.0,13.0,,,Shawl of Haunted Memories,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,5.0
,,,,,8.0,,,,,,,,6.0,10.0,,,Shawl of the Refreshing Winds,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Furious Gladiator's Cloak of Triumph,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
13.0,,,13.0,,8.0,,,,6.0,,,,,13.0,,,Shawl of the Shattered Giant,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,11.0
,,,,,8.0,,,,9.0,,,,,13.0,,,Shroud of Akali,,,,Rare,76.0,,16.0,,,,,20.0,,,
,,,,,8.0,,Paladin,,,9.0,,,,,,9.0,Zealous Cloak of Stoicism,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,13.0,,8.0,,,,11.0,,,,,13.0,,,Drape of Mortal Downfall,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,7.0
,,,,,8.0,,,,,,,,,,,,Regal Cloak,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
,,,,,7.0,,,,13.0,,,,,11.0,,,Oil-Stained Tarp,,,,Rare,74.0,,16.0,,,,,15.0,,,
134.0,,,134.0,,73.0,,,,64.0,,,,54.0,134.0,,,Might of the Nerub,,,,Epic,80.0,,16.0,,,,,200.0,134.0,,
,,,,,8.0,,,,9.0,,,,,14.0,,10.0,Wikket Cloak,,,,Uncommon,,,16.0,,,,,21.0,,,
,,,,,8.0,,,,7.0,,,,,14.0,,11.0,Veridian Cloak,,,,Uncommon,,,16.0,,,,,21.0,,,
13.0,,,,,8.0,,,,,,,,,,,,Swamplight Cloak,,,,Uncommon,78.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,,,,,Sishir Cloak,,,,Uncommon,79.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,9.0,,,,6.0,10.0,,,Aethas' Intensity,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
13.0,,,,,8.0,,,,9.0,,,,8.0,,,,Stolen Idra'kess Drape,,,,Uncommon,,,16.0,,,,,20.0,,,
13.0,,,,,8.0,,,,8.0,,,,9.0,,,,Drape of Smoldering Dreams,,,,Uncommon,,,16.0,,,,,20.0,,,
13.0,,,,,8.0,,,,9.0,,,,6.0,,,,Cloak of Mocking Winds,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,15.0,,,
,,,,,8.0,,Druid,,,,,,9.0,13.0,,9.0,Wildsoul Cloak of Destruction,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,10.0,,,,,,,Cloak of Many Skins,,1.0,7.0,Epic,80.0,,16.0,Prismatic socket,,,,15.0,10.0,,
,,,,,8.0,,,,9.0,,,,,13.0,,,Relentless Gladiator's Cloak of Dominance,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,9.0,,,,,13.0,,,Hateful Gladiator's Cloak of Dominance,,,,Epic,80.0,,16.0,,,,,18.0,,,9.0
,,,,,8.0,,Warrior,,,9.0,,,,,,9.0,Valiant Cloak of Stoicism,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,,,8.0,,Monk,,9.0,,,,9.0,,,,Monastic Cloak of Rage,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,9.0,,,,8.0,,,,Might of the Nerub,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,13.0,,8.0,,,,,,,,5.0,13.0,,,Saronite Animus Cloak,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,13.0
,,,,,8.0,,Warrior,,9.0,,,,,,,9.0,Valiant Cloak of Battle,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Wrathful Gladiator's Cloak of Subjugation,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,10.0,,,,7.0,13.0,,,Shroud of the Citadel,,,,Epic,80.0,,16.0,,,,,19.0,,,
,,,,,8.0,,Priest,,,,,,9.0,13.0,,9.0,Seraphic Cloak of Destruction,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,9.0,,,,6.0,10.0,,,Drape of Bitter Incantation,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,
,,,,,8.0,,Mage,,,,,,9.0,13.0,,9.0,Magesoul Cloak of Destruction,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Drape of Icy Intent,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Hateful Gladiator's Cloak of Deliverance,,,,Epic,80.0,,16.0,,,,,18.0,,,18.0
,,,,,8.0,,Shaman,,,,,,9.0,13.0,,9.0,Stormbinder Cloak of Destruction,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,7.0,10.0,,,,,,,Pride of the Demon Lord,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,15.0,10.0,,
,,,,,8.0,,,,9.0,,,,9.0,,,,The Frost Lord's Battle Shroud,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Furious Gladiator's Cloak of Ascendancy,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,9.0,,,,9.0,13.0,,,Shroud of Winter's Chill,,,,Epic,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,Death knight,,9.0,,,,,,,9.0,Ebonsoul Cloak of Battle,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,,13.0,,,Furious Gladiator's Cloak of Salvation,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
,,,,,8.0,,,,6.0,,,,,10.0,,,Maiden's Favor,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,9.0,10.0,,,Abduction's Cover,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,19.0,,,6.0
,,,,,8.0,,,,,7.0,,,,,,,Cloak of the Unmoving Guardian,,1.0,7.0,Epic,80.0,,16.0,Prismatic socket,,,,15.0,13.0,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Deadly Gladiator's Cloak of Subjugation,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Vintage Satin Cloak,,,,Uncommon,79.0,,16.0,,,,,20.0,,,
13.0,,,13.0,,8.0,,,,7.0,,,,,13.0,,,Winter's Frigid Embrace,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,11.0
12.0,,,,,7.0,,,,,,,,12.0,9.0,,,Cloak of the Agile Mind,,,,Rare,77.0,,16.0,,,,,11.0,,,
,,,,,7.0,,,,,,,,,12.0,,,Fleece Cloak,,,,Uncommon,76.0,,16.0,,,,,18.0,,,
6.0,,,,,7.0,,,,9.0,,,,,,,,Cloak of Harsh Winds,,,,Rare,73.0,,16.0,,,,,20.0,,,
14.0,,,,,8.0,,,,10.0,,,,9.0,,,,Wikket Cape,,,,Uncommon,,,16.0,,,,,21.0,,,
14.0,,,,,8.0,,,,,,,,9.0,,,10.0,Mann's Cloak,,,,Uncommon,,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,,,,9.0,Honey-Bear's Cape,,,,Uncommon,,,16.0,,,,,21.0,14.0,,10.0
,,,,,8.0,,,,,,,,,14.0,,8.0,Beauty's Cootie-Ridden Blankie,,,,Rare,,,16.0,,,,,21.0,,,10.0
,,,,,8.0,,,,,,,,9.0,13.0,,9.0,Ancient Beth'moran Cloak,,,,Rare,,,16.0,,,,,20.0,,,
,,,,,8.0,,,,8.0,,,,,,,9.0,Improvisational Historian's Cloak,,,,Uncommon,,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,8.0,,,,,,,9.0,Improvisational Historian's Cloak,,,,Uncommon,,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,8.0,9.0,,,,,,,Flameward Cloak,,,,Uncommon,,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,Monk,,,,,,,13.0,,9.0,Monastic Cloak of Wisdom,,,,Uncommon,80.0,,16.0,,,,,20.0,,,9.0
,,,,,8.0,,Paladin,,,,,,,13.0,,9.0,Zealous Cloak of Wisdom,,,,Uncommon,80.0,,16.0,,,,,20.0,,,9.0
13.0,,,13.0,,8.0,,,,6.0,,,,12.0,13.0,,,Shawl of the Caretaker,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,,,,,,13.0,,,Deadly Gladiator's Cloak of Deliverance,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
13.0,,,,,8.0,,Rogue,,9.0,,,,9.0,,,,Shadowstalking Cloak of Rage,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Hateful Gladiator's Cloak of Subjugation,,,,Epic,80.0,,16.0,,,,,18.0,,,9.0
13.0,,,13.0,,8.0,,,,6.0,,,,11.0,13.0,,,Cloak of the Makers,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,,,8.0,,Shaman,,9.0,,,,9.0,,,,Stormbinder Cloak of Rage,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,,13.0,,,Relentless Gladiator's Cloak of Salvation,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
,,,,,8.0,,,,,,,,,13.0,,,Hateful Gladiator's Cloak of Salvation,,,,Epic,80.0,,16.0,,,,,18.0,,,18.0
,,,,,8.0,,,,,10.0,,,,,,,Icebound Cloak,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,3.0
,,,,,8.0,,Shaman,,,,,,,13.0,,9.0,Stormbinder Cloak of Wisdom,,,,Uncommon,80.0,,16.0,,,,,20.0,,,9.0
,,,,,8.0,,,,,,,,,13.0,,,Relentless Gladiator's Cloak of Deliverance,,,,Epic,80.0,,16.0,,,,,19.0,,,18.0
13.0,,,,,8.0,,,,10.0,,,,7.0,,,,The Frost Lord's War Cloak,,,,Epic,80.0,,16.0,,,,,20.0,,,
,,,,,8.0,,,,,,,,9.0,13.0,,,Furious Gladiator's Cloak of Subjugation,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,Warlock,,,,,,9.0,13.0,,9.0,Dreadsoul Cloak of Destruction,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,9.0,13.0,,,Drape of the Sullen Goddess,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,9.0,,,,6.0,,,,Cloak of the Victorious Combatant,,1.0,,Epic,80.0,,16.0,Prismatic socket,,,,20.0,10.0,,
,,,,,8.0,,,,9.0,,,,,13.0,,,Deadly Gladiator's Cloak of Dominance,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
,,,,,8.0,,Death knight,,,9.0,,,,,,9.0,Ebonsoul Cloak of Stoicism,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
13.0,,,13.0,,8.0,,,,,,,,6.0,13.0,,,Drape of the Drakerider,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,11.0
13.0,,,,,8.0,,Druid,,9.0,,,,9.0,,,,Wildsoul Cloak of Rage,,,,Uncommon,80.0,,16.0,,,,,20.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Drape of the Lithe,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,9.0
,,,,,8.0,,Druid,,,,,,,13.0,,9.0,Wildsoul Cloak of Wisdom,,,,Uncommon,80.0,,16.0,,,,,20.0,,,9.0
,,,,,8.0,,,,10.0,,,,9.0,,,,Wikket Surcoat,,,,Uncommon,,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,10.0,,,,,,,,Wikket Drape,,,,Uncommon,,,16.0,,,,,21.0,14.0,,9.0
,,,,,8.0,,,,9.0,,,,,,,9.0,Cloudfall Cloak,,,,Uncommon,,,16.0,,,,,21.0,14.0,,
13.0,,,,,8.0,,,,,,,,8.0,,,9.0,Drape of the Helmsman,,,,Rare,,,16.0,,,,,20.0,,,
13.0,,,13.0,,8.0,,,,9.0,,,,,13.0,,,Drape of Fuming Anger,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,8.0
,,,,,8.0,,,,,,,,9.0,13.0,,,Relentless Gladiator's Cloak of Subjugation,,,,Epic,80.0,,16.0,,,,,19.0,,,9.0
13.0,,,13.0,,8.0,,,,10.0,,,,8.0,13.0,,,Drape of the Spellweaver,,,,Epic,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,Paladin,,9.0,,,,,,,9.0,Zealous Cloak of Battle,,,,Uncommon,80.0,,16.0,,,,,20.0,13.0,,
,,,,,8.0,,,,7.0,13.0,,,,,,,Pride of the Eredar,,,,Epic,80.0,,16.0,,,,,20.0,10.0,,
,,,,,11.0,,,,9.0,,,,9.0,15.0,,9.0,"Xing-Ho, Breath of Yu'lon",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,,,
14.0,,,,,8.0,,,,9.0,,,,9.0,,,,Inherited Cape of the Black Baron,,,,Heirloom,,,16.0,,,,,21.0,,,
,,,,,11.0,,,,,,,,9.0,15.0,,9.0,"Jina-Kang, Kindness of Chi-Ji",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,,,9.0
15.0,,,,,11.0,,,,9.0,,,,9.0,,,9.0,"Fen-Yu, Fury of Xuen",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,,,
,,,,,11.0,,,,9.0,,,,9.0,,,9.0,"Gong-Lu, Strength of Xuen",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,15.0,,
,,,,,8.0,,,,9.0,,,,9.0,14.0,,,Ancient Bloodmoon Cloak,,,,Heirloom,,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,9.0,,,,,,9.0,Twilight Dragonscale Cloak,,1.0,,Rare,85.0,,16.0,Prismatic socket,,,,21.0,8.0,,
,,,,,11.0,,,,,,,,9.0,,,9.0,"Qian-Ying, Fortitude of Niuzao",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,15.0,,9.0
15.0,,,,,11.0,,,,,,,,9.0,,,9.0,"Qian-Le, Courage of Niuzao",,1.0,,Legendary,90.0,,16.0,Prismatic socket,,,,28.0,,,9.0
,,,,,8.0,,,,9.0,,,,9.0,,,,Mantle of Fury,,,,Epic,1.0,,16.0,,,,,21.0,14.0,,
,,,,,5.0,,,0.5,,,,,,,,,Heavy Frostwolf Shroud,,,,Uncommon,90.0,,16.0,,,,,,,,
,,,,,11.0,,,,,,,,9.0,15.0,,9.0,Cranewing Cloak,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,28.0,,,9.0
,,,,,8.0,,,,,,,,10.0,,,9.0,Hex Lord's Bloody Cloak,,,,Epic,85.0,,16.0,,,,,21.0,14.0,,
14.0,,,,,8.0,,,,10.0,,,,8.0,,,,Cloak of the Banshee Queen,,,,Epic,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,,,,,Permafrost Cape,,,,Epic,85.0,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,9.0,,,,9.0,,,,Worn Stoneskin Gargoyle Cape,,,,Heirloom,,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,,,,,6.0,11.0,,,Woundlicker Cover,,1.0,,Epic,85.0,,16.0,Prismatic socket,,,,21.0,,,8.0
,,,,,10.0,,,,9.0,,,,,16.0,,,Drape of Booming Nights,,,,Epic,90.0,,16.0,,,,,24.0,,,12.0
12.0,,,,,8.0,,,,,,,,7.0,,,2.0,Dreadfire Drape,,2.0,,Epic,85.0,,16.0,Prismatic socket,Prismatic socket,,,21.0,,,
