agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,21.0,,,,4.0,50.0,,,,,,,Ironvine Belt,11.0,,,Rare,,60.0,6.0,,,,,17.0,,,
,,,21.0,,,11.0,,50.0,,,,14.0,,,Highlander's Plate Girdle,,,,Rare,,58.0,6.0,,,,,17.0,14.0,14.0,
,,,6.0,,,12.0,,50.0,,,,12.0,,,Dustfeather Sash,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,21.0,,,15.0,,50.0,,,,11.0,,,Belt of Valor,,,,Rare,,53.0,6.0,,,,,17.0,11.0,11.0,
11.0,11.0,,14.0,,,8.0,,50.0,,,6.0,11.0,,,Cord of Elements,,,,Rare,,53.0,6.0,,,,,17.0,,,
,,,21.0,,,,,50.0,,,,,,,Replica Lightforge Belt,,,,Rare,,53.0,6.0,,,,,,,,
,,,6.0,,,,,50.0,,,,11.0,,,Dreadmist Belt,,,,Rare,,53.0,6.0,,,,,17.0,,,8.0
,,,21.0,,,8.0,,50.0,,,5.0,11.0,,,Lightforge Belt,,,,Rare,,53.0,6.0,,,,,17.0,11.0,11.0,
,,,22.0,,,,,40.0,,,,12.0,,,Darkcrest Belt,,,,Uncommon,,59.0,6.0,,,,,18.0,12.0,12.0,
16.0,16.0,,10.0,,,,,55.0,7.0,,,16.0,,,Molten Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,
12.0,12.0,,10.0,,,,,50.0,,,10.0,12.0,,,Cloudrunner Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,6.0
7.0,7.0,,10.0,,,8.0,,,,,,7.0,,,Flayed Doomguard Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,
6.0,6.0,,14.0,,,,,55.0,17.0,,,6.0,,,Fiery Chain Girdle,,,,Epic,,54.0,6.0,,,,,17.0,,,6.0
,,,21.0,,,6.0,,50.0,,4.0,,12.0,,,Frostwolf Plate Belt,,,,Rare,,55.0,6.0,,,,,17.0,12.0,12.0,
,,,21.0,,,11.0,,50.0,,,,14.0,,,Defiler's Plate Girdle,,,,Rare,,58.0,6.0,,,,,17.0,14.0,14.0,
,,,21.0,,,,,40.0,,,,15.0,,,Imbued Plate Girdle,,,,Uncommon,,52.0,6.0,,,,,17.0,15.0,15.0,
11.0,11.0,,10.0,,,,,50.0,,,,11.0,,,Wildheart Belt,,,,Rare,,53.0,6.0,,,,,17.0,,,8.0
11.0,11.0,,14.0,,,9.0,,50.0,,,6.0,11.0,,,Sash of the Grand Hunt,,,,Rare,,51.0,6.0,,,,,17.0,,,
,,,22.0,Paladin,,9.0,,55.0,,,9.0,9.0,,,Belt of the Grand Crusader,,,,Epic,,60.0,6.0,,,,,18.0,9.0,9.0,
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Bonechewer Pelt-Girdle,,,,Uncommon,,57.0,6.0,,,,,17.0,,,
6.0,6.0,,10.0,Druid,,,,55.0,,,,6.0,,,Stormrage Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,8.0
,,,21.0,Warrior,,,,55.0,,,,11.0,,,Waistband of Wrath,,,10.0,Epic,,60.0,6.0,,,,,17.0,11.0,11.0,
,,,21.0,,,,,50.0,,,,19.0,,,Heavy Obsidian Belt,,,,Rare,,60.0,6.0,,,,,,19.0,19.0,
,,,21.0,,,7.0,,50.0,,,,8.0,,,Girdle of Uther,,,,Rare,,52.0,6.0,,,,,17.0,8.0,8.0,8.0
,,,6.0,,,,,40.0,,,,11.0,,,Elegant Belt,,,,Uncommon,,53.0,6.0,,,,,17.0,,,
11.0,11.0,,14.0,,,11.0,,50.0,,,,11.0,,,Verek's Leash,,,,Rare,,51.0,6.0,,,,,17.0,,,
15.0,15.0,,12.0,,,,,40.0,,,21.0,15.0,,,Marshwalker Waistguard,,,,Uncommon,,,6.0,,,,,22.0,,,
15.0,15.0,,18.0,,,15.0,,40.0,,,,15.0,,,Plainhunter's Waistband,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,6.0,,,7.0,,55.0,,,,17.0,,,Eyestalk Waist Cord,,,,Epic,,60.0,6.0,,,,,18.0,,,
12.0,12.0,,15.0,,,,,40.0,,,,12.0,,,Netherstalker Belt,,,,Uncommon,,59.0,6.0,,,,,18.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Starfire Sash,,,,Uncommon,,59.0,6.0,,,,,18.0,,,
,,,22.0,,,,,40.0,,,,12.0,,,Grimscale Belt,,,,Uncommon,,57.0,6.0,,,,,17.0,12.0,12.0,
9.0,9.0,,10.0,,,,,50.0,,4.0,,9.0,,,Frostwolf Leather Belt,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,6.0,"Priest,Mage,Warlock",,,,50.0,,,,9.0,,,Ironweave Belt,,,,Rare,,55.0,6.0,,,,,17.0,,,3.0
,,,14.0,,,,,50.0,,,,,,,Replica Beastmaster's Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,14.0,,,,,40.0,,,,,,,Hero's Belt,,,,Uncommon,,54.0,6.0,,,,,17.0,,,15.0
,,,21.0,,,,,40.0,,,,12.0,,,Commander's Girdle,,,,Uncommon,,54.0,6.0,,,,,17.0,12.0,12.0,
,,,6.0,,,,,50.0,,,,,,,Replica Devout Belt,,,,Rare,,53.0,6.0,,,,,,,,
,,,23.0,,,12.0,,40.0,,,,12.0,,,Vindicator's Cinch,,,,Uncommon,,,6.0,,,,,18.0,12.0,12.0,
13.0,13.0,,15.0,,,7.0,,55.0,,,6.0,13.0,,,Therazane's Link,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Abyssal Cloth Sash,,,,Uncommon,,60.0,6.0,,,,,17.0,,,
,,,6.0,,,,,50.0,,,,19.0,,,Belt of Untapped Power,,,,Rare,,60.0,6.0,,,,,17.0,,,
9.0,9.0,,10.0,,,,,50.0,,4.0,,9.0,,,Stormpike Leather Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,21.0,Paladin,,11.0,,50.0,,,,12.0,,,Highlander's Lamellar Girdle,,,,Rare,,58.0,6.0,,,,,17.0,12.0,12.0,
10.0,10.0,,14.0,,,10.0,,50.0,,4.0,,10.0,,,Frostwolf Mail Belt,,,,Rare,,55.0,6.0,,,,,17.0,,,
16.0,16.0,,10.0,,,,,55.0,7.0,,,16.0,,,Corehound Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,10.0,,,,,50.0,,,,,,,Replica Wildheart Belt,,,,Rare,,53.0,6.0,,,,,,,,
11.0,11.0,,10.0,,,,,40.0,,,,11.0,,,Nightshade Girdle,,,,Uncommon,,53.0,6.0,,,,,17.0,,,
11.0,11.0,,14.0,,,,,40.0,,,,11.0,,,Engraved Girdle,,,,Uncommon,,52.0,6.0,,,,,17.0,,,
,,,6.0,,,,,40.0,,,,11.0,,,Celestial Belt,,,,Uncommon,,51.0,6.0,,,,,17.0,,,
16.0,16.0,,9.0,,,11.0,,40.0,,,,16.0,,,Runic Leather Belt,,,,Uncommon,,51.0,6.0,,,,,,,,
,,,27.0,,,15.0,,40.0,,,,15.0,,,Lost Crusader Waistguard,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
15.0,15.0,,12.0,,,,,40.0,,,,15.0,,,Rejuvenating Cord,,,,Uncommon,,,6.0,,,,,22.0,,,21.0
13.0,13.0,,11.0,Monk,,7.0,,50.0,,,9.0,13.0,,,Red Belt of Unspoken Warning,,,,Rare,,,6.0,,,,,19.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Laughing Skull Waistguard,,,,Uncommon,,60.0,6.0,,,,,18.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Foreman's Sash,,,,Uncommon,,,6.0,,,,,18.0,,,8.0
13.0,13.0,,10.0,,,,,55.0,,,,13.0,,,Regenerating Belt of Vek'nilash,,,,Epic,,60.0,6.0,,,,,17.0,,,7.0
,,,6.0,Mage,,,,50.0,,,,,,,Replica Blood Guard's Silk Cinch,,,,Rare,,60.0,6.0,,,,,,,,
19.0,19.0,,10.0,,,,,50.0,,,,19.0,,,Girdle of Insight,,,,Rare,,57.0,6.0,,,,,17.0,,,
14.0,14.0,,10.0,,,11.0,,50.0,,,,14.0,,,Highlander's Leather Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,20.0
,,,6.0,,,,,50.0,,4.0,,13.0,,,Frostwolf Cloth Belt,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,10.0,,,,,50.0,,,,,,,Replica Darkmantle Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,6.0,,,7.0,,55.0,,,9.0,11.0,,,Angelista's Grasp,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,21.0,Warrior,,,,50.0,,,,,,,Replica Knight-Lieutenant's Plate Waistguard,,,,Rare,,60.0,6.0,,,,,,,,
10.0,10.0,,14.0,,,10.0,,50.0,,4.0,,10.0,,,Stormpike Mail Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,6.0,,,,,50.0,,,,,,,Replica Sorcerer's Belt,,,,Rare,,60.0,6.0,,,,,,,,
13.0,13.0,,14.0,,,8.0,,55.0,,,,13.0,,,Primalist's Linked Waistguard,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,21.0,,,,,40.0,,,,12.0,,,Abyssal Plate Girdle,,,,Uncommon,,60.0,6.0,,,,,17.0,12.0,12.0,
,,,6.0,,,,,50.0,,,,,,,Replica Virtuous Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,6.0,Mage,,,,50.0,,,,,,,Replica Knight-Lieutenant's Silk Cinch,,,,Rare,,60.0,6.0,,,,,,,,
12.0,12.0,,14.0,,,11.0,,50.0,,,,12.0,,,Light Obsidian Belt,,,,Rare,,60.0,6.0,,,,,,,,
15.0,15.0,,14.0,,,10.0,,50.0,,,,15.0,,,Chiselbrand Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,6.0,Warlock,,,,50.0,,,,,,,Replica Blood Guard's Dreadweave Wrap,,,,Rare,,60.0,6.0,,,,,,,,
,,,6.0,,,,,50.0,,,,11.0,,,Devout Belt,,,,Rare,,53.0,6.0,,,,,17.0,,,8.0
,,,6.0,,,,,50.0,,,,18.0,,,Wisdom of the Timbermaw,,,,Rare,,53.0,6.0,,,,,,,,8.0
11.0,11.0,,10.0,,,,,40.0,,,,11.0,,,Grand Belt,,,,Uncommon,,52.0,6.0,,,,,17.0,,,
,,,7.0,,,15.0,,40.0,,,,15.0,,,Flame Hardened Waistband,,,,Uncommon,,,6.0,,,,,22.0,,,
15.0,15.0,,18.0,,,21.0,,40.0,,,,15.0,,,Interlinked Chain Girdle,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,7.0,,,,,40.0,,,21.0,15.0,,,Sweltering Belt,,,,Uncommon,,,6.0,,,,,22.0,,,
12.0,12.0,,10.0,,,12.0,,40.0,,,,12.0,,,Pilgrim's Belt,,,,Uncommon,,,6.0,,,,,18.0,,,
12.0,12.0,,15.0,,,,,40.0,,,,12.0,,,Nexus-Strider Belt,,,,Uncommon,,60.0,6.0,,,,,18.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Outlander's Girdle,,,,Uncommon,,57.0,6.0,,,,,17.0,,,
,,,21.0,,,12.0,,50.0,,,,12.0,,,Brigam Girdle,,,,Rare,,55.0,6.0,,,,,17.0,12.0,12.0,
,,,21.0,,,5.0,,55.0,,,,11.0,,,Girdle of the Fallen Crusader,,,,Epic,,60.0,6.0,,,,,17.0,11.0,11.0,7.0
,,,6.0,,,,,55.0,,,,16.0,,,Firemaw's Clutch,,,,Epic,,60.0,6.0,,,,,17.0,,,6.0
,,,6.0,,,,,50.0,,,,,,,Replica Deathmist Belt,,,,Rare,,60.0,6.0,,,,,,,,
12.0,12.0,,10.0,,,12.0,,50.0,,,,12.0,,,Crystallized Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
12.0,12.0,,14.0,,,12.0,,50.0,,,,12.0,,,Feralsurge Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
19.0,19.0,,10.0,,,,,40.0,,,,19.0,,,Indomitable Belt,,,,Uncommon,,55.0,6.0,,,,,17.0,,,
,,,6.0,,,,,50.0,,,,11.0,,,Magister's Belt,,,,Rare,,53.0,6.0,,,,,17.0,,,5.0
11.0,11.0,,14.0,,,,,40.0,,,,11.0,,,Impenetrable Belt,,,,Uncommon,,51.0,6.0,,,,,17.0,,,
15.0,15.0,,18.0,,,,,40.0,,,,15.0,,,Inescapable Girdle,,,,Uncommon,,,6.0,,,,,22.0,,,21.0
,,,27.0,,,21.0,,40.0,,,8.0,15.0,,,Gold-Plated Coldsteel Girdle,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
,,,7.0,,,,,40.0,,,,15.0,,,Embossed Ermine Girdle,,,,Uncommon,,,6.0,,,,,22.0,,,21.0
15.0,15.0,,18.0,,,,,40.0,,,,15.0,,,Cauterizing Chain Strand,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,7.0,,,,,40.0,,,,15.0,,,Gholamcloth Wrap,,2.0,,Uncommon,,,6.0,Prismatic socket,Prismatic socket,,,22.0,,,10.0
13.0,13.0,,11.0,,,,,40.0,,,,13.0,,,Feralfen Skulker's Belt,,,,Uncommon,,,6.0,,,,,20.0,,,
13.0,13.0,,11.0,,,11.0,,40.0,,,,13.0,,,Belt of the Moonkin,,,,Uncommon,,,6.0,,,,,19.0,,,11.0
,,,6.0,,,,,40.0,,,,13.0,,,Wastewalker's Sash,,,,Uncommon,,,6.0,,,,,19.0,,,8.0
,,,6.0,,,,,40.0,,,,13.0,,,Fine Sash,,,,Uncommon,,,6.0,,,,,19.0,,,8.0
13.0,13.0,,15.0,,,,,,,,,13.0,,,Girdle of Elemental Fury,,,,Epic,,60.0,6.0,,,,,18.0,,,6.0
12.0,12.0,,15.0,,,,,40.0,,,,12.0,,,Unyielding Waistband,,,,Uncommon,,57.0,6.0,,,,,17.0,,,
13.0,13.0,,10.0,,,,9.0,50.0,,,,13.0,,,Shadow Panther Hide Belt,,,,Rare,,60.0,6.0,,,,,17.0,,,
,,,6.0,,,,,40.0,,,,12.0,,,Master's Belt,,,,Uncommon,,57.0,6.0,,,,,17.0,,,
,,,6.0,,,,,50.0,,,,,,,Runed Stygian Belt,,,,Rare,,58.0,6.0,,,,,17.0,,,7.0
14.0,14.0,,14.0,"Hunter,Shaman",,11.0,,50.0,,,,14.0,,,Defiler's Chain Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
,,,6.0,Mage,,,,55.0,,,,11.0,,,Netherwind Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,7.0
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Abyssal Leather Belt,,,,Uncommon,,60.0,6.0,,,,,17.0,,,
,,,10.0,,,,,50.0,,,,,,,Bramblewood Belt,11.0,,,Rare,,60.0,6.0,,,,,17.0,,,
14.0,14.0,,14.0,,,8.0,,55.0,,,6.0,14.0,,,Ossirian's Binding,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,6.0,,,,,,,,,12.0,,,Waistband of Balzaphon,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,6.0,,,,,40.0,,,,7.0,,,Elunarian Belt,,,,Uncommon,,55.0,6.0,,,,,17.0,,,11.0
10.0,10.0,,10.0,,,10.0,,50.0,,,,10.0,,,Southwind's Grasp,,,,Rare,,60.0,6.0,,,,,17.0,,,
,,,10.0,,,,,55.0,16.0,,,,,,Lava Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,3.0
,,,21.0,,,,,50.0,,,,,,,Replica Belt of Heroism,,,,Rare,,60.0,6.0,,,,,,,,
,,,14.0,,,,,50.0,,,,,,,Replica Beaststalker's Belt,,,,Rare,,53.0,6.0,,,,,,,,
,,,6.0,,,,,50.0,,,,,,,Replica Dreadmist Belt,,,,Rare,,53.0,6.0,,,,,,,,
15.0,15.0,,12.0,,,,,40.0,,,,15.0,,,Coldstone-Inlaid Waistguard,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,27.0,,,11.0,,40.0,,,8.0,15.0,,,Seething Waistguard,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
,,,24.0,,,,9.0,40.0,,,,13.0,,,Fearless Girdle,,2.0,,Uncommon,,,6.0,Prismatic socket,Prismatic socket,,,20.0,13.0,13.0,
12.0,12.0,,15.0,,,,,40.0,,,,12.0,,,Heavy Miner's Belt,,,,Uncommon,,,6.0,,,,,18.0,,,
,,,6.0,Priest,,,,50.0,,,,,,,Replica Blood Guard's Satin Waistwrap,,,,Rare,,60.0,6.0,,,,,,,,
,,,21.0,,,7.0,,40.0,,,,7.0,,,Warleader's Belt,,,,Uncommon,,54.0,6.0,,,,,17.0,7.0,7.0,
14.0,14.0,,10.0,,,11.0,,50.0,,,,14.0,,,Highlander's Lizardhide Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,20.0
,,,14.0,Shaman,,,,,,,,,,,Replica Blood Guard's Mail Links,,,,Rare,,60.0,6.0,,,,,,,,
17.0,17.0,,14.0,,,,,50.0,,,,17.0,,,Sash of the Windreaver,,,,Rare,,56.0,6.0,,,,,17.0,,,6.0
,,,21.0,,,,,40.0,,,,12.0,,,Exalted Girdle,,,,Uncommon,,55.0,6.0,,,,,17.0,12.0,12.0,
,,,6.0,"Priest,Mage,Warlock",,11.0,,50.0,,,10.0,10.0,,,Defiler's Cloth Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
12.0,12.0,,14.0,,,,,40.0,,,,12.0,,,Abyssal Mail Clutch,,,,Uncommon,,60.0,6.0,,,,,17.0,,,
16.0,16.0,,10.0,,,,6.0,55.0,,,,16.0,,,Taut Dragonhide Belt,,,,Epic,,60.0,6.0,,,,,17.0,,,
,,,10.0,Druid,,,,50.0,,,,,,,Replica Blood Guard's Dragonhide Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,6.0,Warlock,,,,,,,,,,,Replica Knight-Lieutenant's Dreadweave Wrap,,,,Rare,,60.0,6.0,,,,,,,,
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Supreme Sash,,,,Uncommon,,56.0,6.0,,,,,17.0,,,
,,,10.0,,,,,50.0,,,,,,,Replica Feralheart Belt,,,,Rare,,60.0,6.0,,,,,,,,
11.0,11.0,,14.0,,,,,40.0,,,,11.0,,,Magnificent Belt,,,,Uncommon,,53.0,6.0,,,,,17.0,,,
,,,21.0,,,,,40.0,,,,11.0,,,Heroic Girdle,,,,Uncommon,,52.0,6.0,,,,,17.0,11.0,11.0,
,,,6.0,,,,,50.0,,,,,,,Replica Magister's Belt,,,,Rare,,53.0,6.0,,,,,,,,
,,,6.0,,,,,40.0,,,,19.0,,,Arcane Sash,,,,Uncommon,,51.0,6.0,,,,,17.0,,,
15.0,15.0,,18.0,,,16.0,,40.0,,,,15.0,,,Waverunner Waistband,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,27.0,,,11.0,,40.0,,,,15.0,,,Girdle of Ripped Space,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
13.0,13.0,,16.0,,,,,40.0,,,,13.0,,,Marsh Survivalist's Belt,,,,Uncommon,,,6.0,,,,,19.0,,,
,,,23.0,,,12.0,,40.0,,,,12.0,,,Bog Walker's Belt,,,,Uncommon,,,6.0,,,,,18.0,12.0,12.0,
,,,6.0,,,,,40.0,,,,12.0,,,Fireheart Girdle,,,,Uncommon,,58.0,6.0,,,,,18.0,,,
,,,6.0,"Priest,Mage,Warlock",,11.0,,50.0,,,10.0,10.0,,,Highlander's Cloth Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
,,,21.0,Paladin,,,,,,,,,,,Replica Blood Guard's Lamellar Girdle,,,,Rare,,60.0,6.0,,,,,,,,
,,,6.0,,,,,50.0,,4.0,,13.0,,,Stormpike Cloth Girdle,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,10.0,Rogue,,,,50.0,,,,,,,Replica Knight-Lieutenant's Leather Clasp,,,,Rare,,60.0,6.0,,,,,,,,
6.0,6.0,,14.0,Shaman,,8.0,,55.0,,,,6.0,,,Belt of Ten Storms,,,,Epic,,60.0,6.0,,,,,17.0,,,6.0
,,,6.0,,,,,40.0,,,,12.0,,,Eternal Cord,,,,Uncommon,,56.0,6.0,,,,,17.0,,,
,,,6.0,Priest,,,,50.0,,,,,,,Replica Knight-Lieutenant's Satin Belt,,,,Rare,,60.0,6.0,,,,,,,,
12.0,12.0,,14.0,,,,,40.0,,,,12.0,,,Mercurial Girdle,,,,Uncommon,,56.0,6.0,,,,,17.0,,,
14.0,14.0,,14.0,"Hunter,Shaman",,11.0,,50.0,,,,14.0,,,Defiler's Mail Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
11.0,11.0,,14.0,,,9.0,,50.0,,,,11.0,,,Chillsteel Girdle,,,,Rare,,51.0,6.0,,,,,17.0,,,6.0
,,,7.0,,,,,40.0,,,,15.0,,,Dusk Watcher's Belt,,,,Uncommon,,,6.0,,,,,22.0,,,18.0
15.0,15.0,,12.0,,,,,40.0,,,8.0,15.0,,,Charred Drakehide Belt,,,,Uncommon,,,6.0,,,,,22.0,,,
15.0,15.0,,12.0,,,20.0,,40.0,,,8.0,15.0,,,Reinforced Elastic Band,,,,Uncommon,,,6.0,,,,,22.0,,,
,,,27.0,,,,,40.0,,,20.0,15.0,,,Bloodbinder's Girdle,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
,,,23.0,,,10.0,,40.0,,,,12.0,,,Stalwart Girdle,,,,Uncommon,,,6.0,,,,,18.0,12.0,12.0,
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Dreghood Belt,,,,Uncommon,,60.0,6.0,,,,,18.0,,,
12.0,12.0,,15.0,,,,,40.0,,,,12.0,,,Felstone Waistband,,,,Uncommon,,58.0,6.0,,,,,18.0,,,
,,,22.0,,,,,40.0,,,,12.0,,,Ango'rosh Belt,,,,Uncommon,,58.0,6.0,,,,,18.0,12.0,12.0,
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Haal'eshi Cord,,,,Uncommon,,58.0,6.0,,,,,18.0,,,
19.0,19.0,,14.0,,,,,40.0,,,,19.0,,,Warstrike Belt,,,,Uncommon,,54.0,6.0,,,,,17.0,,,6.0
,,,21.0,,,9.0,,50.0,,,6.0,12.0,,,Smolderthorn Greatbelt,,,,Rare,,55.0,6.0,,,,,17.0,12.0,12.0,
12.0,12.0,,14.0,,,,,40.0,,,,12.0,,,Triumphant Girdle,,,,Uncommon,,55.0,6.0,,,,,17.0,,,
,,,21.0,Warrior,,,,50.0,,,,,,,Replica Blood Guard's Plate Waistguard,,,,Rare,,60.0,6.0,,,,,,,,
15.0,15.0,,10.0,,,10.0,,50.0,,,,15.0,,,Belt of the Trickster,,,,Rare,,55.0,6.0,,,,,17.0,,,
,,,10.0,Druid,,,,50.0,,,,,,,Replica Knight-Lieutenant's Dragonhide Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,14.0,,,,,50.0,,,,,,,Replica Cord of The Five Thunders,,,,Rare,,60.0,6.0,,,,,,,,
14.0,14.0,,10.0,,,11.0,,50.0,,,,14.0,,,Defiler's Lizardhide Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,20.0
,,,14.0,Shaman,,,,50.0,,,,,,,Replica Knight-Lieutenant's Mail Links,,,,Rare,,60.0,6.0,,,,,,,,
,,,21.0,Paladin,,11.0,,50.0,,,,12.0,,,Defiler's Lamellar Girdle,,,,Rare,,58.0,6.0,,,,,17.0,12.0,12.0,
,,,14.0,Hunter,,,,50.0,,,,,,,Replica Knight-Lieutenant's Chain Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,21.0,,,10.0,,55.0,,,,12.0,,,Triad Girdle,,,,Epic,,60.0,6.0,,,,,17.0,12.0,12.0,
14.0,14.0,,10.0,,,11.0,,50.0,,,,14.0,,,Defiler's Leather Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,20.0
,,,10.0,Rogue,,,,50.0,,,,,,,Replica Blood Guard's Leather Clasp,,,,Rare,,60.0,6.0,,,,,,,,
14.0,14.0,,14.0,"Hunter,Shaman",,11.0,,50.0,,,,14.0,,,Highlander's Chain Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
14.0,14.0,,14.0,"Hunter,Shaman",,11.0,,50.0,,,,14.0,,,Highlander's Mail Girdle,,,,Rare,,58.0,6.0,,,,,17.0,,,
,,,6.0,,,,,40.0,,,,11.0,,,Resplendent Belt,,,,Uncommon,,53.0,6.0,,,,,17.0,,,
19.0,19.0,,9.0,,,,,40.0,,,,19.0,,,Traveler's Belt,,,,Uncommon,,51.0,6.0,,,,,17.0,,,
16.0,16.0,,14.0,,,,,40.0,,,,16.0,,,Heavy Scorpid Belt,,,,Uncommon,,51.0,6.0,,,,,17.0,,,
11.0,11.0,,9.0,,,,,50.0,,,6.0,11.0,,,Belt of the Eminent Mason,,,,Rare,,51.0,6.0,,,,,17.0,,,9.0
,,,6.0,,,,,50.0,,,6.0,11.0,,,Ferrous Cord,,,,Rare,,51.0,6.0,,,,,17.0,,,9.0
,,,27.0,,,8.0,,40.0,,,11.0,15.0,,,Amberplate Waistguard,,,,Uncommon,,,6.0,,,,,22.0,15.0,15.0,
13.0,13.0,,15.0,,,11.0,,40.0,,,,13.0,,,Hearty Cenarion Cincture,,,,Uncommon,,,6.0,,,,,19.0,,,
12.0,12.0,,10.0,,,,,40.0,,,,12.0,,,Vengeance Belt,,,,Uncommon,,59.0,6.0,,,,,18.0,,,
,,,14.0,Hunter,,,,50.0,,,,,,,Replica Blood Guard's Chain Belt,,,,Rare,,60.0,6.0,,,,,,,,
,,,21.0,Paladin,,,,50.0,,,,,,,Replica Knight-Lieutenant's Lamellar Girdle,,,,Rare,,60.0,6.0,,,,,,,,
,,,19.0,,,,,40.0,,,,,,,Light Plate Belt,,,,Poor,,52.0,6.0,,,,,,,,
,,,14.0,,,,,50.0,,,,,,,Replica Cord of Elements,,,,Rare,,53.0,6.0,,,,,,,,
18.0,18.0,,14.0,,,,,50.0,,,,18.0,,,Heavy Timbermaw Belt,,,,Rare,,53.0,6.0,,,,,17.0,,,
12.0,12.0,,18.0,,,9.0,,55.0,,,5.0,12.0,,,Stormwrap,,2.0,,Epic,,70.0,6.0,Prismatic socket,Prismatic socket,,,19.0,,,
,,,27.0,,,12.0,,50.0,,,,14.0,,,Girdle of Many Blessings,,,,Rare,,70.0,6.0,,,,,21.0,14.0,14.0,
14.0,14.0,,18.0,,,7.0,,55.0,,,7.0,14.0,,,Belt of the Black Eagle,,2.0,,Epic,,70.0,6.0,Prismatic socket,Prismatic socket,,,17.0,,,
,,,7.0,,,,,55.0,,,,16.0,,,Belt of Divine Inspiration,,2.0,,Epic,,70.0,6.0,Prismatic socket,Prismatic socket,,,21.0,,,
14.0,14.0,,12.0,,,10.0,,50.0,,,,14.0,,,Liar's Cord,,2.0,,Rare,,70.0,6.0,Prismatic socket,Prismatic socket,,,21.0,,,
,,,27.0,,,,,50.0,,,,14.0,,,Sha'tari Vindicator's Waistguard,,,19.0,Rare,,,6.0,,,,,21.0,14.0,14.0,
15.0,15.0,,12.0,,,11.0,,55.0,,,,15.0,,,Gronn-Stitched Girdle,,2.0,,Epic,,70.0,6.0,Prismatic socket,Prismatic socket,,,12.0,,,
,,,27.0,,,11.0,,50.0,,,,14.0,,,Girdle of Gallantry,,2.0,,Rare,,70.0,6.0,Prismatic socket,Prismatic socket,,,21.0,14.0,14.0,
